,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
0,Sentosa Island,2023,1,1,     0.0,     0.0,     0.0,     0.0,    27.8,    32.0,    25.8,     4.8,    27.0
1,Sentosa Island,2023,1,2,     4.0,     3.0,     3.2,     3.4,    27.5,    33.4,    24.7,     5.0,    25.6
2,Sentosa Island,2023,1,3,     5.8,     5.6,     5.8,     5.8,    27.0,    32.8,    24.5,     4.2,    22.4
3,Sentosa Island,2023,1,4,     0.0,     0.0,     0.0,     0.0,    27.1,    30.1,    25.1,     5.5,    32.0
4,Sentosa Island,2023,1,5,    38.6,    23.2,    34.2,    38.6,    26.4,    31.6,    23.5,     5.0,    25.6
5,Sentosa Island,2023,1,6,     0.0,     0.0,     0.0,     0.0,    28.0,    32.2,    24.7,     5.6,    27.4
6,Sentosa Island,2023,1,7,     0.0,     0.0,     0.0,     0.0,    28.0,    31.4,    25.6,     5.6,    26.7
7,Sentosa Island,2023,1,8,     0.0,     0.0,     0.0,     0.0,    28.7,    32.7,    25.9,     5.6,    28.2
8,Sentosa Island,2023,1,9,     0.0,     0.0,     0.0,     0.0,    28.0,    31.2,    26.0,     4.8,    20.6
9,Sentosa Island,2023,1,10,     0.0,     0.0,     0.0,     0.0,    27.9,    31.6,    26.1,     4.3,    18.7
10,Sentosa Island,2023,1,11,     0.0,     0.0,     0.0,     0.0,    26.5,    28.7,    24.6,     4.5,    35.6
11,Sentosa Island,2023,1,12,     0.0,     0.0,     0.0,     0.0,    27.7,    31.8,    24.8,     4.5,    21.7
12,Sentosa Island,2023,1,13,     0.0,     0.0,     0.0,     0.0,    27.9,    33.4,    26.4,     4.2,    23.7
13,Sentosa Island,2023,1,14,     0.0,     0.0,     0.0,     0.0,    27.9,    31.6,    25.7,     4.0,    18.7
14,Sentosa Island,2023,1,15,     1.0,     1.0,     1.0,     1.0,    28.2,    31.8,    25.5,     4.6,    30.2
15,Sentosa Island,2023,1,16,     0.4,     0.4,     0.4,     0.4,    28.3,    32.5,    26.0,     4.0,    23.0
16,Sentosa Island,2023,1,17,     0.0,     0.0,     0.0,     0.0,    28.9,    34.5,    26.3,     5.7,    25.9
17,Sentosa Island,2023,1,18,     0.2,     0.2,     0.2,     0.2,    28.0,    32.8,    26.0,     5.4,    30.6
18,Sentosa Island,2023,1,19,    23.4,    14.0,    14.8,    17.6,    26.5,    30.6,    24.5,     5.0,    29.1
19,Sentosa Island,2023,1,20,    16.8,     9.8,    12.6,    13.6,    26.0,    29.3,    24.8,     4.7,    27.0
20,Sentosa Island,2023,1,21,     0.2,     0.8,     2.2,    13.4,    27.5,    32.3,    25.1,     4.8,    25.2
21,Sentosa Island,2023,1,22,    39.2,    18.4,    20.0,    23.4,    26.2,    30.2,    24.1,     3.6,    25.2
22,Sentosa Island,2023,1,23,    11.0,     5.0,     6.2,     7.6,    25.5,    27.8,    24.5,     3.3,    14.8
23,Sentosa Island,2023,1,24,    23.4,     2.0,     3.4,     5.8,    24.1,    25.1,    23.1,     4.3,    24.1
24,Sentosa Island,2023,1,25,-,-,-,-,-,-,-,-,-
25,Sentosa Island,2023,1,26,-,-,-,-,-,-,-,-,-
26,Sentosa Island,2023,1,27,     0.0,     0.0,     0.0,     0.0,    27.4,    32.0,    23.9,     5.4,    25.6
27,Sentosa Island,2023,1,28,     8.2,     2.0,     3.2,     5.8,    24.7,    26.0,    23.5,     7.6,    33.9
28,Sentosa Island,2023,1,29,     5.2,     1.4,     2.4,     3.6,    24.6,    26.2,    23.3,     6.9,    35.0
29,Sentosa Island,2023,1,30,     8.2,     6.2,     6.6,     7.2,    25.8,    28.9,    24.0,     6.2,    33.2
30,Sentosa Island,2023,1,31,     2.4,     0.8,     1.4,     2.0,    25.3,    27.0,    24.6,     5.1,    29.8
0,Sentosa Island,2023,2,1,0.2,0.2,0.2,0.2,26.2,31.9,24.0,4.3,24.4
1,Sentosa Island,2023,2,2,106.0,42.0,69.2,96.2,26.4,33.6,23.2,4.3,38.5
2,Sentosa Island,2023,2,3,3.6,2.8,3.2,3.6,26.2,30.0,24.2,4.1,26.7
3,Sentosa Island,2023,2,4,8.4,2.0,2.2,3.4,25.1,28.9,24.1,4.1,21.7
4,Sentosa Island,2023,2,5,8.2,7.2,7.4,8.2,26.4,32.3,24.7,4.0,21.3
5,Sentosa Island,2023,2,6,0.2,0.2,0.2,0.2,27.0,31.2,24.6,5.4,29.1
6,Sentosa Island,2023,2,7,0.0,0.0,0.0,0.0,27.4,33.7,24.7,4.9,23.0
7,Sentosa Island,2023,2,8,34.6,15.0,28.0,34.4,27.1,32.5,23.8,5.3,30.6
8,Sentosa Island,2023,2,9,0.0,0.0,0.0,0.0,27.5,32.0,25.6,4.5,21.3
9,Sentosa Island,2023,2,10,17.6,12.8,13.0,13.2,26.6,30.1,24.1,5.5,27.0
10,Sentosa Island,2023,2,11,0.4,0.4,0.4,0.4,27.8,32.9,25.8,4.8,21.3
11,Sentosa Island,2023,2,12,19.0,9.2,12.6,14.0,25.7,30.5,23.1,3.9,27.4
12,Sentosa Island,2023,2,13,0.0,0.0,0.0,0.0,27.3,32.0,24.5,4.3,20.6
13,Sentosa Island,2023,2,14,4.6,4.6,4.6,4.6,27.3,32.0,25.5,4.6,22.6
14,Sentosa Island,2023,2,15,28.6,22.2,26.8,27.6,26.3,29.8,22.3,4.6,31.7
15,Sentosa Island,2023,2,16,0.0,0.0,0.0,0.0,27.6,32.7,24.3,4.7,24.8
16,Sentosa Island,2023,2,17,0.6,0.6,0.6,0.6,27.5,32.1,24.9,4.6,22.6
17,Sentosa Island,2023,2,18,0.6,0.6,0.6,0.6,28.3,33.7,25.8,5.1,24.8
18,Sentosa Island,2023,2,19,6.2,5.2,6.2,6.2,27.9,34.1,25.6,5.3,25.9
19,Sentosa Island,2023,2,20,0.2,0.2,0.2,0.2,27.6,31.6,26.0,5.0,22.4
20,Sentosa Island,2023,2,21,0.0,0.0,0.0,0.0,28.2,33.0,25.7,5.7,28.9
21,Sentosa Island,2023,2,22,0.0,0.0,0.0,0.0,27.8,32.7,26.2,5.2,27.4
22,Sentosa Island,2023,2,23,0.0,0.0,0.0,0.0,28.1,32.9,26.0,5.9,28.5
23,Sentosa Island,2023,2,24,0.0,0.0,0.0,0.0,28.4,33.1,26.2,6.1,28.9
24,Sentosa Island,2023,2,25,0.0,0.0,0.0,0.0,28.1,32.3,25.7,5.8,30.6
25,Sentosa Island,2023,2,26,0.6,0.4,0.4,0.6,27.8,32.6,24.9,7.5,31.3
26,Sentosa Island,2023,2,27,4.2,2.4,3.2,3.2,27.2,31.6,24.8,6.8,35.9
27,Sentosa Island,2023,2,28,153.2,22.8,38.6,59.6,25.0,27.6,22.6,5.2,37.4
0,Sentosa Island,2023,3,1,68.0,11.8,24.8,48.4,24.1,27.1,22.1,5.5,24.4
1,Sentosa Island,2023,3,2,35.0,14.8,26.6,29.4,24.9,30.7,22.9,3.8,28.5
2,Sentosa Island,2023,3,3,36.6,5.4,7.4,11.6,24.6,25.8,23.5,4.1,21.7
3,Sentosa Island,2023,3,4,11.2,2.6,5.0,6.8,24.4,25.4,23.0,6.4,37.8
