Date,Day,Wait Time,Weekend,Public Holiday,School Holiday,Weather Condition,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C)
2023-01-02,Monday,35.583333333333336,0,0,0,1,     4.0,     3.0,     3.2,     3.4,    27.5,    33.4,    24.7
2023-01-04,Wednesday,30.904761904761905,0,0,0,0,     0.0,     0.0,     0.0,     0.0,    27.1,    30.1,    25.1
2023-01-05,Thursday,22.964285714285715,0,0,0,2,    38.6,    23.2,    34.2,    38.6,    26.4,    31.6,    23.5
2023-01-06,Friday,23.178571428571427,0,0,0,0,     0.0,     0.0,     0.0,     0.0,    28.0,    32.2,    24.7
2023-01-07,Saturday,20.11904761904762,1,0,0,0,     0.0,     0.0,     0.0,     0.0,    28.0,    31.4,    25.6
2023-01-08,Sunday,14.035714285714286,1,0,0,0,     0.0,     0.0,     0.0,     0.0,    28.7,    32.7,    25.9
2023-01-09,Monday,21.94047619047619,0,0,0,0,     0.0,     0.0,     0.0,     0.0,    28.0,    31.2,    26.0
2023-01-11,Wednesday,23.535714285714285,0,0,0,0,     0.0,     0.0,     0.0,     0.0,    26.5,    28.7,    24.6
2023-01-12,Thursday,20.488095238095237,0,0,0,0,     0.0,     0.0,     0.0,     0.0,    27.7,    31.8,    24.8
2023-01-13,Friday,23.44047619047619,0,0,0,0,     0.0,     0.0,     0.0,     0.0,    27.9,    33.4,    26.4
2023-01-16,Monday,23.857142857142858,0,0,0,0,     0.4,     0.4,     0.4,     0.4,    28.3,    32.5,    26.0
2023-01-18,Wednesday,19.523809523809526,0,0,0,0,     0.2,     0.2,     0.2,     0.2,    28.0,    32.8,    26.0
2023-01-19,Thursday,15.833333333333334,0,0,0,2,    23.4,    14.0,    14.8,    17.6,    26.5,    30.6,    24.5
2023-01-20,Friday,18.63095238095238,0,0,0,2,    16.8,     9.8,    12.6,    13.6,    26.0,    29.3,    24.8
2023-01-21,Saturday,28.409523809523808,1,0,0,0,     0.2,     0.8,     2.2,    13.4,    27.5,    32.3,    25.1
2023-01-22,Sunday,29.453703703703702,1,1,1,2,    39.2,    18.4,    20.0,    23.4,    26.2,    30.2,    24.1
2023-01-27,Friday,15.4,0,0,0,0,     0.0,     0.0,     0.0,     0.0,    27.4,    32.0,    23.9
2023-01-28,Saturday,12.314814814814815,1,0,0,1,     8.2,     2.0,     3.2,     5.8,    24.7,    26.0,    23.5
2023-01-29,Sunday,13.771428571428572,1,0,0,1,     5.2,     1.4,     2.4,     3.6,    24.6,    26.2,    23.3
2023-01-30,Monday,20.048192771084338,0,0,0,2,     8.2,     6.2,     6.6,     7.2,    25.8,    28.9,    24.0
2023-02-01,Wednesday,18.44047619047619,0,0,0,0,0.2,0.2,0.2,0.2,26.2,31.9,24.0
2023-02-02,Thursday,15.380952380952381,0,0,0,2,106.0,42.0,69.2,96.2,26.4,33.6,23.2
2023-02-03,Friday,17.416666666666668,0,0,0,1,3.6,2.8,3.2,3.6,26.2,30.0,24.2
