Timestamp,How long has it been since your last visit to USS?,Are you Singaporean/PR or Foreigner?,Which age group do you belong to?,Did you visit the theme park with other people?,Choose the top 3 amenities / attractions that are most important to you when you visit the theme park.,Does anyone in your group require special needs access (e.g. wheelchair access)?,Do you accompany children (aged 12 and below) and elders (aged 60 and above) to the theme park?,Does anyone in your group require special needs access (e.g. wheelchair access)?,Do you accompany children (aged 12 and below) to the theme park?,Rank the following theme park zones based on the order in which you visited them. [New York],Rank the following theme park zones based on the order in which you visited them. [Hollywood],Rank the following theme park zones based on the order in which you visited them. [Sci-Fi City],Rank the following theme park zones based on the order in which you visited them. [Madagascar],Rank the following theme park zones based on the order in which you visited them. [Far Far Away],Rank the following theme park zones based on the order in which you visited them. [Ancient Egypt],Rank the following theme park zones based on the order in which you visited them. [The Lost World],Roller Coaster,Water-Based Rides,Haunted House and/or Dark Elements,Simulators and/or 3D/4D experiences (e.g. Shrek),Rides with spinning elements (e.g. 360 degree swing),Child-Friendly Rides (e.g. Teacups),Which of the following rides would you like to see in USS?,Which platform did you purchase your tickets from?,Did you receive a discount for your entrance ticket?,Did you purchase an Express Pass?,What day of the week did you visit?,"Arrange the following activities in the order in which you experienced them during your visit.
A. Go to the rollercoasters
B. Go to the Water-based rides
C. Go to the F&B outlet
D. Go and shop for souvenirs
E. Go for a water/restroom break
G. Go to the child-friendly rides
H. Go to the Haunted House
I. Go to the Simulator rides
J. Sightseeing
K. Go to the Spinning rides",Do you like to buy souvenirs before leaving the theme park?,Did you buy souvenirs in your last visit?,Sitting/resting areas,Sheltered areas,Restrooms/Toilets,Water Coolers,Baby Nursing Rooms,"Special Needs Facilities (e.g. handicapped toilet, wheelchair-accessible ramp)",Did you buy any food or drinks within USS?,Which meals did you have in USS?,Are there sufficient F&B options in USS to choose from?,How accessible are F&B outlets from the various rides and amenities in USS?,"On average, how long did you queue to order food/drinks at a F&B outlet in USS?","After placing your order, how long did you wait for your order to arrive at a F&B outlet in USS?",Do you think the quality of food and drinks sold in USS is worth its price?,How much are you willing to spend on food and drinks in USS (per person in your group)?,How would you rate the cleanliness of the restrooms?,"How would you rate the overall cleanliness of the theme park (e.g. litter, odour)?",To what extent does the weather affect your experience?,How did you find your visit?,Would you visit Universal Studios again?,Could you elaborate on why you would / would not visit USS again?
2024/10/11 5:05:55 pm GMT+8,Less than 1 month,I am a Singaporean/PR,60 and above,I am visiting with family,Rides;Restroom / Baby Nursing Room;Restaurants / Food Stops,,,Yes,Yes,2nd,1st,3rd,,Did not visit,Did not visit,Did not visit,5,5,5,5,5,5,Ferris Wheel;Shooting Simulators;Carousel (e.g. Merry-go-round),"Travel Agency Websites (e.g. Klook, Agoda etc.)",No,Yes,Weekend,E A D B D E I C,Yes,Yes,5,5,5,5,,,Yes,Lunch;Dinner,5,5,More than 30 minutes,More than 30 minutes,5,$40 - $60,5,5,5,Good,Yes,I love USS
2024/10/11 7:04:54 pm GMT+8,More than 5 years,I am a Singaporean/PR,18-25,I am visiting with family,"Rides;Shelter;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,2nd,1st,3rd,,5th,6th,4th,5,4,3,2,2,1,Ferris Wheel;Bumper Cars,Official USS Website/Ticketing counter,Yes,No,Peak Weekday (School Holiday),J G H I E B C A K D,No,No,4,3,4,3,3,3,Yes,Lunch,2,4,Less than 10 minutes,Less than 10 minutes,1,Less than $20,4,4,4,Good,No,
2024/10/11 10:23:34 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Restroom / Baby Nursing Room;Water Cooler,No,None of the above,,,5th,6th,1st,,4th,2nd,3rd,1,3,2,3,4,3,Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Off-peak Weekday,H E K J I E B ,No,No,1,1,3,2,,,No,,,,,,,,2,4,5,Neutral,No,"Not enticing to me, the rides offered were slightly boring"
2024/10/12 12:40:56 am GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Restroom / Baby Nursing Room;Restaurants / Food Stops,No,None of the above,,,5th,6th,1st,,4th,3rd,2nd,5,5,4,3,3,3,Free-Fall Towers;Ferris Wheel;Bumper Cars,Official USS Website/Ticketing counter,No,No,Peak Weekday (School Holiday),A B C E H I G K J D,Yes,No,4,4,4,4,,,Yes,Lunch,3,4,10 to 15 minutes,10 to 15 minutes,2,$20 - $40,4,3,5,Good,Yes,"Havent been in a while, good to see what’s new"
2024/10/12 1:12:51 am GMT+8,Less than 1 year,I am a Singaporean/PR,18-25,I am visiting with my partner,"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,Did not visit,7th,5th,6th,4th,2nd,3rd,5,3,1,2,4,3,Free-Fall Towers;Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,Yes,No,Off-peak Weekday,A E I C J D K G B H,No,No,3,3,3,2,2,1,No,,,,,,,,3,4,5,Good,Yes,"I enjoyed my time at USS while on the rides, and also during the rides when we did not have access to our phones and could bond with one another. It is a good place to hang out with friends"
2024/10/12 1:52:16 am GMT+8,Less than 1 year,I am a Singaporean/PR,18-25,I am visiting with friend(s),"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,2nd,1st,3rd,7th,6th,4th,5th,5,4,3,3,4,1,Free-Fall Towers;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Off-peak Weekday,I A K B E C H J D,Yes,Yes,4,4,5,4,,,Yes,Dinner,4,3,15 to 20 minutes,15 to 20 minutes,2,$20 - $40,3,4,5,Good,Yes,There is only one theme park in Singapore
2024/10/12 6:55:56 am GMT+8,More than 5 years,I am a foreigner,18-25,I am visiting with family,"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,7th,1st,6th,2nd,3rd,5th,4th,3,4,2,5,2,3,Ferris Wheel;Bumper Cars;Shooting Simulators;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,No,No,Weekend,J I K B E G C D,No,No,2,4,5,2,3,3,Yes,Lunch,3,2,Less than 10 minutes,Less than 10 minutes,1,Less than $20,5,5,4,Good,Yes,
2024/10/12 10:30:52 am GMT+8,More than 5 years,I am a foreigner,18-25,I am visiting with friend(s),Rides;Restaurants / Food Stops;Shelter,No,None of the above,,,3rd,Did not visit,1st,2nd,4th,Did not visit,Did not visit,5,4,1,4,3,3,Ferris Wheel;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,Yes,No,Off-peak Weekday,I A C D,Yes,No,3,4,5,3,,,Yes,Lunch,4,4,20 to 25 minutes,10 to 15 minutes,3,Less than $20,4,4,1,Good,Yes,
2024/10/12 12:34:24 pm GMT+8,Less than 6 months,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Restroom / Baby Nursing Room;Water Cooler,No,None of the above,,,2nd,1st,3rd,Did not visit,6th,4th,5th,5,1,2,3,1,1,Free-Fall Towers;Bumper Cars;Shooting Simulators,Company retreat,Yes,No,Off-peak Weekday,A A E A C A A I D,Yes,Yes,5,3,4,4,4,2,Yes,Lunch,4,4,10 to 15 minutes,10 to 15 minutes,3,Less than $20,3,4,5,Love it!,No,Cause I got bored of the rides
2024/10/14 12:07:53 am GMT+8,Less than 1 year,I am a foreigner,18-25,I am visiting with friend(s),"Rides;Shelter;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,7th,1st,6th,2nd,3rd,5th,4th,5,4,3,4,3,1,Free-Fall Towers;Ferris Wheel;Bumper Cars;Shooting Simulators,"Travel Agency Websites (e.g. Klook, Agoda etc.)",No,No,Weekend,A B E I H E J K C D,No,No,2,3,4,2,,,Yes,Dinner,2,4,10 to 15 minutes,10 to 15 minutes,1,Less than $20,5,5,4,Good,Yes,Nice rollercoasters.
