Ride,Date/Time,Wait Time,DayType
Treasure Hunters,2023-01-02 11:00:04,5,0
Treasure Hunters,2023-01-02 11:05:04,5,0
Treasure Hunters,2023-01-02 11:10:04,5,0
Treasure Hunters,2023-01-02 11:15:04,5,0
Treasure Hunters,2023-01-02 11:20:04,5,0
Treasure Hunters,2023-01-02 11:25:04,5,0
Treasure Hunters,2023-01-02 11:45:03,25,0
Treasure Hunters,2023-01-02 11:50:04,25,0
Treasure Hunters,2023-01-02 11:55:04,40,0
Treasure Hunters,2023-01-02 12:00:04,40,0
Treasure Hunters,2023-01-02 12:05:04,40,0
Treasure Hunters,2023-01-02 12:10:03,40,0
Treasure Hunters,2023-01-02 12:15:03,40,0
Treasure Hunters,2023-01-02 12:20:03,40,0
Treasure Hunters,2023-01-02 12:25:05,40,0
Treasure Hunters,2023-01-02 12:30:03,60,0
Treasure Hunters,2023-01-02 12:35:05,60,0
Treasure Hunters,2023-01-02 12:40:04,60,0
Treasure Hunters,2023-01-02 12:45:03,60,0
Treasure Hunters,2023-01-02 12:50:05,60,0
Treasure Hunters,2023-01-02 12:55:03,60,0
Treasure Hunters,2023-01-02 13:00:04,60,0
Treasure Hunters,2023-01-02 13:05:03,60,0
Treasure Hunters,2023-01-02 13:10:04,60,0
Treasure Hunters,2023-01-02 13:15:03,60,0
Treasure Hunters,2023-01-02 13:20:03,60,0
Treasure Hunters,2023-01-02 13:25:04,60,0
Treasure Hunters,2023-01-02 13:30:04,60,0
Treasure Hunters,2023-01-02 13:35:03,60,0
Treasure Hunters,2023-01-02 13:40:04,60,0
Treasure Hunters,2023-01-02 13:45:04,60,0
Treasure Hunters,2023-01-02 13:50:04,60,0
Treasure Hunters,2023-01-02 13:55:03,60,0
Treasure Hunters,2023-01-02 14:00:03,60,0
Treasure Hunters,2023-01-02 14:05:03,60,0
Treasure Hunters,2023-01-02 14:10:04,60,0
Treasure Hunters,2023-01-02 14:15:04,60,0
Treasure Hunters,2023-01-02 14:20:05,60,0
Treasure Hunters,2023-01-02 14:25:04,60,0
Treasure Hunters,2023-01-02 14:30:04,60,0
Treasure Hunters,2023-01-02 14:35:03,60,0
Treasure Hunters,2023-01-02 14:40:03,60,0
Treasure Hunters,2023-01-02 14:45:03,60,0
Treasure Hunters,2023-01-02 14:50:03,60,0
Treasure Hunters,2023-01-02 14:55:04,60,0
Treasure Hunters,2023-01-02 15:00:04,60,0
Treasure Hunters,2023-01-02 15:05:04,60,0
Treasure Hunters,2023-01-02 15:10:04,60,0
Treasure Hunters,2023-01-02 15:15:04,60,0
Treasure Hunters,2023-01-02 15:20:03,60,0
Treasure Hunters,2023-01-02 15:25:03,60,0
Treasure Hunters,2023-01-02 15:30:04,60,0
Treasure Hunters,2023-01-02 15:35:05,60,0
Treasure Hunters,2023-01-02 15:40:04,60,0
Treasure Hunters,2023-01-02 15:45:04,60,0
Treasure Hunters,2023-01-02 15:50:04,60,0
Treasure Hunters,2023-01-02 15:55:04,60,0
Treasure Hunters,2023-01-02 16:00:03,60,0
Treasure Hunters,2023-01-02 16:05:04,60,0
Treasure Hunters,2023-01-02 16:10:03,60,0
Treasure Hunters,2023-01-02 16:15:03,60,0
Treasure Hunters,2023-01-02 16:20:04,60,0
Treasure Hunters,2023-01-02 16:25:04,60,0
Treasure Hunters,2023-01-02 16:30:03,60,0
Treasure Hunters,2023-01-02 16:35:03,60,0
Treasure Hunters,2023-01-02 16:40:04,60,0
Treasure Hunters,2023-01-02 16:45:04,60,0
Treasure Hunters,2023-01-02 16:50:04,60,0
Treasure Hunters,2023-01-02 16:55:03,60,0
Treasure Hunters,2023-01-02 17:00:04,60,0
Treasure Hunters,2023-01-02 17:05:04,60,0
Treasure Hunters,2023-01-02 17:10:04,60,0
Treasure Hunters,2023-01-02 17:15:04,60,0
Treasure Hunters,2023-01-02 17:20:03,60,0
Treasure Hunters,2023-01-02 17:25:04,60,0
Treasure Hunters,2023-01-02 17:30:03,60,0
Treasure Hunters,2023-01-02 17:35:02,60,0
Treasure Hunters,2023-01-02 17:40:05,60,0
Treasure Hunters,2023-01-02 17:45:04,60,0
Treasure Hunters,2023-01-02 17:50:04,60,0
Treasure Hunters,2023-01-02 17:55:03,60,0
Treasure Hunters,2023-01-02 18:00:05,60,0
Treasure Hunters,2023-01-04 11:00:04,5,0
Treasure Hunters,2023-01-04 11:05:03,5,0
Treasure Hunters,2023-01-04 11:10:04,5,0
Treasure Hunters,2023-01-04 11:15:03,5,0
Treasure Hunters,2023-01-04 11:20:04,5,0
Treasure Hunters,2023-01-04 11:25:03,5,0
Treasure Hunters,2023-01-04 11:30:04,5,0
Treasure Hunters,2023-01-04 11:35:03,5,0
Treasure Hunters,2023-01-04 11:40:03,5,0
Treasure Hunters,2023-01-04 11:45:04,5,0
Treasure Hunters,2023-01-04 11:50:03,15,0
Treasure Hunters,2023-01-04 11:55:03,15,0
Treasure Hunters,2023-01-04 12:00:03,15,0
Treasure Hunters,2023-01-04 12:05:04,15,0
Treasure Hunters,2023-01-04 12:10:03,40,0
Treasure Hunters,2023-01-04 12:15:03,40,0
Treasure Hunters,2023-01-04 12:20:04,40,0
Treasure Hunters,2023-01-04 12:25:04,40,0
Treasure Hunters,2023-01-04 12:30:03,40,0
Treasure Hunters,2023-01-04 12:35:03,40,0
Treasure Hunters,2023-01-04 12:40:03,40,0
Treasure Hunters,2023-01-04 12:45:04,40,0
