Date/Time,Wait Time,Month,Day,Time,Day of Week,Number of Visitors,Number of New Visitors Arriving,Time Interval,Number of New Visitors Arriving_sum
2024-01-01 10:00:00,7,1,1,10:00,Monday,35,35.0,2024-01-01 10:00:00,835.0
2024-01-01 10:05:00,7,1,1,10:05,Monday,35,0.0,2024-01-01 10:00:00,835.0
2024-01-01 10:10:00,7,1,1,10:10,Monday,35,0.0,2024-01-01 10:00:00,835.0
2024-01-01 10:15:00,7,1,1,10:15,Monday,35,0.0,2024-01-01 10:00:00,835.0
2024-01-01 10:20:00,7,1,1,10:20,Monday,35,0.0,2024-01-01 10:00:00,835.0
2024-01-01 10:25:00,7,1,1,10:25,Monday,35,0.0,2024-01-01 10:00:00,835.0
2024-01-01 10:30:00,7,1,1,10:30,Monday,35,0.0,2024-01-01 10:00:00,835.0
2024-01-01 10:35:00,7,1,1,10:35,Monday,35,0.0,2024-01-01 10:00:00,835.0
2024-01-01 10:40:00,7,1,1,10:40,Monday,35,0.0,2024-01-01 10:00:00,835.0
2024-01-01 10:45:00,9,1,1,10:45,Monday,45,400.0,2024-01-01 10:00:00,835.0
2024-01-01 10:50:00,11,1,1,10:50,Monday,55,400.0,2024-01-01 10:00:00,835.0
2024-01-01 10:55:00,11,1,1,10:55,Monday,55,0.0,2024-01-01 10:00:00,835.0
2024-01-01 11:00:00,12,1,1,11:00,Monday,60,200.0,2024-01-01 11:00:00,2200.0
2024-01-01 11:05:00,12,1,1,11:05,Monday,60,0.0,2024-01-01 11:00:00,2200.0
2024-01-01 11:10:00,13,1,1,11:10,Monday,65,200.0,2024-01-01 11:00:00,2200.0
2024-01-01 11:15:00,14,1,1,11:15,Monday,70,200.0,2024-01-01 11:00:00,2200.0
2024-01-01 11:20:00,15,1,1,11:20,Monday,75,200.0,2024-01-01 11:00:00,2200.0
2024-01-01 11:25:00,17,1,1,11:25,Monday,85,400.0,2024-01-01 11:00:00,2200.0
2024-01-01 11:30:00,18,1,1,11:30,Monday,90,200.0,2024-01-01 11:00:00,2200.0
2024-01-01 11:35:00,18,1,1,11:35,Monday,90,0.0,2024-01-01 11:00:00,2200.0
