time,fast_pass_crowd,regular_crowd,fast_pass_wait,regular_wait
1900-01-01 10:03:00,0,0,0,0
1900-01-01 10:06:00,0,0,0,0
1900-01-01 10:09:00,0,0,0,0
1900-01-01 10:12:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:18:00,0,0,0,0
1900-01-01 10:21:00,0,0,0,0
1900-01-01 10:24:00,0,0,0,0
1900-01-01 10:27:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:33:00,0,0,0,0
1900-01-01 10:36:00,0,0,0,0
1900-01-01 10:39:00,0,0,0,0
1900-01-01 10:42:00,0,0,0,0
1900-01-01 10:45:00,0,0,0,0
1900-01-01 10:48:00,0,0,0,0
1900-01-01 10:51:00,0,0,0,0
1900-01-01 10:54:00,0,0,0,0
1900-01-01 10:57:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:03:00,0,0,0,0
1900-01-01 11:06:00,0,0,0,0
1900-01-01 11:09:00,0,0,0,0
1900-01-01 11:12:00,0,0,0,0
1900-01-01 11:15:00,0,0,0,0
