time,fast_pass_crowd,regular_crowd,fast_pass_wait,regular_wait
1900-01-01 10:02:00,0,0,0,0
1900-01-01 10:04:00,0,0,0,0
1900-01-01 10:06:00,0,0,0,0
1900-01-01 10:08:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:12:00,0,0,0,0
1900-01-01 10:14:00,0,0,0,0
1900-01-01 10:16:00,0,0,0,0
1900-01-01 10:18:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:22:00,0,0,0,0
1900-01-01 10:24:00,0,0,0,0
1900-01-01 10:26:00,0,0,0,0
1900-01-01 10:28:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:32:00,0,0,0,0
1900-01-01 10:34:00,0,0,0,0
1900-01-01 10:36:00,0,0,0,0
1900-01-01 10:38:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:42:00,0,0,0,0
1900-01-01 10:44:00,0,0,0,0
1900-01-01 10:46:00,0,0,0,0
1900-01-01 10:48:00,0,0,0,0
1900-01-01 10:50:00,0,0,0,0
