time,fast_pass_crowd,regular_crowd,fast_pass_wait,regular_wait
1900-01-01 10:06:00,0,0,0,0
1900-01-01 10:12:00,0,0,0,0
1900-01-01 10:18:00,0,0,0,0
1900-01-01 10:24:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:36:00,0,0,0,0
1900-01-01 10:42:00,0,0,0,0
1900-01-01 10:48:00,0,0,0,0
1900-01-01 10:54:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:06:00,0,0,0,0
1900-01-01 11:12:00,0,0,0,0
1900-01-01 11:18:00,0,10,0,0
1900-01-01 11:24:00,0,20,0,6
1900-01-01 11:30:00,0,36,0,18
1900-01-01 11:36:00,0,52,0,24
1900-01-01 11:42:00,0,79,0,36
1900-01-01 11:48:00,0,111,0,54
1900-01-01 11:54:00,0,143,0,66
1900-01-01 12:00:00,0,177,0,84
1900-01-01 12:06:00,0,211,0,102
1900-01-01 12:12:00,0,245,0,120
1900-01-01 12:18:00,0,280,0,138
1900-01-01 12:24:00,0,315,0,156
1900-01-01 12:30:00,0,352,0,174
