time,fast_pass_crowd,regular_crowd,fast_pass_wait,regular_wait
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:10:00,0,0,0,0
1900-01-01 11:20:00,0,0,0,0
1900-01-01 11:30:00,0,0,0,0
1900-01-01 11:40:00,0,0,0,0
1900-01-01 11:50:00,0,0,0,0
1900-01-01 12:00:00,0,0,0,0
1900-01-01 12:10:00,0,0,0,0
1900-01-01 12:20:00,0,0,0,0
1900-01-01 12:30:00,0,0,0,0
1900-01-01 12:40:00,0,0,0,0
1900-01-01 12:50:00,0,0,0,0
1900-01-01 13:00:00,0,0,0,0
1900-01-01 13:10:00,0,0,0,0
1900-01-01 13:20:00,0,0,0,0
1900-01-01 13:30:00,0,0,0,0
1900-01-01 13:40:00,0,0,0,0
1900-01-01 13:50:00,0,0,0,0
1900-01-01 14:00:00,0,0,0,0
1900-01-01 14:10:00,0,0,0,0
