time,fast_pass_crowd,regular_crowd,fast_pass_wait,regular_wait
1900-01-01 10:04:00,0,0,0,0
1900-01-01 10:08:00,0,0,0,0
1900-01-01 10:12:00,0,0,0,0
1900-01-01 10:16:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:24:00,0,0,0,0
1900-01-01 10:28:00,0,0,0,0
1900-01-01 10:32:00,0,0,0,0
1900-01-01 10:36:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:44:00,0,0,0,0
1900-01-01 10:48:00,0,0,0,0
1900-01-01 10:52:00,0,0,0,0
1900-01-01 10:56:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:04:00,0,0,0,0
1900-01-01 11:08:00,0,0,0,0
1900-01-01 11:12:00,0,0,0,0
1900-01-01 11:16:00,0,0,0,0
1900-01-01 11:20:00,0,0,0,0
1900-01-01 11:24:00,0,0,0,0
1900-01-01 11:28:00,0,0,0,0
1900-01-01 11:32:00,0,0,0,0
1900-01-01 11:36:00,0,0,0,0
1900-01-01 11:40:00,0,0,0,0
