timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:25:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:35:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:45:00,0,0,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 10:55:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:05:00,0,0,0,0
1900-01-01 11:10:00,0,0,0,0
1900-01-01 11:15:00,0,0,0,0
1900-01-01 11:20:00,1,1,3,3
1900-01-01 11:25:00,2,2,6,6
1900-01-01 11:30:00,3,3,9,9
1900-01-01 11:35:00,4,4,12,12
1900-01-01 11:40:00,5,5,15,15
1900-01-01 11:45:00,6,6,18,18
1900-01-01 11:50:00,7,7,21,21
1900-01-01 11:55:00,8,8,24,24
1900-01-01 12:00:00,9,9,27,27
1900-01-01 12:05:00,10,10,30,30
1900-01-01 12:10:00,11,11,33,33
1900-01-01 12:15:00,12,12,36,36
1900-01-01 12:20:00,13,13,39,39
1900-01-01 12:25:00,15,15,45,45
1900-01-01 12:30:00,17,17,51,51
1900-01-01 12:35:00,19,19,57,57
1900-01-01 12:40:00,21,21,63,63
1900-01-01 12:45:00,23,23,69,69
1900-01-01 12:50:00,25,25,75,75
1900-01-01 12:55:00,27,27,81,81
1900-01-01 13:00:00,29,29,87,87
1900-01-01 13:05:00,31,31,93,93
1900-01-01 13:10:00,33,33,99,99
1900-01-01 13:15:00,35,35,105,105
1900-01-01 13:20:00,37,37,111,111
1900-01-01 13:25:00,39,39,117,117
1900-01-01 13:30:00,41,41,123,123
1900-01-01 13:35:00,43,43,129,129
1900-01-01 13:40:00,45,45,135,135
1900-01-01 13:45:00,47,47,141,141
1900-01-01 13:50:00,49,49,147,147
1900-01-01 13:55:00,51,51,153,153
1900-01-01 14:00:00,53,53,159,159
1900-01-01 14:05:00,55,55,165,165
1900-01-01 14:10:00,57,57,171,171
1900-01-01 14:15:00,59,59,177,177
1900-01-01 14:20:00,61,61,183,183
1900-01-01 14:25:00,63,63,189,189
1900-01-01 14:30:00,65,65,195,195
1900-01-01 14:35:00,67,67,201,201
1900-01-01 14:40:00,69,69,207,207
1900-01-01 14:45:00,71,71,213,213
1900-01-01 14:50:00,73,73,219,219
1900-01-01 14:55:00,75,75,225,225
1900-01-01 15:00:00,77,77,231,231
1900-01-01 15:05:00,79,79,237,237
1900-01-01 15:10:00,81,81,243,243
1900-01-01 15:15:00,83,83,249,249
1900-01-01 15:20:00,85,85,255,255
1900-01-01 15:25:00,87,87,261,261
1900-01-01 15:30:00,89,89,267,267
1900-01-01 15:35:00,91,91,273,273
1900-01-01 15:40:00,93,93,279,279
1900-01-01 15:45:00,95,95,285,285
1900-01-01 15:50:00,97,97,291,291
1900-01-01 15:55:00,99,99,297,297
1900-01-01 16:00:00,101,101,303,303
1900-01-01 16:05:00,103,103,309,309
1900-01-01 16:10:00,105,105,315,315
1900-01-01 16:15:00,107,107,321,321
1900-01-01 16:20:00,109,109,327,327
1900-01-01 16:25:00,111,111,333,333
1900-01-01 16:30:00,113,113,339,339
1900-01-01 16:35:00,115,115,345,345
1900-01-01 16:40:00,117,117,351,351
1900-01-01 16:45:00,119,119,357,357
1900-01-01 16:50:00,121,121,363,363
1900-01-01 16:55:00,123,123,369,369
1900-01-01 17:00:00,125,125,375,375
1900-01-01 17:05:00,127,127,381,381
1900-01-01 17:10:00,129,129,387,387
1900-01-01 17:15:00,131,131,393,393
1900-01-01 17:20:00,133,133,399,399
1900-01-01 17:25:00,135,135,405,405
1900-01-01 17:30:00,137,137,411,411
1900-01-01 17:35:00,139,139,417,417
1900-01-01 17:40:00,141,141,423,423
1900-01-01 17:45:00,143,143,429,429
1900-01-01 17:50:00,145,145,435,435
1900-01-01 17:55:00,147,147,441,441
1900-01-01 18:00:00,149,149,447,447
1900-01-01 18:05:00,151,151,453,453
1900-01-01 18:10:00,153,153,459,459
1900-01-01 18:15:00,155,155,465,465
1900-01-01 18:20:00,157,157,471,471
1900-01-01 18:25:00,159,159,477,477
1900-01-01 18:30:00,161,161,483,483
1900-01-01 18:35:00,163,163,489,489
1900-01-01 18:40:00,165,165,495,495
1900-01-01 18:45:00,167,167,501,501
1900-01-01 18:50:00,169,169,507,507
1900-01-01 18:55:00,171,171,513,513
1900-01-01 19:00:00,173,173,519,519
1900-01-01 19:05:00,175,175,525,525
1900-01-01 19:10:00,177,177,531,531
1900-01-01 19:15:00,179,179,537,537
1900-01-01 19:20:00,181,181,543,543
1900-01-01 19:25:00,183,183,549,549
1900-01-01 19:30:00,185,185,555,555
1900-01-01 19:35:00,187,187,561,561
1900-01-01 19:40:00,189,189,567,567
1900-01-01 19:45:00,191,191,573,573
1900-01-01 19:50:00,193,193,579,579
1900-01-01 19:55:00,195,195,585,585
