timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:25:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:35:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:45:00,0,0,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 10:55:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:05:00,0,0,0,0
1900-01-01 11:10:00,0,0,0,0
1900-01-01 11:15:00,1,1,3,3
1900-01-01 11:20:00,2,2,6,6
1900-01-01 11:25:00,3,3,9,9
1900-01-01 11:30:00,4,4,12,12
1900-01-01 11:35:00,5,5,15,15
1900-01-01 11:40:00,6,6,18,18
1900-01-01 11:45:00,7,7,21,21
1900-01-01 11:50:00,8,8,24,24
1900-01-01 11:55:00,9,9,27,27
1900-01-01 12:00:00,10,10,30,30
1900-01-01 12:05:00,11,11,33,33
1900-01-01 12:10:00,12,12,36,36
1900-01-01 12:15:00,13,13,39,39
1900-01-01 12:20:00,14,14,42,42
1900-01-01 12:25:00,15,15,45,45
1900-01-01 12:30:00,16,16,48,48
1900-01-01 12:35:00,17,17,51,51
1900-01-01 12:40:00,18,18,54,54
1900-01-01 12:45:00,20,20,60,60
1900-01-01 12:50:00,22,22,66,66
1900-01-01 12:55:00,24,24,72,72
1900-01-01 13:00:00,26,26,78,78
1900-01-01 13:05:00,28,28,84,84
1900-01-01 13:10:00,30,30,90,90
1900-01-01 13:15:00,32,32,96,96
1900-01-01 13:20:00,34,34,102,102
1900-01-01 13:25:00,36,36,108,108
1900-01-01 13:30:00,38,38,114,114
1900-01-01 13:35:00,40,40,120,120
1900-01-01 13:40:00,42,42,126,126
1900-01-01 13:45:00,44,44,132,132
1900-01-01 13:50:00,46,46,138,138
1900-01-01 13:55:00,48,48,144,144
1900-01-01 14:00:00,50,50,150,150
1900-01-01 14:05:00,52,52,156,156
1900-01-01 14:10:00,54,54,162,162
1900-01-01 14:15:00,56,56,168,168
1900-01-01 14:20:00,58,58,174,174
1900-01-01 14:25:00,60,60,180,180
1900-01-01 14:30:00,62,62,186,186
1900-01-01 14:35:00,64,64,192,192
1900-01-01 14:40:00,66,66,198,198
1900-01-01 14:45:00,68,68,204,204
1900-01-01 14:50:00,70,70,210,210
1900-01-01 14:55:00,72,72,216,216
1900-01-01 15:00:00,74,74,222,222
1900-01-01 15:05:00,76,76,228,228
1900-01-01 15:10:00,78,78,234,234
1900-01-01 15:15:00,80,80,240,240
1900-01-01 15:20:00,82,82,246,246
1900-01-01 15:25:00,84,84,252,252
1900-01-01 15:30:00,86,86,258,258
1900-01-01 15:35:00,88,88,264,264
1900-01-01 15:40:00,90,90,270,270
1900-01-01 15:45:00,92,92,276,276
1900-01-01 15:50:00,94,94,282,282
1900-01-01 15:55:00,96,96,288,288
1900-01-01 16:00:00,98,98,294,294
1900-01-01 16:05:00,100,100,300,300
1900-01-01 16:10:00,102,102,306,306
1900-01-01 16:15:00,104,104,312,312
1900-01-01 16:20:00,106,106,318,318
1900-01-01 16:25:00,108,108,324,324
1900-01-01 16:30:00,110,110,330,330
1900-01-01 16:35:00,112,112,336,336
1900-01-01 16:40:00,114,114,342,342
1900-01-01 16:45:00,116,116,348,348
1900-01-01 16:50:00,118,118,354,354
1900-01-01 16:55:00,120,120,360,360
1900-01-01 17:00:00,122,122,366,366
1900-01-01 17:05:00,124,124,372,372
1900-01-01 17:10:00,126,126,378,378
1900-01-01 17:15:00,128,128,384,384
1900-01-01 17:20:00,130,130,390,390
1900-01-01 17:25:00,132,132,396,396
1900-01-01 17:30:00,134,134,402,402
1900-01-01 17:35:00,136,136,408,408
1900-01-01 17:40:00,138,138,414,414
1900-01-01 17:45:00,140,140,420,420
1900-01-01 17:50:00,142,142,426,426
1900-01-01 17:55:00,144,144,432,432
1900-01-01 18:00:00,146,146,438,438
1900-01-01 18:05:00,148,148,444,444
1900-01-01 18:10:00,150,150,450,450
1900-01-01 18:15:00,152,152,456,456
1900-01-01 18:20:00,154,154,462,462
1900-01-01 18:25:00,156,156,468,468
1900-01-01 18:30:00,158,158,474,474
1900-01-01 18:35:00,160,160,480,480
1900-01-01 18:40:00,162,162,486,486
1900-01-01 18:45:00,164,164,492,492
1900-01-01 18:50:00,166,166,498,498
1900-01-01 18:55:00,168,168,504,504
1900-01-01 19:00:00,170,170,510,510
1900-01-01 19:05:00,172,172,516,516
1900-01-01 19:10:00,174,174,522,522
1900-01-01 19:15:00,176,176,528,528
1900-01-01 19:20:00,178,178,534,534
1900-01-01 19:25:00,180,180,540,540
1900-01-01 19:30:00,182,182,546,546
1900-01-01 19:35:00,184,184,552,552
1900-01-01 19:40:00,186,186,558,558
1900-01-01 19:45:00,188,188,564,564
1900-01-01 19:50:00,190,190,570,570
1900-01-01 19:55:00,192,192,576,576
