timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:25:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:35:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:45:00,0,0,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 10:55:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:05:00,3,3,15,15
1900-01-01 11:10:00,8,8,15,15
1900-01-01 11:15:00,13,13,15,15
1900-01-01 11:20:00,0,0,0,0
1900-01-01 11:25:00,0,0,0,0
1900-01-01 11:30:00,1,1,15,15
1900-01-01 11:35:00,7,7,15,15
1900-01-01 11:40:00,13,13,15,15
1900-01-01 11:45:00,0,0,0,0
1900-01-01 11:50:00,0,0,0,0
1900-01-01 11:55:00,1,1,15,15
1900-01-01 12:00:00,7,7,15,15
1900-01-01 12:05:00,12,12,15,15
1900-01-01 12:10:00,13,13,15,15
1900-01-01 12:15:00,19,19,15,15
1900-01-01 12:20:00,24,24,15,15
1900-01-01 12:25:00,25,25,15,15
1900-01-01 12:30:00,31,31,30,30
1900-01-01 12:35:00,36,36,30,30
1900-01-01 12:40:00,37,37,30,30
1900-01-01 12:45:00,43,43,30,30
1900-01-01 12:50:00,49,49,30,30
1900-01-01 12:55:00,51,51,30,30
1900-01-01 13:00:00,58,58,30,30
1900-01-01 13:05:00,64,64,45,45
1900-01-01 13:10:00,66,66,45,45
1900-01-01 13:15:00,73,73,45,45
1900-01-01 13:20:00,79,79,45,45
1900-01-01 13:25:00,81,81,45,45
1900-01-01 13:30:00,88,88,45,45
1900-01-01 13:35:00,94,94,60,60
1900-01-01 13:40:00,96,96,60,60
1900-01-01 13:45:00,103,103,60,60
1900-01-01 13:50:00,109,109,60,60
1900-01-01 13:55:00,111,111,60,60
1900-01-01 14:00:00,118,118,60,60
1900-01-01 14:05:00,124,124,75,75
1900-01-01 14:10:00,126,126,75,75
1900-01-01 14:15:00,133,133,75,75
1900-01-01 14:20:00,139,139,75,75
1900-01-01 14:25:00,141,141,75,75
1900-01-01 14:30:00,148,148,75,75
1900-01-01 14:35:00,154,154,90,90
1900-01-01 14:40:00,156,156,90,90
1900-01-01 14:45:00,163,163,90,90
1900-01-01 14:50:00,169,169,90,90
1900-01-01 14:55:00,171,171,90,90
1900-01-01 15:00:00,178,178,90,90
1900-01-01 15:05:00,184,184,105,105
1900-01-01 15:10:00,187,187,105,105
1900-01-01 15:15:00,194,194,105,105
1900-01-01 15:20:00,200,200,105,105
1900-01-01 15:25:00,204,204,105,105
1900-01-01 15:30:00,211,211,120,120
1900-01-01 15:35:00,217,217,120,120
1900-01-01 15:40:00,209,209,105,105
1900-01-01 15:45:00,216,216,120,120
1900-01-01 15:50:00,223,223,120,120
1900-01-01 15:55:00,200,200,105,105
1900-01-01 16:00:00,207,207,105,105
1900-01-01 16:05:00,214,214,120,120
1900-01-01 16:10:00,191,191,105,105
1900-01-01 16:15:00,198,198,105,105
1900-01-01 16:20:00,205,205,105,105
1900-01-01 16:25:00,182,182,105,105
1900-01-01 16:30:00,189,189,105,105
1900-01-01 16:35:00,196,196,105,105
1900-01-01 16:40:00,173,173,90,90
1900-01-01 16:45:00,180,180,90,90
1900-01-01 16:50:00,187,187,105,105
1900-01-01 16:55:00,164,164,90,90
1900-01-01 17:00:00,171,171,90,90
1900-01-01 17:05:00,178,178,90,90
1900-01-01 17:10:00,155,155,90,90
1900-01-01 17:15:00,162,162,90,90
1900-01-01 17:20:00,169,169,90,90
1900-01-01 17:25:00,146,146,75,75
1900-01-01 17:30:00,153,153,90,90
1900-01-01 17:35:00,160,160,90,90
1900-01-01 17:40:00,137,137,75,75
1900-01-01 17:45:00,144,144,75,75
1900-01-01 17:50:00,151,151,90,90
1900-01-01 17:55:00,128,128,75,75
1900-01-01 18:00:00,135,135,75,75
1900-01-01 18:05:00,142,142,75,75
1900-01-01 18:10:00,119,119,60,60
1900-01-01 18:15:00,126,126,75,75
1900-01-01 18:20:00,133,133,75,75
1900-01-01 18:25:00,110,110,60,60
1900-01-01 18:30:00,117,117,60,60
1900-01-01 18:35:00,124,124,75,75
1900-01-01 18:40:00,101,101,60,60
1900-01-01 18:45:00,108,108,60,60
1900-01-01 18:50:00,115,115,60,60
1900-01-01 18:55:00,92,92,60,60
1900-01-01 19:00:00,99,99,60,60
1900-01-01 19:05:00,106,106,60,60
1900-01-01 19:10:00,83,83,45,45
1900-01-01 19:15:00,90,90,45,45
1900-01-01 19:20:00,97,97,60,60
1900-01-01 19:25:00,74,74,45,45
1900-01-01 19:30:00,81,81,45,45
1900-01-01 19:35:00,88,88,45,45
1900-01-01 19:40:00,65,65,45,45
1900-01-01 19:45:00,72,72,45,45
1900-01-01 19:50:00,79,79,45,45
1900-01-01 19:55:00,56,56,30,30
