timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:25:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:35:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:45:00,0,0,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 10:55:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:05:00,0,0,0,0
1900-01-01 11:10:00,0,0,0,0
1900-01-01 11:15:00,0,0,0,0
1900-01-01 11:20:00,0,0,0,0
1900-01-01 11:25:00,1,1,3,3
1900-01-01 11:30:00,3,3,9,9
1900-01-01 11:35:00,4,4,12,12
1900-01-01 11:40:00,6,6,18,18
1900-01-01 11:45:00,8,8,24,24
1900-01-01 11:50:00,11,11,33,33
1900-01-01 11:55:00,13,13,39,39
1900-01-01 12:00:00,16,16,48,48
1900-01-01 12:05:00,18,18,54,54
1900-01-01 12:10:00,21,21,63,63
1900-01-01 12:15:00,23,23,69,69
1900-01-01 12:20:00,26,26,78,78
1900-01-01 12:25:00,28,28,84,84
1900-01-01 12:30:00,31,31,93,93
1900-01-01 12:35:00,33,33,99,99
1900-01-01 12:40:00,36,36,108,108
1900-01-01 12:45:00,38,38,114,114
1900-01-01 12:50:00,41,41,123,123
1900-01-01 12:55:00,43,43,129,129
1900-01-01 13:00:00,46,46,138,138
1900-01-01 13:05:00,48,48,144,144
1900-01-01 13:10:00,51,51,153,153
1900-01-01 13:15:00,53,53,159,159
1900-01-01 13:20:00,56,56,168,168
1900-01-01 13:25:00,58,58,174,174
1900-01-01 13:30:00,61,61,183,183
1900-01-01 13:35:00,63,63,189,189
1900-01-01 13:40:00,66,66,198,198
1900-01-01 13:45:00,68,68,204,204
1900-01-01 13:50:00,71,71,213,213
1900-01-01 13:55:00,73,73,219,219
1900-01-01 14:00:00,76,76,228,228
1900-01-01 14:05:00,78,78,234,234
1900-01-01 14:10:00,81,81,243,243
1900-01-01 14:15:00,83,83,249,249
1900-01-01 14:20:00,86,86,258,258
1900-01-01 14:25:00,88,88,264,264
1900-01-01 14:30:00,91,91,273,273
1900-01-01 14:35:00,93,93,279,279
1900-01-01 14:40:00,96,96,288,288
1900-01-01 14:45:00,98,98,294,294
1900-01-01 14:50:00,101,101,303,303
1900-01-01 14:55:00,103,103,309,309
1900-01-01 15:00:00,106,106,318,318
1900-01-01 15:05:00,108,108,324,324
1900-01-01 15:10:00,111,111,333,333
1900-01-01 15:15:00,113,113,339,339
1900-01-01 15:20:00,116,116,348,348
1900-01-01 15:25:00,118,118,354,354
1900-01-01 15:30:00,121,121,363,363
1900-01-01 15:35:00,123,123,369,369
1900-01-01 15:40:00,126,126,378,378
1900-01-01 15:45:00,128,128,384,384
1900-01-01 15:50:00,131,131,393,393
1900-01-01 15:55:00,133,133,399,399
1900-01-01 16:00:00,136,136,408,408
1900-01-01 16:05:00,138,138,414,414
1900-01-01 16:10:00,141,141,423,423
1900-01-01 16:15:00,143,143,429,429
1900-01-01 16:20:00,146,146,438,438
1900-01-01 16:25:00,148,148,444,444
1900-01-01 16:30:00,151,151,453,453
1900-01-01 16:35:00,153,153,459,459
1900-01-01 16:40:00,156,156,468,468
1900-01-01 16:45:00,158,158,474,474
1900-01-01 16:50:00,161,161,483,483
1900-01-01 16:55:00,163,163,489,489
1900-01-01 17:00:00,166,166,498,498
1900-01-01 17:05:00,168,168,504,504
1900-01-01 17:10:00,171,171,513,513
1900-01-01 17:15:00,173,173,519,519
1900-01-01 17:20:00,176,176,528,528
1900-01-01 17:25:00,178,178,534,534
1900-01-01 17:30:00,181,181,543,543
1900-01-01 17:35:00,183,183,549,549
1900-01-01 17:40:00,186,186,558,558
1900-01-01 17:45:00,188,188,564,564
1900-01-01 17:50:00,191,191,573,573
1900-01-01 17:55:00,193,193,579,579
1900-01-01 18:00:00,196,196,588,588
1900-01-01 18:05:00,198,198,594,594
1900-01-01 18:10:00,201,201,603,603
1900-01-01 18:15:00,203,203,609,609
1900-01-01 18:20:00,206,206,618,618
1900-01-01 18:25:00,208,208,624,624
1900-01-01 18:30:00,211,211,633,633
1900-01-01 18:35:00,213,213,639,639
1900-01-01 18:40:00,216,216,648,648
1900-01-01 18:45:00,218,218,654,654
1900-01-01 18:50:00,221,221,663,663
1900-01-01 18:55:00,223,223,669,669
1900-01-01 19:00:00,226,226,678,678
1900-01-01 19:05:00,228,228,684,684
1900-01-01 19:10:00,231,231,693,693
1900-01-01 19:15:00,233,233,699,699
1900-01-01 19:20:00,236,236,708,708
1900-01-01 19:25:00,238,238,714,714
1900-01-01 19:30:00,241,241,723,723
1900-01-01 19:35:00,243,243,729,729
1900-01-01 19:40:00,246,246,738,738
1900-01-01 19:45:00,248,248,744,744
1900-01-01 19:50:00,251,251,753,753
1900-01-01 19:55:00,253,253,759,759
