timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:25:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:35:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:45:00,0,0,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 10:55:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:05:00,0,0,0,0
1900-01-01 11:10:00,0,0,0,0
1900-01-01 11:15:00,0,0,0,0
1900-01-01 11:20:00,0,0,0,0
1900-01-01 11:25:00,0,0,0,0
1900-01-01 11:30:00,0,0,0,0
1900-01-01 11:35:00,0,0,0,0
1900-01-01 11:40:00,0,0,0,0
1900-01-01 11:45:00,0,0,0,0
1900-01-01 11:50:00,0,0,0,0
1900-01-01 11:55:00,0,0,0,0
1900-01-01 12:00:00,0,0,0,0
1900-01-01 12:05:00,0,0,0,0
1900-01-01 12:10:00,0,0,0,0
1900-01-01 12:15:00,0,0,0,0
1900-01-01 12:20:00,0,0,0,0
1900-01-01 12:25:00,0,0,0,0
1900-01-01 12:30:00,0,0,0,0
1900-01-01 12:35:00,0,0,0,0
1900-01-01 12:40:00,0,0,0,0
1900-01-01 12:45:00,0,0,0,0
1900-01-01 12:50:00,0,0,0,0
1900-01-01 12:55:00,0,0,0,0
1900-01-01 13:00:00,0,0,0,0
1900-01-01 13:05:00,0,0,0,0
1900-01-01 13:10:00,0,0,0,0
1900-01-01 13:15:00,0,0,0,0
1900-01-01 13:20:00,0,0,0,0
1900-01-01 13:25:00,0,0,0,0
1900-01-01 13:30:00,0,0,0,0
1900-01-01 13:35:00,0,0,0,0
1900-01-01 13:40:00,0,0,0,0
1900-01-01 13:45:00,0,0,0,0
1900-01-01 13:50:00,0,0,0,0
1900-01-01 13:55:00,0,0,0,0
1900-01-01 14:00:00,0,0,0,0
1900-01-01 14:05:00,0,0,0,0
1900-01-01 14:10:00,1,1,45,45
1900-01-01 14:15:00,3,3,45,45
1900-01-01 14:20:00,5,5,45,45
1900-01-01 14:25:00,7,7,45,45
1900-01-01 14:30:00,9,9,45,45
1900-01-01 14:35:00,11,11,45,45
1900-01-01 14:40:00,13,13,45,45
1900-01-01 14:45:00,15,15,45,45
1900-01-01 14:50:00,17,17,45,45
1900-01-01 14:55:00,19,19,45,45
1900-01-01 15:00:00,0,0,0,0
1900-01-01 15:05:00,0,0,0,0
1900-01-01 15:10:00,0,0,0,0
1900-01-01 15:15:00,0,0,0,0
1900-01-01 15:20:00,0,0,0,0
1900-01-01 15:25:00,0,0,0,0
1900-01-01 15:30:00,0,0,0,0
1900-01-01 15:35:00,0,0,0,0
1900-01-01 15:40:00,0,0,0,0
1900-01-01 15:45:00,0,0,0,0
1900-01-01 15:50:00,0,0,0,0
1900-01-01 15:55:00,0,0,0,0
1900-01-01 16:00:00,0,0,0,0
1900-01-01 16:05:00,0,0,0,0
1900-01-01 16:10:00,0,0,0,0
1900-01-01 16:15:00,1,1,45,45
1900-01-01 16:20:00,3,3,45,45
1900-01-01 16:25:00,5,5,45,45
1900-01-01 16:30:00,7,7,45,45
1900-01-01 16:35:00,9,9,45,45
1900-01-01 16:40:00,11,11,45,45
1900-01-01 16:45:00,13,13,45,45
1900-01-01 16:50:00,15,15,45,45
1900-01-01 16:55:00,17,17,45,45
1900-01-01 17:00:00,19,19,45,45
1900-01-01 17:05:00,0,0,0,0
1900-01-01 17:10:00,0,0,0,0
1900-01-01 17:15:00,0,0,0,0
1900-01-01 17:20:00,0,0,0,0
1900-01-01 17:25:00,0,0,0,0
1900-01-01 17:30:00,0,0,0,0
1900-01-01 17:35:00,0,0,0,0
1900-01-01 17:40:00,0,0,0,0
1900-01-01 17:45:00,0,0,0,0
1900-01-01 17:50:00,0,0,0,0
1900-01-01 17:55:00,0,0,0,0
1900-01-01 18:00:00,0,0,0,0
1900-01-01 18:05:00,0,0,0,0
1900-01-01 18:10:00,0,0,0,0
1900-01-01 18:15:00,0,0,0,0
1900-01-01 18:20:00,1,1,45,45
1900-01-01 18:25:00,3,3,45,45
1900-01-01 18:30:00,5,5,45,45
1900-01-01 18:35:00,7,7,45,45
1900-01-01 18:40:00,9,9,45,45
1900-01-01 18:45:00,11,11,45,45
1900-01-01 18:50:00,13,13,45,45
1900-01-01 18:55:00,15,15,45,45
1900-01-01 19:00:00,17,17,45,45
1900-01-01 19:05:00,19,19,45,45
1900-01-01 19:10:00,0,0,0,0
1900-01-01 19:15:00,0,0,0,0
1900-01-01 19:20:00,0,0,0,0
1900-01-01 19:25:00,0,0,0,0
1900-01-01 19:30:00,0,0,0,0
1900-01-01 19:35:00,0,0,0,0
1900-01-01 19:40:00,0,0,0,0
1900-01-01 19:45:00,0,0,0,0
1900-01-01 19:50:00,0,0,0,0
1900-01-01 19:55:00,0,0,0,0
