timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:25:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:35:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:45:00,0,0,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 10:55:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:05:00,0,0,0,0
1900-01-01 11:10:00,0,0,0,0
1900-01-01 11:15:00,0,0,0,0
1900-01-01 11:20:00,0,0,0,0
1900-01-01 11:25:00,0,0,0,0
1900-01-01 11:30:00,0,0,0,0
1900-01-01 11:35:00,0,0,0,0
1900-01-01 11:40:00,0,0,0,0
1900-01-01 11:45:00,0,0,0,0
1900-01-01 11:50:00,0,0,0,0
1900-01-01 11:55:00,0,0,0,0
1900-01-01 12:00:00,0,0,0,0
1900-01-01 12:05:00,0,0,0,0
1900-01-01 12:10:00,0,0,0,0
1900-01-01 12:15:00,0,0,0,0
1900-01-01 12:20:00,1,1,45,45
1900-01-01 12:25:00,6,6,45,45
1900-01-01 12:30:00,11,11,45,45
1900-01-01 12:35:00,16,16,45,45
1900-01-01 12:40:00,21,21,45,45
1900-01-01 12:45:00,26,26,45,45
1900-01-01 12:50:00,31,31,45,45
1900-01-01 12:55:00,36,36,45,45
1900-01-01 13:00:00,41,41,45,45
1900-01-01 13:05:00,0,0,0,0
1900-01-01 13:10:00,1,1,45,45
1900-01-01 13:15:00,6,6,45,45
1900-01-01 13:20:00,11,11,45,45
1900-01-01 13:25:00,16,16,45,45
1900-01-01 13:30:00,21,21,45,45
1900-01-01 13:35:00,26,26,45,45
1900-01-01 13:40:00,31,31,45,45
1900-01-01 13:45:00,36,36,45,45
1900-01-01 13:50:00,40,40,45,45
1900-01-01 13:55:00,41,41,45,45
1900-01-01 14:00:00,46,46,45,45
1900-01-01 14:05:00,51,51,90,90
1900-01-01 14:10:00,56,56,90,90
1900-01-01 14:15:00,61,61,90,90
1900-01-01 14:20:00,66,66,90,90
1900-01-01 14:25:00,71,71,90,90
1900-01-01 14:30:00,76,76,90,90
1900-01-01 14:35:00,80,80,90,90
1900-01-01 14:40:00,81,81,90,90
1900-01-01 14:45:00,86,86,90,90
1900-01-01 14:50:00,91,91,90,90
1900-01-01 14:55:00,96,96,90,90
1900-01-01 15:00:00,101,101,135,135
1900-01-01 15:05:00,106,106,135,135
1900-01-01 15:10:00,111,111,135,135
1900-01-01 15:15:00,116,116,135,135
1900-01-01 15:20:00,120,120,135,135
1900-01-01 15:25:00,121,121,135,135
1900-01-01 15:30:00,126,126,135,135
1900-01-01 15:35:00,131,131,135,135
1900-01-01 15:40:00,136,136,135,135
1900-01-01 15:45:00,141,141,135,135
1900-01-01 15:50:00,146,146,135,135
1900-01-01 15:55:00,151,151,180,180
1900-01-01 16:00:00,156,156,180,180
1900-01-01 16:05:00,160,160,180,180
1900-01-01 16:10:00,161,161,180,180
1900-01-01 16:15:00,166,166,180,180
1900-01-01 16:20:00,171,171,180,180
1900-01-01 16:25:00,176,176,180,180
1900-01-01 16:30:00,181,181,180,180
1900-01-01 16:35:00,186,186,180,180
1900-01-01 16:40:00,191,191,180,180
1900-01-01 16:45:00,196,196,180,180
1900-01-01 16:50:00,200,200,180,180
1900-01-01 16:55:00,201,201,225,225
1900-01-01 17:00:00,206,206,225,225
1900-01-01 17:05:00,211,211,225,225
1900-01-01 17:10:00,216,216,225,225
1900-01-01 17:15:00,221,221,225,225
1900-01-01 17:20:00,226,226,225,225
1900-01-01 17:25:00,231,231,225,225
1900-01-01 17:30:00,236,236,225,225
1900-01-01 17:35:00,240,240,225,225
1900-01-01 17:40:00,241,241,225,225
1900-01-01 17:45:00,246,246,225,225
1900-01-01 17:50:00,251,251,270,270
1900-01-01 17:55:00,256,256,270,270
1900-01-01 18:00:00,261,261,270,270
1900-01-01 18:05:00,266,266,270,270
1900-01-01 18:10:00,271,271,270,270
1900-01-01 18:15:00,276,276,270,270
1900-01-01 18:20:00,280,280,270,270
1900-01-01 18:25:00,281,281,270,270
1900-01-01 18:30:00,286,286,270,270
1900-01-01 18:35:00,291,291,270,270
1900-01-01 18:40:00,296,296,270,270
1900-01-01 18:45:00,301,301,315,315
1900-01-01 18:50:00,306,306,315,315
1900-01-01 18:55:00,311,311,315,315
1900-01-01 19:00:00,316,316,315,315
1900-01-01 19:05:00,320,320,315,315
1900-01-01 19:10:00,321,321,315,315
1900-01-01 19:15:00,326,326,315,315
1900-01-01 19:20:00,331,331,315,315
1900-01-01 19:25:00,336,336,315,315
1900-01-01 19:30:00,341,341,315,315
1900-01-01 19:35:00,346,346,315,315
1900-01-01 19:40:00,351,351,360,360
1900-01-01 19:45:00,356,356,360,360
1900-01-01 19:50:00,360,360,360,360
1900-01-01 19:55:00,361,361,360,360
