timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:25:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:35:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:45:00,0,0,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 10:55:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:05:00,0,0,0,0
1900-01-01 11:10:00,0,0,0,0
1900-01-01 11:15:00,0,0,0,0
1900-01-01 11:20:00,0,0,0,0
1900-01-01 11:25:00,0,0,0,0
1900-01-01 11:30:00,0,0,0,0
1900-01-01 11:35:00,0,0,0,0
1900-01-01 11:40:00,0,0,0,0
1900-01-01 11:45:00,0,0,0,0
1900-01-01 11:50:00,0,0,0,0
1900-01-01 11:55:00,0,0,0,0
1900-01-01 12:00:00,0,0,0,0
1900-01-01 12:05:00,0,0,0,0
1900-01-01 12:10:00,2,2,45,45
1900-01-01 12:15:00,7,7,45,45
1900-01-01 12:20:00,12,12,45,45
1900-01-01 12:25:00,17,17,45,45
1900-01-01 12:30:00,22,22,45,45
1900-01-01 12:35:00,27,27,45,45
1900-01-01 12:40:00,32,32,45,45
1900-01-01 12:45:00,37,37,45,45
1900-01-01 12:50:00,42,42,45,45
1900-01-01 12:55:00,0,0,0,0
1900-01-01 13:00:00,2,2,45,45
1900-01-01 13:05:00,7,7,45,45
1900-01-01 13:10:00,12,12,45,45
1900-01-01 13:15:00,17,17,45,45
1900-01-01 13:20:00,22,22,45,45
1900-01-01 13:25:00,27,27,45,45
1900-01-01 13:30:00,32,32,45,45
1900-01-01 13:35:00,37,37,45,45
1900-01-01 13:40:00,42,42,45,45
1900-01-01 13:45:00,0,0,0,0
1900-01-01 13:50:00,2,2,45,45
1900-01-01 13:55:00,7,7,45,45
1900-01-01 14:00:00,12,12,45,45
1900-01-01 14:05:00,17,17,45,45
1900-01-01 14:10:00,22,22,45,45
1900-01-01 14:15:00,27,27,45,45
1900-01-01 14:20:00,32,32,45,45
1900-01-01 14:25:00,37,37,45,45
1900-01-01 14:30:00,40,40,45,45
1900-01-01 14:35:00,42,42,45,45
1900-01-01 14:40:00,47,47,45,45
1900-01-01 14:45:00,52,52,90,90
1900-01-01 14:50:00,57,57,90,90
1900-01-01 14:55:00,62,62,90,90
1900-01-01 15:00:00,67,67,90,90
1900-01-01 15:05:00,72,72,90,90
1900-01-01 15:10:00,77,77,90,90
1900-01-01 15:15:00,80,80,90,90
1900-01-01 15:20:00,82,82,90,90
1900-01-01 15:25:00,87,87,90,90
1900-01-01 15:30:00,92,92,90,90
1900-01-01 15:35:00,97,97,90,90
1900-01-01 15:40:00,102,102,135,135
1900-01-01 15:45:00,107,107,135,135
1900-01-01 15:50:00,112,112,135,135
1900-01-01 15:55:00,117,117,135,135
1900-01-01 16:00:00,120,120,135,135
1900-01-01 16:05:00,122,122,135,135
1900-01-01 16:10:00,127,127,135,135
1900-01-01 16:15:00,132,132,135,135
1900-01-01 16:20:00,137,137,135,135
1900-01-01 16:25:00,142,142,135,135
1900-01-01 16:30:00,147,147,135,135
1900-01-01 16:35:00,152,152,180,180
1900-01-01 16:40:00,157,157,180,180
1900-01-01 16:45:00,160,160,180,180
1900-01-01 16:50:00,162,162,180,180
1900-01-01 16:55:00,167,167,180,180
1900-01-01 17:00:00,172,172,180,180
1900-01-01 17:05:00,177,177,180,180
1900-01-01 17:10:00,182,182,180,180
1900-01-01 17:15:00,187,187,180,180
1900-01-01 17:20:00,192,192,180,180
1900-01-01 17:25:00,197,197,180,180
1900-01-01 17:30:00,200,200,180,180
1900-01-01 17:35:00,202,202,225,225
1900-01-01 17:40:00,207,207,225,225
1900-01-01 17:45:00,212,212,225,225
1900-01-01 17:50:00,217,217,225,225
1900-01-01 17:55:00,222,222,225,225
1900-01-01 18:00:00,227,227,225,225
1900-01-01 18:05:00,232,232,225,225
1900-01-01 18:10:00,237,237,225,225
1900-01-01 18:15:00,240,240,225,225
1900-01-01 18:20:00,242,242,225,225
1900-01-01 18:25:00,247,247,225,225
1900-01-01 18:30:00,252,252,270,270
1900-01-01 18:35:00,257,257,270,270
1900-01-01 18:40:00,262,262,270,270
1900-01-01 18:45:00,267,267,270,270
1900-01-01 18:50:00,272,272,270,270
1900-01-01 18:55:00,277,277,270,270
1900-01-01 19:00:00,280,280,270,270
1900-01-01 19:05:00,282,282,270,270
1900-01-01 19:10:00,287,287,270,270
1900-01-01 19:15:00,292,292,270,270
1900-01-01 19:20:00,297,297,270,270
1900-01-01 19:25:00,302,302,315,315
1900-01-01 19:30:00,307,307,315,315
1900-01-01 19:35:00,312,312,315,315
1900-01-01 19:40:00,317,317,315,315
1900-01-01 19:45:00,320,320,315,315
1900-01-01 19:50:00,322,322,315,315
1900-01-01 19:55:00,327,327,315,315
