timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:25:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:35:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:45:00,0,0,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 10:55:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:05:00,0,0,0,0
1900-01-01 11:10:00,0,0,0,0
1900-01-01 11:15:00,0,0,0,0
1900-01-01 11:20:00,0,0,0,0
1900-01-01 11:25:00,0,0,0,0
1900-01-01 11:30:00,0,0,0,0
1900-01-01 11:35:00,0,0,0,0
1900-01-01 11:40:00,0,0,0,0
1900-01-01 11:45:00,1,1,3,3
1900-01-01 11:50:00,4,4,12,12
1900-01-01 11:55:00,7,7,21,21
1900-01-01 12:00:00,10,10,30,30
1900-01-01 12:05:00,13,13,39,39
1900-01-01 12:10:00,16,16,48,48
1900-01-01 12:15:00,19,19,57,57
1900-01-01 12:20:00,22,22,66,66
1900-01-01 12:25:00,25,25,75,75
1900-01-01 12:30:00,28,28,84,84
1900-01-01 12:35:00,32,32,96,96
1900-01-01 12:40:00,36,36,108,108
1900-01-01 12:45:00,40,40,120,120
1900-01-01 12:50:00,44,44,132,132
1900-01-01 12:55:00,48,48,144,144
1900-01-01 13:00:00,52,52,156,156
1900-01-01 13:05:00,56,56,168,168
1900-01-01 13:10:00,60,60,180,180
1900-01-01 13:15:00,64,64,192,192
1900-01-01 13:20:00,68,68,204,204
1900-01-01 13:25:00,72,72,216,216
1900-01-01 13:30:00,76,76,228,228
1900-01-01 13:35:00,80,80,240,240
1900-01-01 13:40:00,84,84,252,252
1900-01-01 13:45:00,88,88,264,264
1900-01-01 13:50:00,92,92,276,276
1900-01-01 13:55:00,96,96,288,288
1900-01-01 14:00:00,100,100,300,300
1900-01-01 14:05:00,104,104,312,312
1900-01-01 14:10:00,108,108,324,324
1900-01-01 14:15:00,112,112,336,336
1900-01-01 14:20:00,116,116,348,348
1900-01-01 14:25:00,120,120,360,360
1900-01-01 14:30:00,124,124,372,372
1900-01-01 14:35:00,128,128,384,384
1900-01-01 14:40:00,132,132,396,396
1900-01-01 14:45:00,136,136,408,408
1900-01-01 14:50:00,140,140,420,420
1900-01-01 14:55:00,144,144,432,432
1900-01-01 15:00:00,148,148,444,444
1900-01-01 15:05:00,152,152,456,456
1900-01-01 15:10:00,156,156,468,468
1900-01-01 15:15:00,160,160,480,480
1900-01-01 15:20:00,164,164,492,492
1900-01-01 15:25:00,168,168,504,504
1900-01-01 15:30:00,172,172,516,516
1900-01-01 15:35:00,176,176,528,528
1900-01-01 15:40:00,180,180,540,540
1900-01-01 15:45:00,184,184,552,552
1900-01-01 15:50:00,188,188,564,564
1900-01-01 15:55:00,192,192,576,576
1900-01-01 16:00:00,196,196,588,588
1900-01-01 16:05:00,200,200,600,600
1900-01-01 16:10:00,204,204,612,612
1900-01-01 16:15:00,208,208,624,624
1900-01-01 16:20:00,212,212,636,636
1900-01-01 16:25:00,216,216,648,648
1900-01-01 16:30:00,220,220,660,660
1900-01-01 16:35:00,224,224,672,672
1900-01-01 16:40:00,228,228,684,684
1900-01-01 16:45:00,232,232,696,696
1900-01-01 16:50:00,236,236,708,708
1900-01-01 16:55:00,240,240,720,720
1900-01-01 17:00:00,244,244,732,732
1900-01-01 17:05:00,248,248,744,744
1900-01-01 17:10:00,252,252,756,756
1900-01-01 17:15:00,256,256,768,768
1900-01-01 17:20:00,260,260,780,780
1900-01-01 17:25:00,264,264,792,792
1900-01-01 17:30:00,268,268,804,804
1900-01-01 17:35:00,272,272,816,816
1900-01-01 17:40:00,276,276,828,828
1900-01-01 17:45:00,280,280,840,840
1900-01-01 17:50:00,284,284,852,852
1900-01-01 17:55:00,288,288,864,864
1900-01-01 18:00:00,292,292,876,876
1900-01-01 18:05:00,296,296,888,888
1900-01-01 18:10:00,300,300,900,900
1900-01-01 18:15:00,304,304,912,912
1900-01-01 18:20:00,308,308,924,924
1900-01-01 18:25:00,312,312,936,936
1900-01-01 18:30:00,316,316,948,948
1900-01-01 18:35:00,320,320,960,960
1900-01-01 18:40:00,324,324,972,972
1900-01-01 18:45:00,328,328,984,984
1900-01-01 18:50:00,332,332,996,996
1900-01-01 18:55:00,336,336,1008,1008
1900-01-01 19:00:00,340,340,1020,1020
1900-01-01 19:05:00,344,344,1032,1032
1900-01-01 19:10:00,348,348,1044,1044
1900-01-01 19:15:00,352,352,1056,1056
1900-01-01 19:20:00,356,356,1068,1068
1900-01-01 19:25:00,360,360,1080,1080
1900-01-01 19:30:00,364,364,1092,1092
1900-01-01 19:35:00,368,368,1104,1104
1900-01-01 19:40:00,372,372,1116,1116
1900-01-01 19:45:00,376,376,1128,1128
1900-01-01 19:50:00,380,380,1140,1140
1900-01-01 19:55:00,384,384,1152,1152
