timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:01:00,0,0,0,0
1900-01-01 10:02:00,0,0,0,0
1900-01-01 10:03:00,1,1,45,45
1900-01-01 10:04:00,79,79,90,90
1900-01-01 10:05:00,234,234,225,225
1900-01-01 10:06:00,469,469,450,450
1900-01-01 10:07:00,787,787,720,720
1900-01-01 10:08:00,1183,1183,1080,1080
1900-01-01 10:09:00,1667,1667,1530,1530
1900-01-01 10:10:00,2233,2233,2025,2025
1900-01-01 10:11:00,2883,2883,2610,2610
1900-01-01 10:12:00,3612,3612,3285,3285
1900-01-01 10:13:00,4426,4426,4005,4005
1900-01-01 10:14:00,5323,5323,4815,4815
1900-01-01 10:15:00,6307,6307,5715,5715
1900-01-01 10:16:00,7380,7380,6660,6660
1900-01-01 10:17:00,8534,8534,7695,7695
1900-01-01 10:18:00,9768,9768,8820,8820
1900-01-01 10:19:00,11089,11089,9990,9990
1900-01-01 10:20:00,12492,12492,11250,11250
1900-01-01 10:21:00,13983,13983,12600,12600
1900-01-01 10:22:00,15565,15565,14040,14040
1900-01-01 10:23:00,17241,17241,15525,15525
1900-01-01 10:24:00,18996,18996,17100,17100
1900-01-01 10:25:00,20829,20829,18765,18765
1900-01-01 10:26:00,22746,22746,20475,20475
1900-01-01 10:27:00,24748,24748,22275,22275
1900-01-01 10:28:00,26837,26837,24165,24165
1900-01-01 10:29:00,29015,29015,26145,26145
1900-01-01 10:30:00,31284,31284,28170,28170
1900-01-01 10:31:00,33642,33642,30285,30285
1900-01-01 10:32:00,36088,36088,32490,32490
1900-01-01 10:33:00,38612,38612,34785,34785
1900-01-01 10:34:00,41215,41215,37125,37125
1900-01-01 10:35:00,43903,43903,39555,39555
1900-01-01 10:36:00,46673,46673,42030,42030
1900-01-01 10:37:00,49531,49531,44595,44595
1900-01-01 10:38:00,52477,52477,47250,47250
1900-01-01 10:39:00,55517,55517,49995,49995
1900-01-01 10:40:00,58645,58645,52785,52785
1900-01-01 10:41:00,61859,61859,55710,55710
1900-01-01 10:42:00,65161,65161,58680,58680
1900-01-01 10:43:00,68554,68554,61740,61740
1900-01-01 10:44:00,72029,72029,64845,64845
1900-01-01 10:45:00,75585,75585,68040,68040
1900-01-01 10:46:00,79228,79228,71325,71325
1900-01-01 10:47:00,82954,82954,74700,74700
1900-01-01 10:48:00,86768,86768,78120,78120
1900-01-01 10:49:00,90673,90673,81630,81630
1900-01-01 10:50:00,94672,94672,85230,85230
1900-01-01 10:51:00,98754,98754,88920,88920
1900-01-01 10:52:00,102923,102923,92655,92655
1900-01-01 10:53:00,107181,107181,96480,96480
1900-01-01 10:54:00,111533,111533,100395,100395
1900-01-01 10:55:00,115973,115973,104400,104400
1900-01-01 10:56:00,120497,120497,108450,108450
1900-01-01 10:57:00,125100,125100,112590,112590
1900-01-01 10:58:00,129788,129788,116820,116820
1900-01-01 10:59:00,134558,134558,121140,121140
1900-01-01 11:00:00,139416,139416,125505,125505
1900-01-01 11:01:00,144362,144362,129960,129960
1900-01-01 11:02:00,149402,149402,134505,134505
1900-01-01 11:03:00,154530,154530,139095,139095
1900-01-01 11:04:00,159744,159744,143775,143775
1900-01-01 11:05:00,165046,165046,148545,148545
1900-01-01 11:06:00,170439,170439,153405,153405
1900-01-01 11:07:00,175923,175923,158355,158355
1900-01-01 11:08:00,181498,181498,163350,163350
1900-01-01 11:09:00,187167,187167,168480,168480
1900-01-01 11:10:00,192916,192916,173655,173655
1900-01-01 11:11:00,198744,198744,178875,178875
1900-01-01 11:12:00,204657,204657,184230,184230
1900-01-01 11:13:00,210652,210652,189630,189630
1900-01-01 11:14:00,216735,216735,195075,195075
1900-01-01 11:15:00,222906,222906,200655,200655
1900-01-01 11:16:00,229171,229171,206280,206280
1900-01-01 11:17:00,235524,235524,211995,211995
1900-01-01 11:18:00,241963,241963,217800,217800
1900-01-01 11:19:00,248490,248490,223650,223650
1900-01-01 11:20:00,255108,255108,229635,229635
1900-01-01 11:21:00,261817,261817,235665,235665
1900-01-01 11:22:00,268617,268617,241785,241785
1900-01-01 11:23:00,275511,275511,247995,247995
1900-01-01 11:24:00,282489,282489,254250,254250
1900-01-01 11:25:00,289555,289555,260640,260640
1900-01-01 11:26:00,296699,296699,267030,267030
1900-01-01 11:27:00,303923,303923,273555,273555
1900-01-01 11:28:00,311234,311234,280125,280125
1900-01-01 11:29:00,318628,318628,286785,286785
1900-01-01 11:30:00,326109,326109,293535,293535
1900-01-01 11:31:00,333681,333681,300330,300330
1900-01-01 11:32:00,341349,341349,307215,307215
1900-01-01 11:33:00,349098,349098,314190,314190
1900-01-01 11:34:00,356935,356935,321255,321255
1900-01-01 11:35:00,364863,364863,328410,328410
1900-01-01 11:36:00,372885,372885,335610,335610
1900-01-01 11:37:00,380995,380995,342900,342900
1900-01-01 11:38:00,389196,389196,350280,350280
1900-01-01 11:39:00,397490,397490,357750,357750
1900-01-01 11:40:00,405866,405866,365310,365310
1900-01-01 11:41:00,414330,414330,372915,372915
1900-01-01 11:42:00,422885,422885,380610,380610
1900-01-01 11:43:00,431524,431524,388395,388395
1900-01-01 11:44:00,440242,440242,396225,396225
1900-01-01 11:45:00,449048,449048,404145,404145
1900-01-01 11:46:00,457936,457936,412155,412155
1900-01-01 11:47:00,466911,466911,420255,420255
1900-01-01 11:48:00,475975,475975,428400,428400
1900-01-01 11:49:00,485133,485133,436635,436635
1900-01-01 11:50:00,494376,494376,444960,444960
1900-01-01 11:51:00,503705,503705,453375,453375
1900-01-01 11:52:00,513124,513124,461835,461835
1900-01-01 11:53:00,522635,522635,470385,470385
1900-01-01 11:54:00,532237,532237,479025,479025
1900-01-01 11:55:00,541930,541930,487755,487755
1900-01-01 11:56:00,551717,551717,496575,496575
1900-01-01 11:57:00,561588,561588,505440,505440
1900-01-01 11:58:00,571545,571545,514395,514395
1900-01-01 11:59:00,581592,581592,523440,523440
1900-01-01 12:00:00,591733,591733,532575,532575
