timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:01:00,0,0,0,0
1900-01-01 10:02:00,0,0,0,0
1900-01-01 10:03:00,28,28,45,45
1900-01-01 10:04:00,136,136,135,135
1900-01-01 10:05:00,328,328,315,315
1900-01-01 10:06:00,608,608,585,585
1900-01-01 10:07:00,976,976,900,900
1900-01-01 10:08:00,1428,1428,1305,1305
1900-01-01 10:09:00,1964,1964,1800,1800
1900-01-01 10:10:00,2588,2588,2340,2340
1900-01-01 10:11:00,3303,3303,3015,3015
1900-01-01 10:12:00,4112,4112,3735,3735
1900-01-01 10:13:00,5000,5000,4500,4500
1900-01-01 10:14:00,5976,5976,5400,5400
1900-01-01 10:15:00,7040,7040,6345,6345
1900-01-01 10:16:00,8195,8195,7380,7380
1900-01-01 10:17:00,9441,9441,8505,8505
1900-01-01 10:18:00,10775,10775,9720,9720
1900-01-01 10:19:00,12203,12203,11025,11025
1900-01-01 10:20:00,13713,13713,12375,12375
1900-01-01 10:21:00,15311,15311,13815,13815
1900-01-01 10:22:00,16997,16997,15300,15300
1900-01-01 10:23:00,18777,18777,16920,16920
1900-01-01 10:24:00,20645,20645,18585,18585
1900-01-01 10:25:00,22604,22604,20385,20385
1900-01-01 10:26:00,24660,24660,22230,22230
1900-01-01 10:27:00,26806,26806,24165,24165
1900-01-01 10:28:00,29038,29038,26145,26145
1900-01-01 10:29:00,31358,31358,28260,28260
1900-01-01 10:30:00,33766,33766,30420,30420
1900-01-01 10:31:00,36265,36265,32670,32670
1900-01-01 10:32:00,38855,38855,35010,35010
1900-01-01 10:33:00,41533,41533,37395,37395
1900-01-01 10:34:00,44305,44305,39915,39915
1900-01-01 10:35:00,47169,47169,42480,42480
1900-01-01 10:36:00,50129,50129,45135,45135
1900-01-01 10:37:00,53183,53183,47880,47880
1900-01-01 10:38:00,56315,56315,50715,50715
1900-01-01 10:39:00,59535,59535,53595,53595
1900-01-01 10:40:00,62843,62843,56565,56565
1900-01-01 10:41:00,66242,66242,59625,59625
1900-01-01 10:42:00,69732,69732,62775,62775
1900-01-01 10:43:00,73310,73310,66015,66015
1900-01-01 10:44:00,76982,76982,69300,69300
1900-01-01 10:45:00,80748,80748,72675,72675
1900-01-01 10:46:00,84608,84608,76185,76185
1900-01-01 10:47:00,88562,88562,79740,79740
1900-01-01 10:48:00,92602,92602,83385,83385
1900-01-01 10:49:00,96733,96733,87075,87075
1900-01-01 10:50:00,100946,100946,90855,90855
1900-01-01 10:51:00,105246,105246,94725,94725
1900-01-01 10:52:00,109635,109635,98685,98685
1900-01-01 10:53:00,114115,114115,102735,102735
1900-01-01 10:54:00,118686,118686,106830,106830
1900-01-01 10:55:00,123348,123348,111015,111015
1900-01-01 10:56:00,128104,128104,115335,115335
1900-01-01 10:57:00,132951,132951,119700,119700
1900-01-01 10:58:00,137892,137892,124110,124110
1900-01-01 10:59:00,142925,142925,128655,128655
1900-01-01 11:00:00,148046,148046,133245,133245
1900-01-01 11:01:00,153258,153258,137970,137970
1900-01-01 11:02:00,158564,158564,142740,142740
1900-01-01 11:03:00,163958,163958,147600,147600
1900-01-01 11:04:00,169434,169434,152505,152505
1900-01-01 11:05:00,174998,174998,157500,157500
1900-01-01 11:06:00,180653,180653,162630,162630
1900-01-01 11:07:00,186403,186403,167805,167805
1900-01-01 11:08:00,192240,192240,173025,173025
1900-01-01 11:09:00,198168,198168,178380,178380
1900-01-01 11:10:00,204190,204190,183780,183780
1900-01-01 11:11:00,210306,210306,189315,189315
1900-01-01 11:12:00,216516,216516,194895,194895
1900-01-01 11:13:00,222814,222814,200565,200565
1900-01-01 11:14:00,229202,229202,206325,206325
1900-01-01 11:15:00,235686,235686,212130,212130
1900-01-01 11:16:00,242261,242261,218070,218070
1900-01-01 11:17:00,248930,248930,224055,224055
1900-01-01 11:18:00,255693,255693,230130,230130
1900-01-01 11:19:00,262538,262538,236295,236295
1900-01-01 11:20:00,269470,269470,242550,242550
1900-01-01 11:21:00,276491,276491,248850,248850
1900-01-01 11:22:00,283606,283606,255285,255285
1900-01-01 11:23:00,290809,290809,261765,261765
1900-01-01 11:24:00,298103,298103,268335,268335
1900-01-01 11:25:00,305491,305491,274950,274950
1900-01-01 11:26:00,312970,312970,281700,281700
1900-01-01 11:27:00,320544,320544,288495,288495
1900-01-01 11:28:00,328209,328209,295425,295425
1900-01-01 11:29:00,335962,335962,302400,302400
1900-01-01 11:30:00,343809,343809,309465,309465
1900-01-01 11:31:00,351747,351747,316575,316575
1900-01-01 11:32:00,359782,359782,323820,323820
1900-01-01 11:33:00,367911,367911,331155,331155
1900-01-01 11:34:00,376134,376134,338535,338535
1900-01-01 11:35:00,384457,384457,346050,346050
1900-01-01 11:36:00,392861,392861,353610,353610
1900-01-01 11:37:00,401351,401351,361260,361260
1900-01-01 11:38:00,409931,409931,368955,368955
1900-01-01 11:39:00,418603,418603,376785,376785
1900-01-01 11:40:00,427366,427366,384660,384660
1900-01-01 11:41:00,436220,436220,392625,392625
1900-01-01 11:42:00,445168,445168,400680,400680
1900-01-01 11:43:00,454207,454207,408825,408825
1900-01-01 11:44:00,463340,463340,417015,417015
1900-01-01 11:45:00,472565,472565,425340,425340
1900-01-01 11:46:00,481878,481878,433710,433710
1900-01-01 11:47:00,491282,491282,442170,442170
1900-01-01 11:48:00,500780,500780,450720,450720
1900-01-01 11:49:00,510372,510372,459360,459360
1900-01-01 11:50:00,520058,520058,468090,468090
1900-01-01 11:51:00,529840,529840,476865,476865
1900-01-01 11:52:00,539720,539720,485775,485775
1900-01-01 11:53:00,549691,549691,494730,494730
1900-01-01 11:54:00,559747,559747,503775,503775
1900-01-01 11:55:00,569883,569883,512910,512910
1900-01-01 11:56:00,580106,580106,522135,522135
1900-01-01 11:57:00,590420,590420,531405,531405
1900-01-01 11:58:00,600828,600828,540765,540765
1900-01-01 11:59:00,611324,611324,550215,550215
1900-01-01 12:00:00,621911,621911,559755,559755
