timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,4104,4104,2055,2055
1900-01-01 10:01:00,8268,8268,4140,4140
1900-01-01 10:02:00,12492,12492,6255,6255
1900-01-01 10:03:00,16776,16776,8400,8400
1900-01-01 10:04:00,21120,21120,10560,10560
1900-01-01 10:05:00,25524,25524,12765,12765
1900-01-01 10:06:00,29988,29988,15000,15000
1900-01-01 10:07:00,34512,34512,17265,17265
1900-01-01 10:08:00,39096,39096,19560,19560
1900-01-01 10:09:00,43740,43740,21870,21870
1900-01-01 10:10:00,48444,48444,24225,24225
1900-01-01 10:11:00,53208,53208,26610,26610
1900-01-01 10:12:00,58032,58032,29025,29025
1900-01-01 10:13:00,62916,62916,31470,31470
1900-01-01 10:14:00,67860,67860,33930,33930
1900-01-01 10:15:00,72864,72864,36435,36435
1900-01-01 10:16:00,77928,77928,38970,38970
1900-01-01 10:17:00,83052,83052,41535,41535
1900-01-01 10:18:00,88236,88236,44130,44130
1900-01-01 10:19:00,93480,93480,46740,46740
1900-01-01 10:20:00,98784,98784,49395,49395
1900-01-01 10:21:00,104148,104148,52080,52080
1900-01-01 10:22:00,109572,109572,54795,54795
1900-01-01 10:23:00,115056,115056,57540,57540
1900-01-01 10:24:00,120600,120600,60300,60300
1900-01-01 10:25:00,126204,126204,63105,63105
1900-01-01 10:26:00,131868,131868,65940,65940
1900-01-01 10:27:00,137592,137592,68805,68805
1900-01-01 10:28:00,143376,143376,71700,71700
1900-01-01 10:29:00,149220,149220,74610,74610
1900-01-01 10:30:00,155124,155124,77565,77565
1900-01-01 10:31:00,161088,161088,80550,80550
1900-01-01 10:32:00,167112,167112,83565,83565
1900-01-01 10:33:00,173196,173196,86610,86610
1900-01-01 10:34:00,179340,179340,89670,89670
1900-01-01 10:35:00,185544,185544,92775,92775
1900-01-01 10:36:00,191808,191808,95910,95910
1900-01-01 10:37:00,198132,198132,99075,99075
1900-01-01 10:38:00,204516,204516,102270,102270
1900-01-01 10:39:00,210960,210960,105480,105480
1900-01-01 10:40:00,217464,217464,108735,108735
1900-01-01 10:41:00,224028,224028,112020,112020
1900-01-01 10:42:00,230652,230652,115335,115335
1900-01-01 10:43:00,237336,237336,118680,118680
1900-01-01 10:44:00,244080,244080,122040,122040
