timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,148,148,75,75
1900-01-01 10:01:00,326,326,165,165
1900-01-01 10:02:00,534,534,270,270
1900-01-01 10:03:00,772,772,390,390
1900-01-01 10:04:00,1040,1040,525,525
1900-01-01 10:05:00,1338,1338,675,675
1900-01-01 10:06:00,1666,1666,840,840
1900-01-01 10:07:00,2024,2024,1020,1020
1900-01-01 10:08:00,2412,2412,1215,1215
1900-01-01 10:09:00,2830,2830,1425,1425
1900-01-01 10:10:00,3278,3278,1650,1650
1900-01-01 10:11:00,3756,3756,1890,1890
1900-01-01 10:12:00,4264,4264,2145,2145
1900-01-01 10:13:00,4802,4802,2415,2415
1900-01-01 10:14:00,5370,5370,2685,2685
1900-01-01 10:15:00,5968,5968,2985,2985
1900-01-01 10:16:00,6596,6596,3300,3300
1900-01-01 10:17:00,7254,7254,3630,3630
1900-01-01 10:18:00,7942,7942,3975,3975
1900-01-01 10:19:00,8660,8660,4335,4335
1900-01-01 10:20:00,9408,9408,4710,4710
1900-01-01 10:21:00,10186,10186,5100,5100
1900-01-01 10:22:00,10994,10994,5505,5505
1900-01-01 10:23:00,11832,11832,5925,5925
1900-01-01 10:24:00,12700,12700,6360,6360
1900-01-01 10:25:00,13598,13598,6810,6810
1900-01-01 10:26:00,14526,14526,7275,7275
1900-01-01 10:27:00,15484,15484,7755,7755
1900-01-01 10:28:00,16472,16472,8250,8250
1900-01-01 10:29:00,17490,17490,8745,8745
1900-01-01 10:30:00,18538,18538,9270,9270
1900-01-01 10:31:00,19616,19616,9810,9810
1900-01-01 10:32:00,20724,20724,10365,10365
1900-01-01 10:33:00,21862,21862,10935,10935
1900-01-01 10:34:00,23030,23030,11520,11520
1900-01-01 10:35:00,24228,24228,12120,12120
1900-01-01 10:36:00,25456,25456,12735,12735
1900-01-01 10:37:00,26714,26714,13365,13365
1900-01-01 10:38:00,28002,28002,14010,14010
1900-01-01 10:39:00,29320,29320,14670,14670
1900-01-01 10:40:00,30668,30668,15345,15345
1900-01-01 10:41:00,32046,32046,16035,16035
1900-01-01 10:42:00,33454,33454,16740,16740
1900-01-01 10:43:00,34892,34892,17460,17460
1900-01-01 10:44:00,36360,36360,18180,18180
1900-01-01 10:45:00,37858,37858,18930,18930
1900-01-01 10:46:00,39386,39386,19695,19695
1900-01-01 10:47:00,40944,40944,20475,20475
1900-01-01 10:48:00,42532,42532,21270,21270
1900-01-01 10:49:00,44150,44150,22080,22080
1900-01-01 10:50:00,45798,45798,22905,22905
1900-01-01 10:51:00,47476,47476,23745,23745
1900-01-01 10:52:00,49184,49184,24600,24600
1900-01-01 10:53:00,50922,50922,25470,25470
1900-01-01 10:54:00,52690,52690,26355,26355
1900-01-01 10:55:00,54488,54488,27255,27255
1900-01-01 10:56:00,56316,56316,28170,28170
1900-01-01 10:57:00,58174,58174,29100,29100
1900-01-01 10:58:00,60062,60062,30045,30045
1900-01-01 10:59:00,61980,61980,30990,30990
1900-01-01 11:00:00,63928,63928,31965,31965
1900-01-01 11:01:00,65906,65906,32955,32955
1900-01-01 11:02:00,67914,67914,33960,33960
1900-01-01 11:03:00,69952,69952,34980,34980
1900-01-01 11:04:00,72020,72020,36015,36015
1900-01-01 11:05:00,74118,74118,37065,37065
1900-01-01 11:06:00,76246,76246,38130,38130
1900-01-01 11:07:00,78404,78404,39210,39210
1900-01-01 11:08:00,80592,80592,40305,40305
1900-01-01 11:09:00,82810,82810,41415,41415
1900-01-01 11:10:00,85058,85058,42540,42540
1900-01-01 11:11:00,87336,87336,43680,43680
1900-01-01 11:12:00,89644,89644,44835,44835
1900-01-01 11:13:00,91982,91982,46005,46005
1900-01-01 11:14:00,94350,94350,47175,47175
1900-01-01 11:15:00,96748,96748,48375,48375
1900-01-01 11:16:00,99176,99176,49590,49590
1900-01-01 11:17:00,101634,101634,50820,50820
1900-01-01 11:18:00,104122,104122,52065,52065
1900-01-01 11:19:00,106640,106640,53325,53325
1900-01-01 11:20:00,109188,109188,54600,54600
1900-01-01 11:21:00,111766,111766,55890,55890
1900-01-01 11:22:00,114374,114374,57195,57195
1900-01-01 11:23:00,117012,117012,58515,58515
1900-01-01 11:24:00,119680,119680,59850,59850
1900-01-01 11:25:00,122378,122378,61200,61200
1900-01-01 11:26:00,125106,125106,62565,62565
1900-01-01 11:27:00,127864,127864,63945,63945
1900-01-01 11:28:00,130652,130652,65340,65340
1900-01-01 11:29:00,133470,133470,66735,66735
1900-01-01 11:30:00,136318,136318,68160,68160
1900-01-01 11:31:00,139196,139196,69600,69600
1900-01-01 11:32:00,142104,142104,71055,71055
1900-01-01 11:33:00,145042,145042,72525,72525
1900-01-01 11:34:00,148010,148010,74010,74010
1900-01-01 11:35:00,151008,151008,75510,75510
1900-01-01 11:36:00,154036,154036,77025,77025
1900-01-01 11:37:00,157094,157094,78555,78555
1900-01-01 11:38:00,160182,160182,80100,80100
1900-01-01 11:39:00,163300,163300,81660,81660
1900-01-01 11:40:00,166448,166448,83235,83235
1900-01-01 11:41:00,169626,169626,84825,84825
1900-01-01 11:42:00,172834,172834,86430,86430
1900-01-01 11:43:00,176072,176072,88050,88050
1900-01-01 11:44:00,179340,179340,89670,89670
1900-01-01 11:45:00,182638,182638,91320,91320
1900-01-01 11:46:00,185966,185966,92985,92985
1900-01-01 11:47:00,189324,189324,94665,94665
1900-01-01 11:48:00,192712,192712,96360,96360
1900-01-01 11:49:00,196130,196130,98070,98070
1900-01-01 11:50:00,199578,199578,99795,99795
1900-01-01 11:51:00,203056,203056,101535,101535
1900-01-01 11:52:00,206564,206564,103290,103290
1900-01-01 11:53:00,210102,210102,105060,105060
1900-01-01 11:54:00,213670,213670,106845,106845
1900-01-01 11:55:00,217268,217268,108645,108645
1900-01-01 11:56:00,220896,220896,110460,110460
1900-01-01 11:57:00,224554,224554,112290,112290
1900-01-01 11:58:00,228242,228242,114135,114135
1900-01-01 11:59:00,231960,231960,115980,115980
1900-01-01 12:00:00,235708,235708,117855,117855
