timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:01:00,0,0,0,0
1900-01-01 10:02:00,0,0,0,0
1900-01-01 10:03:00,0,0,0,0
1900-01-01 10:04:00,2,2,15,15
1900-01-01 10:05:00,34,34,30,30
1900-01-01 10:06:00,96,96,60,60
1900-01-01 10:07:00,188,188,105,105
1900-01-01 10:08:00,310,310,165,165
1900-01-01 10:09:00,462,462,240,240
1900-01-01 10:10:00,644,644,330,330
1900-01-01 10:11:00,856,856,435,435
1900-01-01 10:12:00,1098,1098,555,555
1900-01-01 10:13:00,1370,1370,690,690
1900-01-01 10:14:00,1672,1672,840,840
1900-01-01 10:15:00,2004,2004,1005,1005
1900-01-01 10:16:00,2366,2366,1185,1185
1900-01-01 10:17:00,2758,2758,1380,1380
1900-01-01 10:18:00,3180,3180,1590,1590
1900-01-01 10:19:00,3632,3632,1830,1830
1900-01-01 10:20:00,4114,4114,2070,2070
1900-01-01 10:21:00,4626,4626,2325,2325
1900-01-01 10:22:00,5168,5168,2595,2595
1900-01-01 10:23:00,5740,5740,2880,2880
1900-01-01 10:24:00,6342,6342,3180,3180
1900-01-01 10:25:00,6974,6974,3495,3495
1900-01-01 10:26:00,7636,7636,3825,3825
1900-01-01 10:27:00,8328,8328,4170,4170
1900-01-01 10:28:00,9050,9050,4530,4530
1900-01-01 10:29:00,9802,9802,4905,4905
1900-01-01 10:30:00,10584,10584,5295,5295
1900-01-01 10:31:00,11396,11396,5700,5700
1900-01-01 10:32:00,12238,12238,6120,6120
1900-01-01 10:33:00,13110,13110,6555,6555
1900-01-01 10:34:00,14012,14012,7020,7020
1900-01-01 10:35:00,14944,14944,7485,7485
1900-01-01 10:36:00,15906,15906,7965,7965
1900-01-01 10:37:00,16898,16898,8460,8460
1900-01-01 10:38:00,17920,17920,8970,8970
1900-01-01 10:39:00,18972,18972,9495,9495
1900-01-01 10:40:00,20054,20054,10035,10035
1900-01-01 10:41:00,21166,21166,10590,10590
1900-01-01 10:42:00,22308,22308,11160,11160
1900-01-01 10:43:00,23480,23480,11745,11745
1900-01-01 10:44:00,24682,24682,12345,12345
1900-01-01 10:45:00,25914,25914,12960,12960
1900-01-01 10:46:00,27176,27176,13590,13590
1900-01-01 10:47:00,28468,28468,14235,14235
1900-01-01 10:48:00,29790,29790,14895,14895
1900-01-01 10:49:00,31142,31142,15585,15585
1900-01-01 10:50:00,32524,32524,16275,16275
1900-01-01 10:51:00,33936,33936,16980,16980
1900-01-01 10:52:00,35378,35378,17700,17700
1900-01-01 10:53:00,36850,36850,18435,18435
1900-01-01 10:54:00,38352,38352,19185,19185
1900-01-01 10:55:00,39884,39884,19950,19950
1900-01-01 10:56:00,41446,41446,20730,20730
1900-01-01 10:57:00,43038,43038,21525,21525
1900-01-01 10:58:00,44660,44660,22335,22335
1900-01-01 10:59:00,46312,46312,23160,23160
1900-01-01 11:00:00,47994,47994,24000,24000
1900-01-01 11:01:00,49706,49706,24855,24855
1900-01-01 11:02:00,51448,51448,25725,25725
1900-01-01 11:03:00,53220,53220,26610,26610
1900-01-01 11:04:00,55022,55022,27525,27525
1900-01-01 11:05:00,56854,56854,28440,28440
1900-01-01 11:06:00,58716,58716,29370,29370
1900-01-01 11:07:00,60608,60608,30315,30315
1900-01-01 11:08:00,62530,62530,31275,31275
1900-01-01 11:09:00,64482,64482,32250,32250
1900-01-01 11:10:00,66464,66464,33240,33240
1900-01-01 11:11:00,68476,68476,34245,34245
1900-01-01 11:12:00,70518,70518,35265,35265
1900-01-01 11:13:00,72590,72590,36300,36300
1900-01-01 11:14:00,74692,74692,37350,37350
1900-01-01 11:15:00,76824,76824,38415,38415
1900-01-01 11:16:00,78986,78986,39495,39495
1900-01-01 11:17:00,81178,81178,40590,40590
1900-01-01 11:18:00,83400,83400,41700,41700
1900-01-01 11:19:00,85652,85652,42840,42840
1900-01-01 11:20:00,87934,87934,43980,43980
1900-01-01 11:21:00,90246,90246,45135,45135
1900-01-01 11:22:00,92588,92588,46305,46305
1900-01-01 11:23:00,94960,94960,47490,47490
1900-01-01 11:24:00,97362,97362,48690,48690
1900-01-01 11:25:00,99794,99794,49905,49905
1900-01-01 11:26:00,102256,102256,51135,51135
1900-01-01 11:27:00,104748,104748,52380,52380
1900-01-01 11:28:00,107270,107270,53640,53640
1900-01-01 11:29:00,109822,109822,54915,54915
1900-01-01 11:30:00,112404,112404,56205,56205
1900-01-01 11:31:00,115016,115016,57510,57510
1900-01-01 11:32:00,117658,117658,58830,58830
1900-01-01 11:33:00,120330,120330,60165,60165
1900-01-01 11:34:00,123032,123032,61530,61530
1900-01-01 11:35:00,125764,125764,62895,62895
1900-01-01 11:36:00,128526,128526,64275,64275
1900-01-01 11:37:00,131318,131318,65670,65670
1900-01-01 11:38:00,134140,134140,67080,67080
1900-01-01 11:39:00,136992,136992,68505,68505
1900-01-01 11:40:00,139874,139874,69945,69945
1900-01-01 11:41:00,142786,142786,71400,71400
1900-01-01 11:42:00,145728,145728,72870,72870
1900-01-01 11:43:00,148700,148700,74355,74355
1900-01-01 11:44:00,151702,151702,75855,75855
1900-01-01 11:45:00,154734,154734,77370,77370
1900-01-01 11:46:00,157796,157796,78900,78900
1900-01-01 11:47:00,160888,160888,80445,80445
1900-01-01 11:48:00,164010,164010,82005,82005
1900-01-01 11:49:00,167162,167162,83595,83595
1900-01-01 11:50:00,170344,170344,85185,85185
1900-01-01 11:51:00,173556,173556,86790,86790
1900-01-01 11:52:00,176798,176798,88410,88410
1900-01-01 11:53:00,180070,180070,90045,90045
1900-01-01 11:54:00,183372,183372,91695,91695
1900-01-01 11:55:00,186704,186704,93360,93360
1900-01-01 11:56:00,190066,190066,95040,95040
1900-01-01 11:57:00,193458,193458,96735,96735
1900-01-01 11:58:00,196880,196880,98445,98445
1900-01-01 11:59:00,200332,200332,100170,100170
1900-01-01 12:00:00,203814,203814,101910,101910
