timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:01:00,0,0,0,0
1900-01-01 10:02:00,0,0,0,0
1900-01-01 10:03:00,0,0,0,0
1900-01-01 10:04:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:06:00,0,0,0,0
1900-01-01 10:07:00,0,0,0,0
1900-01-01 10:08:00,0,0,0,0
1900-01-01 10:09:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:11:00,0,0,0,0
1900-01-01 10:12:00,0,0,0,0
1900-01-01 10:13:00,0,0,0,0
1900-01-01 10:14:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:16:00,0,0,0,0
1900-01-01 10:17:00,0,0,0,0
1900-01-01 10:18:00,0,0,0,0
1900-01-01 10:19:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:21:00,0,0,0,0
1900-01-01 10:22:00,0,0,0,0
1900-01-01 10:23:00,0,0,0,0
1900-01-01 10:24:00,0,0,0,0
1900-01-01 10:25:00,0,0,0,0
1900-01-01 10:26:00,0,0,0,0
1900-01-01 10:27:00,0,0,0,0
1900-01-01 10:28:00,0,0,0,0
1900-01-01 10:29:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:31:00,0,0,0,0
1900-01-01 10:32:00,2,2,15,15
1900-01-01 10:33:00,4,4,15,15
1900-01-01 10:34:00,6,6,15,15
1900-01-01 10:35:00,8,8,15,15
1900-01-01 10:36:00,11,11,15,15
1900-01-01 10:37:00,14,14,15,15
1900-01-01 10:38:00,18,18,15,15
1900-01-01 10:39:00,22,22,15,15
1900-01-01 10:40:00,26,26,15,15
1900-01-01 10:41:00,30,30,15,15
1900-01-01 10:42:00,34,34,30,30
1900-01-01 10:43:00,38,38,30,30
1900-01-01 10:44:00,42,42,30,30
1900-01-01 10:45:00,47,47,30,30
1900-01-01 10:46:00,52,52,30,30
1900-01-01 10:47:00,57,57,30,30
1900-01-01 10:48:00,62,62,45,45
1900-01-01 10:49:00,67,67,45,45
1900-01-01 10:50:00,72,72,45,45
1900-01-01 10:51:00,77,77,45,45
1900-01-01 10:52:00,83,83,45,45
1900-01-01 10:53:00,89,89,45,45
1900-01-01 10:54:00,95,95,60,60
1900-01-01 10:55:00,101,101,60,60
1900-01-01 10:56:00,107,107,60,60
1900-01-01 10:57:00,113,113,60,60
1900-01-01 10:58:00,119,119,60,60
1900-01-01 10:59:00,125,125,75,75
1900-01-01 11:00:00,131,131,75,75
1900-01-01 11:01:00,137,137,75,75
1900-01-01 11:02:00,143,143,75,75
1900-01-01 11:03:00,149,149,75,75
1900-01-01 11:04:00,156,156,90,90
1900-01-01 11:05:00,164,164,90,90
1900-01-01 11:06:00,172,172,90,90
1900-01-01 11:07:00,180,180,90,90
1900-01-01 11:08:00,188,188,105,105
1900-01-01 11:09:00,196,196,105,105
1900-01-01 11:10:00,204,204,105,105
1900-01-01 11:11:00,212,212,120,120
1900-01-01 11:12:00,220,220,120,120
1900-01-01 11:13:00,228,228,120,120
1900-01-01 11:14:00,236,236,120,120
1900-01-01 11:15:00,244,244,135,135
1900-01-01 11:16:00,252,252,135,135
1900-01-01 11:17:00,260,260,135,135
1900-01-01 11:18:00,268,268,135,135
1900-01-01 11:19:00,276,276,150,150
1900-01-01 11:20:00,284,284,150,150
1900-01-01 11:21:00,292,292,150,150
1900-01-01 11:22:00,300,300,150,150
1900-01-01 11:23:00,308,308,165,165
1900-01-01 11:24:00,316,316,165,165
1900-01-01 11:25:00,324,324,165,165
1900-01-01 11:26:00,332,332,180,180
1900-01-01 11:27:00,340,340,180,180
1900-01-01 11:28:00,348,348,180,180
1900-01-01 11:29:00,356,356,180,180
1900-01-01 11:30:00,364,364,195,195
1900-01-01 11:31:00,372,372,195,195
1900-01-01 11:32:00,380,380,195,195
1900-01-01 11:33:00,388,388,195,195
1900-01-01 11:34:00,396,396,210,210
1900-01-01 11:35:00,404,404,210,210
1900-01-01 11:36:00,412,412,210,210
1900-01-01 11:37:00,420,420,210,210
1900-01-01 11:38:00,428,428,225,225
1900-01-01 11:39:00,436,436,225,225
1900-01-01 11:40:00,444,444,225,225
1900-01-01 11:41:00,452,452,240,240
1900-01-01 11:42:00,460,460,240,240
1900-01-01 11:43:00,468,468,240,240
1900-01-01 11:44:00,476,476,240,240
1900-01-01 11:45:00,484,484,255,255
1900-01-01 11:46:00,492,492,255,255
1900-01-01 11:47:00,500,500,255,255
1900-01-01 11:48:00,508,508,255,255
1900-01-01 11:49:00,516,516,270,270
1900-01-01 11:50:00,524,524,270,270
1900-01-01 11:51:00,532,532,270,270
1900-01-01 11:52:00,540,540,270,270
1900-01-01 11:53:00,548,548,285,285
1900-01-01 11:54:00,556,556,285,285
1900-01-01 11:55:00,564,564,285,285
1900-01-01 11:56:00,572,572,300,300
1900-01-01 11:57:00,580,580,300,300
1900-01-01 11:58:00,588,588,300,300
1900-01-01 11:59:00,596,596,300,300
1900-01-01 12:00:00,604,604,315,315
1900-01-01 12:01:00,612,612,315,315
