timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:01:00,0,0,0,0
1900-01-01 10:02:00,0,0,0,0
1900-01-01 10:03:00,0,0,0,0
1900-01-01 10:04:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:06:00,0,0,0,0
1900-01-01 10:07:00,0,0,0,0
1900-01-01 10:08:00,0,0,0,0
1900-01-01 10:09:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:11:00,0,0,0,0
1900-01-01 10:12:00,0,0,0,0
1900-01-01 10:13:00,0,0,0,0
1900-01-01 10:14:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:16:00,0,0,0,0
1900-01-01 10:17:00,0,0,0,0
1900-01-01 10:18:00,0,0,0,0
1900-01-01 10:19:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:21:00,0,0,0,0
1900-01-01 10:22:00,0,0,0,0
1900-01-01 10:23:00,3,3,15,15
1900-01-01 10:24:00,6,6,15,15
1900-01-01 10:25:00,9,9,15,15
1900-01-01 10:26:00,12,12,15,15
1900-01-01 10:27:00,15,15,15,15
1900-01-01 10:28:00,18,18,15,15
1900-01-01 10:29:00,21,21,15,15
1900-01-01 10:30:00,24,24,15,15
1900-01-01 10:31:00,27,27,15,15
1900-01-01 10:32:00,30,30,15,15
1900-01-01 10:33:00,33,33,30,30
1900-01-01 10:34:00,36,36,30,30
1900-01-01 10:35:00,39,39,30,30
1900-01-01 10:36:00,42,42,30,30
1900-01-01 10:37:00,45,45,30,30
1900-01-01 10:38:00,49,49,30,30
1900-01-01 10:39:00,53,53,30,30
1900-01-01 10:40:00,57,57,30,30
1900-01-01 10:41:00,61,61,45,45
1900-01-01 10:42:00,65,65,45,45
1900-01-01 10:43:00,70,70,45,45
1900-01-01 10:44:00,75,75,45,45
1900-01-01 10:45:00,80,80,45,45
1900-01-01 10:46:00,86,86,45,45
1900-01-01 10:47:00,92,92,60,60
1900-01-01 10:48:00,98,98,60,60
1900-01-01 10:49:00,104,104,60,60
1900-01-01 10:50:00,110,110,60,60
1900-01-01 10:51:00,116,116,60,60
1900-01-01 10:52:00,122,122,75,75
1900-01-01 10:53:00,128,128,75,75
1900-01-01 10:54:00,134,134,75,75
1900-01-01 10:55:00,140,140,75,75
1900-01-01 10:56:00,146,146,75,75
1900-01-01 10:57:00,152,152,90,90
1900-01-01 10:58:00,158,158,90,90
1900-01-01 10:59:00,164,164,90,90
1900-01-01 11:00:00,170,170,90,90
1900-01-01 11:01:00,177,177,90,90
1900-01-01 11:02:00,184,184,105,105
1900-01-01 11:03:00,191,191,105,105
1900-01-01 11:04:00,198,198,105,105
1900-01-01 11:05:00,205,205,105,105
1900-01-01 11:06:00,212,212,120,120
1900-01-01 11:07:00,219,219,120,120
1900-01-01 11:08:00,226,226,120,120
1900-01-01 11:09:00,233,233,120,120
1900-01-01 11:10:00,241,241,135,135
1900-01-01 11:11:00,249,249,135,135
1900-01-01 11:12:00,257,257,135,135
1900-01-01 11:13:00,265,265,135,135
1900-01-01 11:14:00,273,273,150,150
1900-01-01 11:15:00,281,281,150,150
1900-01-01 11:16:00,289,289,150,150
1900-01-01 11:17:00,297,297,150,150
1900-01-01 11:18:00,305,305,165,165
1900-01-01 11:19:00,313,313,165,165
1900-01-01 11:20:00,321,321,165,165
1900-01-01 11:21:00,329,329,165,165
1900-01-01 11:22:00,337,337,180,180
1900-01-01 11:23:00,345,345,180,180
1900-01-01 11:24:00,353,353,180,180
1900-01-01 11:25:00,361,361,195,195
1900-01-01 11:26:00,369,369,195,195
1900-01-01 11:27:00,377,377,195,195
1900-01-01 11:28:00,385,385,195,195
1900-01-01 11:29:00,393,393,210,210
1900-01-01 11:30:00,401,401,210,210
1900-01-01 11:31:00,409,409,210,210
1900-01-01 11:32:00,417,417,210,210
1900-01-01 11:33:00,425,425,225,225
1900-01-01 11:34:00,433,433,225,225
1900-01-01 11:35:00,441,441,225,225
1900-01-01 11:36:00,449,449,225,225
1900-01-01 11:37:00,457,457,240,240
1900-01-01 11:38:00,465,465,240,240
1900-01-01 11:39:00,473,473,240,240
1900-01-01 11:40:00,481,481,255,255
1900-01-01 11:41:00,489,489,255,255
1900-01-01 11:42:00,497,497,255,255
1900-01-01 11:43:00,505,505,255,255
1900-01-01 11:44:00,513,513,270,270
1900-01-01 11:45:00,521,521,270,270
1900-01-01 11:46:00,529,529,270,270
1900-01-01 11:47:00,537,537,270,270
1900-01-01 11:48:00,545,545,285,285
1900-01-01 11:49:00,553,553,285,285
1900-01-01 11:50:00,561,561,285,285
1900-01-01 11:51:00,569,569,285,285
1900-01-01 11:52:00,577,577,300,300
1900-01-01 11:53:00,585,585,300,300
1900-01-01 11:54:00,593,593,300,300
1900-01-01 11:55:00,601,601,315,315
1900-01-01 11:56:00,609,609,315,315
1900-01-01 11:57:00,617,617,315,315
1900-01-01 11:58:00,625,625,315,315
1900-01-01 11:59:00,633,633,330,330
1900-01-01 12:00:00,641,641,330,330
1900-01-01 12:01:00,649,649,330,330
