timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:01:00,0,0,0,0
1900-01-01 10:02:00,0,0,0,0
1900-01-01 10:03:00,0,0,0,0
1900-01-01 10:04:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:06:00,0,0,0,0
1900-01-01 10:07:00,0,0,0,0
1900-01-01 10:08:00,0,0,0,0
1900-01-01 10:09:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:11:00,0,0,0,0
1900-01-01 10:12:00,0,0,0,0
1900-01-01 10:13:00,0,0,0,0
1900-01-01 10:14:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:16:00,0,0,0,0
1900-01-01 10:17:00,0,0,0,0
1900-01-01 10:18:00,0,0,0,0
1900-01-01 10:19:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:21:00,0,0,0,0
1900-01-01 10:22:00,0,0,0,0
1900-01-01 10:23:00,0,1,0,0
1900-01-01 10:24:00,0,1,0,0
1900-01-01 10:25:00,0,1,0,0
1900-01-01 10:26:00,0,1,0,0
1900-01-01 10:27:00,0,1,0,0
1900-01-01 10:28:00,0,3,0,0
1900-01-01 10:29:00,0,3,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:31:00,0,0,0,0
1900-01-01 10:32:00,0,0,0,0
1900-01-01 10:33:00,0,0,0,0
1900-01-01 10:34:00,0,0,0,0
1900-01-01 10:35:00,0,0,0,0
1900-01-01 10:36:00,0,0,0,0
1900-01-01 10:37:00,0,0,0,0
1900-01-01 10:38:00,0,0,0,0
1900-01-01 10:39:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:41:00,0,0,0,0
1900-01-01 10:42:00,0,1,0,0
1900-01-01 10:43:00,0,4,0,0
1900-01-01 10:44:00,0,4,0,0
1900-01-01 10:45:00,0,5,0,0
1900-01-01 10:46:00,0,5,0,0
1900-01-01 10:47:00,0,5,0,0
1900-01-01 10:48:00,0,8,0,0
1900-01-01 10:49:00,0,8,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 10:51:00,1,0,0,0
1900-01-01 10:52:00,1,1,0,0
1900-01-01 10:53:00,2,2,0,0
1900-01-01 10:54:00,3,2,0,0
1900-01-01 10:55:00,5,2,0,0
1900-01-01 10:56:00,5,2,0,0
1900-01-01 10:57:00,5,2,0,0
1900-01-01 10:58:00,6,4,0,0
1900-01-01 10:59:00,6,4,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:01:00,0,0,0,0
1900-01-01 11:02:00,0,0,0,0
1900-01-01 11:03:00,3,4,0,0
1900-01-01 11:04:00,3,4,0,0
1900-01-01 11:05:00,3,4,0,0
1900-01-01 11:06:00,4,5,0,0
1900-01-01 11:07:00,4,5,0,0
1900-01-01 11:08:00,4,8,0,0
1900-01-01 11:09:00,4,9,0,0
1900-01-01 11:10:00,0,0,0,0
1900-01-01 11:11:00,0,4,0,0
1900-01-01 11:12:00,1,5,0,0
1900-01-01 11:13:00,2,13,0,0
1900-01-01 11:14:00,6,16,0,0
1900-01-01 11:15:00,8,20,0,0
1900-01-01 11:16:00,8,25,0,0
1900-01-01 11:17:00,8,26,0,0
1900-01-01 11:18:00,8,32,0,10
1900-01-01 11:19:00,8,33,0,10
1900-01-01 11:20:00,0,13,0,0
1900-01-01 11:21:00,1,17,0,0
1900-01-01 11:22:00,2,20,0,0
1900-01-01 11:23:00,2,26,0,0
1900-01-01 11:24:00,2,29,0,0
1900-01-01 11:25:00,4,32,0,10
1900-01-01 11:26:00,4,34,0,10
1900-01-01 11:27:00,4,38,0,10
1900-01-01 11:28:00,5,43,0,10
1900-01-01 11:29:00,6,45,0,10
1900-01-01 11:30:00,0,23,0,0
1900-01-01 11:31:00,1,23,0,0
1900-01-01 11:32:00,3,29,0,0
1900-01-01 11:33:00,6,34,0,10
1900-01-01 11:34:00,10,39,0,10
1900-01-01 11:35:00,10,42,0,10
1900-01-01 11:36:00,11,46,0,10
1900-01-01 11:37:00,11,49,0,10
1900-01-01 11:38:00,11,55,0,10
1900-01-01 11:39:00,11,56,0,10
1900-01-01 11:40:00,0,37,0,10
1900-01-01 11:41:00,0,38,0,10
1900-01-01 11:42:00,0,40,0,10
1900-01-01 11:43:00,2,52,0,10
1900-01-01 11:44:00,4,63,0,20
1900-01-01 11:45:00,6,65,0,20
1900-01-01 11:46:00,10,72,0,20
1900-01-01 11:47:00,10,72,0,20
1900-01-01 11:48:00,12,78,0,20
1900-01-01 11:49:00,12,87,0,20
1900-01-01 11:50:00,0,72,0,20
1900-01-01 11:51:00,1,73,0,20
1900-01-01 11:52:00,2,75,0,20
1900-01-01 11:53:00,3,77,0,20
1900-01-01 11:54:00,5,89,0,20
1900-01-01 11:55:00,5,98,0,30
1900-01-01 11:56:00,5,98,0,30
1900-01-01 11:57:00,6,99,0,30
1900-01-01 11:58:00,6,100,0,30
1900-01-01 11:59:00,7,108,0,30
1900-01-01 12:00:00,0,88,0,20
1900-01-01 12:01:00,1,95,0,30
1900-01-01 12:02:00,2,100,0,30
1900-01-01 12:03:00,4,122,0,40
1900-01-01 12:04:00,7,130,0,40
1900-01-01 12:05:00,8,135,0,40
1900-01-01 12:06:00,10,137,0,40
1900-01-01 12:07:00,11,137,0,40
1900-01-01 12:08:00,12,141,0,40
1900-01-01 12:09:00,14,146,0,40
1900-01-01 12:10:00,0,129,0,40
1900-01-01 12:11:00,2,131,0,40
1900-01-01 12:12:00,2,136,0,40
1900-01-01 12:13:00,6,145,0,40
1900-01-01 12:14:00,10,153,0,50
1900-01-01 12:15:00,15,168,0,50
1900-01-01 12:16:00,15,172,0,50
1900-01-01 12:17:00,23,191,0,60
1900-01-01 12:18:00,24,199,0,60
1900-01-01 12:19:00,26,206,0,60
1900-01-01 12:20:00,11,185,0,60
1900-01-01 12:21:00,12,188,0,60
1900-01-01 12:22:00,15,198,0,60
1900-01-01 12:23:00,15,209,0,60
1900-01-01 12:24:00,17,216,0,70
1900-01-01 12:25:00,19,227,0,70
1900-01-01 12:26:00,20,229,0,70
1900-01-01 12:27:00,23,230,0,70
1900-01-01 12:28:00,24,234,0,70
1900-01-01 12:29:00,26,239,0,70
1900-01-01 12:30:00,11,220,0,70
1900-01-01 12:31:00,11,227,0,70
1900-01-01 12:32:00,16,236,0,70
1900-01-01 12:33:00,24,244,0,80
1900-01-01 12:34:00,25,253,0,80
1900-01-01 12:35:00,31,270,10,90
1900-01-01 12:36:00,33,276,10,90
1900-01-01 12:37:00,33,282,10,90
1900-01-01 12:38:00,34,286,10,90
1900-01-01 12:39:00,37,292,10,90
1900-01-01 12:40:00,22,274,0,90
1900-01-01 12:41:00,22,278,0,90
1900-01-01 12:42:00,25,289,0,90
1900-01-01 12:43:00,26,295,0,90
1900-01-01 12:44:00,30,311,10,100
1900-01-01 12:45:00,31,322,10,100
1900-01-01 12:46:00,31,331,10,110
1900-01-01 12:47:00,39,351,10,110
1900-01-01 12:48:00,49,381,10,120
1900-01-01 12:49:00,50,386,10,120
1900-01-01 12:50:00,34,364,10,120
1900-01-01 12:51:00,34,368,10,120
1900-01-01 12:52:00,38,381,10,120
1900-01-01 12:53:00,42,396,10,130
1900-01-01 12:54:00,45,409,10,130
1900-01-01 12:55:00,48,415,10,130
1900-01-01 12:56:00,48,420,10,140
1900-01-01 12:57:00,48,423,10,140
1900-01-01 12:58:00,50,430,10,140
1900-01-01 12:59:00,53,442,10,140
1900-01-01 13:00:00,40,425,10,140
1900-01-01 13:01:00,41,432,10,140
1900-01-01 13:02:00,43,440,10,140
1900-01-01 13:03:00,45,455,10,150
1900-01-01 13:04:00,51,467,10,150
1900-01-01 13:05:00,55,475,10,150
1900-01-01 13:06:00,58,482,10,160
1900-01-01 13:07:00,59,493,10,160
1900-01-01 13:08:00,59,498,10,160
1900-01-01 13:09:00,59,502,10,160
1900-01-01 13:10:00,42,483,10,160
1900-01-01 13:11:00,45,486,10,160
1900-01-01 13:12:00,50,498,10,160
1900-01-01 13:13:00,55,515,10,170
1900-01-01 13:14:00,62,531,20,170
1900-01-01 13:15:00,69,546,20,180
1900-01-01 13:16:00,70,552,20,180
1900-01-01 13:17:00,70,564,20,180
1900-01-01 13:18:00,72,572,20,190
1900-01-01 13:19:00,73,583,20,190
1900-01-01 13:20:00,56,563,10,180
1900-01-01 13:21:00,58,574,10,190
1900-01-01 13:22:00,65,584,20,190
1900-01-01 13:23:00,66,599,20,190
1900-01-01 13:24:00,74,616,20,200
1900-01-01 13:25:00,78,628,20,200
1900-01-01 13:26:00,78,635,20,210
1900-01-01 13:27:00,79,643,20,210
1900-01-01 13:28:00,80,666,20,220
1900-01-01 13:29:00,83,676,20,220
1900-01-01 13:30:00,69,657,20,210
1900-01-01 13:31:00,72,667,20,220
1900-01-01 13:32:00,75,673,20,220
1900-01-01 13:33:00,78,689,20,220
1900-01-01 13:34:00,86,703,20,230
1900-01-01 13:35:00,86,714,20,230
1900-01-01 13:36:00,100,759,30,250
1900-01-01 13:37:00,103,776,30,250
1900-01-01 13:38:00,106,789,30,260
1900-01-01 13:39:00,106,803,30,260
1900-01-01 13:40:00,93,780,30,260
1900-01-01 13:41:00,94,788,30,260
1900-01-01 13:42:00,98,800,30,260
1900-01-01 13:43:00,100,813,30,270
1900-01-01 13:44:00,106,832,30,270
1900-01-01 13:45:00,110,842,30,280
1900-01-01 13:46:00,112,860,30,280
1900-01-01 13:47:00,114,867,30,280
1900-01-01 13:48:00,123,898,40,290
1900-01-01 13:49:00,125,913,40,300
1900-01-01 13:50:00,114,884,30,290
1900-01-01 13:51:00,115,896,30,290
1900-01-01 13:52:00,119,908,30,300
1900-01-01 13:53:00,122,919,40,300
1900-01-01 13:54:00,124,929,40,300
1900-01-01 13:55:00,128,936,40,310
1900-01-01 13:56:00,130,956,40,310
1900-01-01 13:57:00,131,971,40,320
1900-01-01 13:58:00,134,984,40,320
1900-01-01 13:59:00,136,993,40,330
1900-01-01 14:00:00,118,972,30,320
1900-01-01 14:01:00,120,975,40,320
1900-01-01 14:02:00,124,988,40,320
1900-01-01 14:03:00,130,1018,40,330
1900-01-01 14:04:00,132,1033,40,340
1900-01-01 14:05:00,139,1043,40,340
1900-01-01 14:06:00,139,1064,40,350
1900-01-01 14:07:00,141,1078,40,350
1900-01-01 14:08:00,141,1091,40,360
1900-01-01 14:09:00,142,1102,40,360
1900-01-01 14:10:00,126,1085,40,360
1900-01-01 14:11:00,128,1093,40,360
1900-01-01 14:12:00,132,1104,40,360
1900-01-01 14:13:00,133,1124,40,370
1900-01-01 14:14:00,137,1135,40,370
1900-01-01 14:15:00,140,1146,40,380
1900-01-01 14:16:00,144,1162,40,380
1900-01-01 14:17:00,150,1191,50,390
1900-01-01 14:18:00,155,1208,50,400
1900-01-01 14:19:00,159,1225,50,400
1900-01-01 14:20:00,145,1190,40,390
1900-01-01 14:21:00,147,1198,40,390
1900-01-01 14:22:00,149,1213,40,400
1900-01-01 14:23:00,157,1226,50,400
1900-01-01 14:24:00,164,1241,50,410
1900-01-01 14:25:00,168,1254,50,410
1900-01-01 14:26:00,169,1270,50,420
1900-01-01 14:27:00,179,1312,50,430
1900-01-01 14:28:00,179,1323,50,440
1900-01-01 14:29:00,181,1335,60,440
1900-01-01 14:30:00,165,1320,50,440
1900-01-01 14:31:00,166,1328,50,440
1900-01-01 14:32:00,169,1335,50,440
1900-01-01 14:33:00,175,1355,50,450
1900-01-01 14:34:00,181,1367,60,450
1900-01-01 14:35:00,184,1375,60,450
1900-01-01 14:36:00,187,1382,60,460
1900-01-01 14:37:00,189,1394,60,460
1900-01-01 14:38:00,192,1404,60,460
1900-01-01 14:39:00,193,1422,60,470
1900-01-01 14:40:00,174,1393,50,460
1900-01-01 14:41:00,175,1405,50,460
1900-01-01 14:42:00,181,1420,60,470
1900-01-01 14:43:00,184,1438,60,470
1900-01-01 14:44:00,186,1447,60,480
1900-01-01 14:45:00,193,1457,60,480
1900-01-01 14:46:00,196,1471,60,490
