timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:01:00,0,0,0,0
1900-01-01 10:02:00,0,0,0,0
1900-01-01 10:03:00,0,0,0,0
1900-01-01 10:04:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:06:00,0,0,0,0
1900-01-01 10:07:00,0,0,0,0
1900-01-01 10:08:00,0,0,0,0
1900-01-01 10:09:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:11:00,0,0,0,0
1900-01-01 10:12:00,0,0,0,0
1900-01-01 10:13:00,0,0,0,0
1900-01-01 10:14:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:16:00,0,0,0,0
1900-01-01 10:17:00,0,0,0,0
1900-01-01 10:18:00,0,0,0,0
1900-01-01 10:19:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:21:00,0,0,0,0
1900-01-01 10:22:00,0,0,0,0
1900-01-01 10:23:00,0,0,0,0
1900-01-01 10:24:00,0,0,0,0
1900-01-01 10:25:00,0,0,0,0
1900-01-01 10:26:00,0,0,0,0
1900-01-01 10:27:00,0,0,0,0
1900-01-01 10:28:00,0,0,0,0
1900-01-01 10:29:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:31:00,0,0,0,0
1900-01-01 10:32:00,0,0,0,0
1900-01-01 10:33:00,0,3,0,0
1900-01-01 10:34:00,0,3,0,0
1900-01-01 10:35:00,0,3,0,0
1900-01-01 10:36:00,0,3,0,0
1900-01-01 10:37:00,0,3,0,0
1900-01-01 10:38:00,0,3,0,0
1900-01-01 10:39:00,0,3,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:41:00,0,0,0,0
1900-01-01 10:42:00,0,1,0,0
1900-01-01 10:43:00,1,3,0,0
1900-01-01 10:44:00,1,3,0,0
1900-01-01 10:45:00,1,5,0,0
1900-01-01 10:46:00,2,6,0,0
1900-01-01 10:47:00,2,6,0,0
1900-01-01 10:48:00,2,8,0,0
1900-01-01 10:49:00,2,8,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 10:51:00,0,0,0,0
1900-01-01 10:52:00,0,0,0,0
1900-01-01 10:53:00,0,4,0,0
1900-01-01 10:54:00,0,4,0,0
1900-01-01 10:55:00,0,4,0,0
1900-01-01 10:56:00,0,4,0,0
1900-01-01 10:57:00,1,4,0,0
1900-01-01 10:58:00,1,8,0,0
1900-01-01 10:59:00,1,8,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:01:00,0,0,0,0
1900-01-01 11:02:00,0,0,0,0
1900-01-01 11:03:00,1,8,0,0
1900-01-01 11:04:00,1,10,0,0
1900-01-01 11:05:00,2,11,0,0
1900-01-01 11:06:00,2,13,0,0
1900-01-01 11:07:00,3,13,0,0
1900-01-01 11:08:00,5,16,0,0
1900-01-01 11:09:00,5,16,0,0
1900-01-01 11:10:00,0,0,0,0
1900-01-01 11:11:00,1,2,0,0
1900-01-01 11:12:00,1,6,0,0
1900-01-01 11:13:00,1,8,0,0
1900-01-01 11:14:00,1,11,0,0
1900-01-01 11:15:00,2,14,0,0
1900-01-01 11:16:00,2,16,0,0
1900-01-01 11:17:00,2,16,0,0
1900-01-01 11:18:00,2,21,0,0
1900-01-01 11:19:00,2,21,0,0
1900-01-01 11:20:00,0,0,0,0
1900-01-01 11:21:00,1,1,0,0
1900-01-01 11:22:00,2,4,0,0
1900-01-01 11:23:00,3,7,0,0
1900-01-01 11:24:00,3,10,0,0
1900-01-01 11:25:00,3,18,0,0
1900-01-01 11:26:00,3,20,0,0
1900-01-01 11:27:00,4,20,0,0
1900-01-01 11:28:00,5,24,0,0
1900-01-01 11:29:00,6,25,0,0
1900-01-01 11:30:00,0,2,0,0
1900-01-01 11:31:00,1,3,0,0
1900-01-01 11:32:00,1,4,0,0
1900-01-01 11:33:00,3,10,0,0
1900-01-01 11:34:00,6,21,0,0
1900-01-01 11:35:00,8,23,0,0
1900-01-01 11:36:00,10,28,0,0
1900-01-01 11:37:00,10,31,0,10
1900-01-01 11:38:00,10,31,0,10
1900-01-01 11:39:00,10,38,0,10
1900-01-01 11:40:00,0,20,0,0
1900-01-01 11:41:00,0,22,0,0
1900-01-01 11:42:00,1,26,0,0
1900-01-01 11:43:00,3,32,0,10
1900-01-01 11:44:00,6,43,0,10
1900-01-01 11:45:00,9,49,0,10
1900-01-01 11:46:00,10,51,0,10
1900-01-01 11:47:00,10,51,0,10
1900-01-01 11:48:00,10,58,0,10
1900-01-01 11:49:00,10,59,0,10
1900-01-01 11:50:00,0,39,0,10
1900-01-01 11:51:00,2,43,0,10
1900-01-01 11:52:00,2,49,0,10
1900-01-01 11:53:00,6,57,0,10
1900-01-01 11:54:00,7,69,0,20
1900-01-01 11:55:00,8,75,0,20
1900-01-01 11:56:00,8,79,0,20
1900-01-01 11:57:00,8,80,0,20
1900-01-01 11:58:00,8,82,0,20
1900-01-01 11:59:00,8,86,0,20
1900-01-01 12:00:00,0,65,0,20
1900-01-01 12:01:00,1,67,0,20
1900-01-01 12:02:00,4,72,0,20
1900-01-01 12:03:00,11,83,0,20
1900-01-01 12:04:00,13,96,0,30
1900-01-01 12:05:00,14,100,0,30
1900-01-01 12:06:00,14,102,0,30
1900-01-01 12:07:00,15,103,0,30
1900-01-01 12:08:00,16,104,0,30
1900-01-01 12:09:00,17,109,0,30
1900-01-01 12:10:00,0,92,0,30
1900-01-01 12:11:00,0,97,0,30
1900-01-01 12:12:00,1,102,0,30
1900-01-01 12:13:00,1,109,0,30
1900-01-01 12:14:00,3,117,0,30
1900-01-01 12:15:00,4,122,0,40
1900-01-01 12:16:00,4,129,0,40
1900-01-01 12:17:00,7,146,0,40
1900-01-01 12:18:00,8,149,0,40
1900-01-01 12:19:00,9,151,0,50
1900-01-01 12:20:00,0,133,0,40
1900-01-01 12:21:00,0,134,0,40
1900-01-01 12:22:00,3,137,0,40
1900-01-01 12:23:00,9,148,0,40
1900-01-01 12:24:00,10,158,0,50
1900-01-01 12:25:00,11,174,0,50
1900-01-01 12:26:00,11,174,0,50
1900-01-01 12:27:00,13,176,0,50
1900-01-01 12:28:00,13,179,0,50
1900-01-01 12:29:00,13,180,0,60
1900-01-01 12:30:00,0,164,0,50
1900-01-01 12:31:00,1,166,0,50
1900-01-01 12:32:00,2,171,0,50
1900-01-01 12:33:00,5,175,0,50
1900-01-01 12:34:00,7,191,0,60
1900-01-01 12:35:00,11,199,0,60
1900-01-01 12:36:00,12,202,0,60
1900-01-01 12:37:00,13,206,0,60
1900-01-01 12:38:00,15,209,0,60
1900-01-01 12:39:00,17,216,0,70
1900-01-01 12:40:00,4,210,0,70
1900-01-01 12:41:00,5,211,0,70
1900-01-01 12:42:00,8,226,0,70
1900-01-01 12:43:00,10,239,0,70
1900-01-01 12:44:00,13,250,0,80
1900-01-01 12:45:00,16,254,0,80
1900-01-01 12:46:00,16,257,0,80
1900-01-01 12:47:00,18,272,0,90
1900-01-01 12:48:00,28,296,0,90
1900-01-01 12:49:00,29,304,0,100
1900-01-01 12:50:00,15,282,0,90
1900-01-01 12:51:00,18,287,0,90
1900-01-01 12:52:00,25,300,0,100
1900-01-01 12:53:00,26,306,0,100
1900-01-01 12:54:00,29,318,0,100
1900-01-01 12:55:00,35,336,10,110
1900-01-01 12:56:00,36,340,10,110
1900-01-01 12:57:00,36,344,10,110
1900-01-01 12:58:00,38,346,10,110
1900-01-01 12:59:00,40,351,10,110
1900-01-01 13:00:00,26,331,0,110
1900-01-01 13:01:00,28,341,0,110
1900-01-01 13:02:00,33,350,10,110
1900-01-01 13:03:00,35,358,10,110
1900-01-01 13:04:00,37,367,10,120
1900-01-01 13:05:00,38,371,10,120
1900-01-01 13:06:00,39,376,10,120
1900-01-01 13:07:00,41,379,10,120
1900-01-01 13:08:00,43,385,10,120
1900-01-01 13:09:00,48,392,10,130
1900-01-01 13:10:00,33,375,10,120
1900-01-01 13:11:00,34,384,10,120
1900-01-01 13:12:00,37,394,10,130
1900-01-01 13:13:00,38,403,10,130
1900-01-01 13:14:00,38,412,10,130
1900-01-01 13:15:00,41,418,10,130
1900-01-01 13:16:00,41,425,10,140
1900-01-01 13:17:00,42,427,10,140
1900-01-01 13:18:00,42,439,10,140
1900-01-01 13:19:00,46,444,10,140
1900-01-01 13:20:00,31,420,10,140
1900-01-01 13:21:00,31,422,10,140
1900-01-01 13:22:00,33,431,10,140
1900-01-01 13:23:00,36,438,10,140
1900-01-01 13:24:00,38,454,10,150
1900-01-01 13:25:00,40,464,10,150
1900-01-01 13:26:00,41,470,10,150
1900-01-01 13:27:00,43,475,10,150
1900-01-01 13:28:00,47,484,10,160
1900-01-01 13:29:00,47,491,10,160
1900-01-01 13:30:00,32,470,10,150
1900-01-01 13:31:00,35,483,10,160
1900-01-01 13:32:00,40,493,10,160
1900-01-01 13:33:00,41,507,10,160
1900-01-01 13:34:00,51,519,10,170
1900-01-01 13:35:00,53,527,10,170
1900-01-01 13:36:00,59,554,10,180
1900-01-01 13:37:00,63,562,20,180
1900-01-01 13:38:00,65,565,20,180
1900-01-01 13:39:00,66,576,20,190
1900-01-01 13:40:00,51,554,10,180
1900-01-01 13:41:00,55,562,10,180
1900-01-01 13:42:00,62,575,20,190
1900-01-01 13:43:00,65,583,20,190
1900-01-01 13:44:00,67,598,20,190
1900-01-01 13:45:00,73,609,20,200
1900-01-01 13:46:00,76,617,20,200
1900-01-01 13:47:00,76,621,20,200
1900-01-01 13:48:00,81,647,20,210
1900-01-01 13:49:00,87,654,20,210
1900-01-01 13:50:00,70,635,20,210
1900-01-01 13:51:00,73,645,20,210
1900-01-01 13:52:00,75,658,20,210
1900-01-01 13:53:00,76,672,20,220
1900-01-01 13:54:00,82,687,20,220
1900-01-01 13:55:00,88,694,20,230
1900-01-01 13:56:00,89,698,20,230
1900-01-01 13:57:00,90,703,30,230
1900-01-01 13:58:00,92,711,30,230
1900-01-01 13:59:00,93,720,30,240
1900-01-01 14:00:00,76,701,20,230
1900-01-01 14:01:00,77,708,20,230
1900-01-01 14:02:00,81,716,20,230
1900-01-01 14:03:00,92,744,30,240
1900-01-01 14:04:00,96,760,30,250
1900-01-01 14:05:00,97,768,30,250
1900-01-01 14:06:00,98,777,30,250
1900-01-01 14:07:00,99,790,30,260
1900-01-01 14:08:00,100,801,30,260
1900-01-01 14:09:00,103,814,30,270
1900-01-01 14:10:00,86,796,20,260
1900-01-01 14:11:00,86,806,20,260
1900-01-01 14:12:00,90,819,30,270
1900-01-01 14:13:00,90,830,30,270
1900-01-01 14:14:00,93,847,30,280
1900-01-01 14:15:00,95,858,30,280
1900-01-01 14:16:00,96,863,30,280
1900-01-01 14:17:00,102,880,30,290
1900-01-01 14:18:00,104,883,30,290
1900-01-01 14:19:00,106,890,30,290
1900-01-01 14:20:00,87,858,20,280
1900-01-01 14:21:00,92,865,30,280
1900-01-01 14:22:00,96,873,30,290
1900-01-01 14:23:00,97,884,30,290
1900-01-01 14:24:00,99,897,30,290
1900-01-01 14:25:00,103,910,30,300
1900-01-01 14:26:00,105,921,30,300
1900-01-01 14:27:00,106,939,30,310
1900-01-01 14:28:00,108,945,30,310
1900-01-01 14:29:00,109,953,30,310
1900-01-01 14:30:00,93,924,30,300
1900-01-01 14:31:00,94,932,30,310
1900-01-01 14:32:00,99,944,30,310
1900-01-01 14:33:00,102,958,30,310
1900-01-01 14:34:00,104,971,30,320
1900-01-01 14:35:00,106,986,30,320
1900-01-01 14:36:00,107,989,30,320
1900-01-01 14:37:00,110,998,30,330
1900-01-01 14:38:00,114,1001,30,330
1900-01-01 14:39:00,114,1005,30,330
1900-01-01 14:40:00,96,969,30,320
1900-01-01 14:41:00,100,974,30,320
1900-01-01 14:42:00,106,982,30,320
1900-01-01 14:43:00,113,991,30,330
1900-01-01 14:44:00,117,1005,30,330
1900-01-01 14:45:00,119,1021,30,340
1900-01-01 14:46:00,123,1032,40,340
1900-01-01 14:47:00,125,1043,40,340
1900-01-01 14:48:00,130,1068,40,350
