timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:01:00,0,0,0,0
1900-01-01 10:02:00,0,0,0,0
1900-01-01 10:03:00,0,0,0,0
1900-01-01 10:04:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:06:00,0,0,0,0
1900-01-01 10:07:00,0,0,0,0
1900-01-01 10:08:00,0,0,0,0
1900-01-01 10:09:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:11:00,0,0,0,0
1900-01-01 10:12:00,0,0,0,0
1900-01-01 10:13:00,0,0,0,0
1900-01-01 10:14:00,0,0,0,0
1900-01-01 10:15:00,0,1,0,0
1900-01-01 10:16:00,0,1,0,0
1900-01-01 10:17:00,0,1,0,0
1900-01-01 10:18:00,0,1,0,0
1900-01-01 10:19:00,0,1,0,0
1900-01-01 10:20:00,1,6,0,0
1900-01-01 10:21:00,1,6,0,0
1900-01-01 10:22:00,1,6,0,0
1900-01-01 10:23:00,1,6,0,0
1900-01-01 10:24:00,1,6,0,0
1900-01-01 10:25:00,1,10,0,0
1900-01-01 10:26:00,1,10,0,0
1900-01-01 10:27:00,1,10,0,0
1900-01-01 10:28:00,1,10,0,0
1900-01-01 10:29:00,1,10,0,0
1900-01-01 10:30:00,2,16,0,0
1900-01-01 10:31:00,2,16,0,0
1900-01-01 10:32:00,2,16,0,0
1900-01-01 10:33:00,2,16,0,0
1900-01-01 10:34:00,2,16,0,0
1900-01-01 10:35:00,2,20,0,0
1900-01-01 10:36:00,2,20,0,0
1900-01-01 10:37:00,2,20,0,0
1900-01-01 10:38:00,2,20,0,0
1900-01-01 10:39:00,2,20,0,0
1900-01-01 10:40:00,2,21,0,0
1900-01-01 10:41:00,2,21,0,0
1900-01-01 10:42:00,2,21,0,0
1900-01-01 10:43:00,2,21,0,0
1900-01-01 10:44:00,2,21,0,0
1900-01-01 10:45:00,2,27,0,0
1900-01-01 10:46:00,2,27,0,0
1900-01-01 10:47:00,2,27,0,0
1900-01-01 10:48:00,2,27,0,0
1900-01-01 10:49:00,2,27,0,0
1900-01-01 10:50:00,2,41,0,0
1900-01-01 10:51:00,2,41,0,0
1900-01-01 10:52:00,2,43,0,0
1900-01-01 10:53:00,2,43,0,0
1900-01-01 10:54:00,2,43,0,0
1900-01-01 10:55:00,5,53,0,0
1900-01-01 10:56:00,5,53,0,0
1900-01-01 10:57:00,5,53,0,0
1900-01-01 10:58:00,5,53,0,0
1900-01-01 10:59:00,5,53,0,0
1900-01-01 11:00:00,8,66,0,0
1900-01-01 11:01:00,8,66,0,0
1900-01-01 11:02:00,8,66,0,0
1900-01-01 11:03:00,9,67,0,0
1900-01-01 11:04:00,9,68,0,0
1900-01-01 11:05:00,9,81,0,0
1900-01-01 11:06:00,9,81,0,0
1900-01-01 11:07:00,9,82,0,0
1900-01-01 11:08:00,9,82,0,0
1900-01-01 11:09:00,9,82,0,0
1900-01-01 11:10:00,9,84,0,0
1900-01-01 11:11:00,9,85,0,0
1900-01-01 11:12:00,9,85,0,0
1900-01-01 11:13:00,9,85,0,0
1900-01-01 11:14:00,9,85,0,0
1900-01-01 11:15:00,11,91,0,0
1900-01-01 11:16:00,11,91,0,0
1900-01-01 11:17:00,11,91,0,0
1900-01-01 11:18:00,11,91,0,0
1900-01-01 11:19:00,11,91,0,0
1900-01-01 11:20:00,13,99,0,0
1900-01-01 11:21:00,13,100,0,0
1900-01-01 11:22:00,13,102,0,0
1900-01-01 11:23:00,13,102,0,0
1900-01-01 11:24:00,13,102,0,0
1900-01-01 11:25:00,16,113,0,0
1900-01-01 11:26:00,18,113,0,0
1900-01-01 11:27:00,18,114,0,0
1900-01-01 11:28:00,18,114,0,0
1900-01-01 11:29:00,18,114,0,0
1900-01-01 11:30:00,0,0,0,0
1900-01-01 11:31:00,1,0,0,0
1900-01-01 11:32:00,1,0,0,0
1900-01-01 11:33:00,1,1,0,0
1900-01-01 11:34:00,1,1,0,0
1900-01-01 11:35:00,3,5,0,0
1900-01-01 11:36:00,4,5,0,0
1900-01-01 11:37:00,5,7,0,0
1900-01-01 11:38:00,5,7,0,0
1900-01-01 11:39:00,5,8,0,0
1900-01-01 11:40:00,5,9,0,0
1900-01-01 11:41:00,5,9,0,0
1900-01-01 11:42:00,5,9,0,0
1900-01-01 11:43:00,5,9,0,0
1900-01-01 11:44:00,5,9,0,0
1900-01-01 11:45:00,7,21,0,0
1900-01-01 11:46:00,7,21,0,0
1900-01-01 11:47:00,8,23,0,0
1900-01-01 11:48:00,8,23,0,0
1900-01-01 11:49:00,8,25,0,0
1900-01-01 11:50:00,12,32,0,0
1900-01-01 11:51:00,12,33,0,0
1900-01-01 11:52:00,12,34,0,0
1900-01-01 11:53:00,12,35,0,0
1900-01-01 11:54:00,13,35,0,0
1900-01-01 11:55:00,14,49,0,0
1900-01-01 11:56:00,14,50,0,0
1900-01-01 11:57:00,15,56,0,0
1900-01-01 11:58:00,15,57,0,0
1900-01-01 11:59:00,15,57,0,0
1900-01-01 12:00:00,18,61,0,0
1900-01-01 12:01:00,18,63,0,0
1900-01-01 12:02:00,18,64,0,0
1900-01-01 12:03:00,18,66,0,0
1900-01-01 12:04:00,18,67,0,0
1900-01-01 12:05:00,20,74,0,0
1900-01-01 12:06:00,20,74,0,0
1900-01-01 12:07:00,20,79,0,0
1900-01-01 12:08:00,20,81,0,0
1900-01-01 12:09:00,22,81,0,0
1900-01-01 12:10:00,23,84,0,0
1900-01-01 12:11:00,23,86,0,0
1900-01-01 12:12:00,24,86,0,0
1900-01-01 12:13:00,25,86,0,0
1900-01-01 12:14:00,25,86,0,0
1900-01-01 12:15:00,26,90,0,0
1900-01-01 12:16:00,26,91,0,0
1900-01-01 12:17:00,26,94,0,0
1900-01-01 12:18:00,26,94,0,0
1900-01-01 12:19:00,27,94,0,0
1900-01-01 12:20:00,27,99,0,0
1900-01-01 12:21:00,28,101,0,0
1900-01-01 12:22:00,28,101,0,0
1900-01-01 12:23:00,28,103,0,0
1900-01-01 12:24:00,29,103,0,0
1900-01-01 12:25:00,31,111,0,0
1900-01-01 12:26:00,31,111,0,0
1900-01-01 12:27:00,32,114,0,0
1900-01-01 12:28:00,32,114,0,0
1900-01-01 12:29:00,32,114,0,0
1900-01-01 12:30:00,32,121,0,0
1900-01-01 12:31:00,32,123,0,0
1900-01-01 12:32:00,32,123,0,0
1900-01-01 12:33:00,32,123,0,0
1900-01-01 12:34:00,32,123,0,0
1900-01-01 12:35:00,36,130,0,0
1900-01-01 12:36:00,37,132,0,0
1900-01-01 12:37:00,38,133,0,0
1900-01-01 12:38:00,38,133,0,0
1900-01-01 12:39:00,38,137,0,0
1900-01-01 12:40:00,39,140,0,0
1900-01-01 12:41:00,39,141,0,0
1900-01-01 12:42:00,39,141,0,0
1900-01-01 12:43:00,39,141,0,0
1900-01-01 12:44:00,39,141,0,0
1900-01-01 12:45:00,39,143,0,0
1900-01-01 12:46:00,39,144,0,0
1900-01-01 12:47:00,39,148,0,0
1900-01-01 12:48:00,40,148,0,0
1900-01-01 12:49:00,41,149,0,0
1900-01-01 12:50:00,41,152,0,0
1900-01-01 12:51:00,42,153,0,0
1900-01-01 12:52:00,44,154,0,0
1900-01-01 12:53:00,44,155,0,0
1900-01-01 12:54:00,44,156,0,0
1900-01-01 12:55:00,45,163,0,0
1900-01-01 12:56:00,45,163,0,0
1900-01-01 12:57:00,45,164,0,0
1900-01-01 12:58:00,45,164,0,0
1900-01-01 12:59:00,45,164,0,0
1900-01-01 13:00:00,46,167,0,0
1900-01-01 13:01:00,46,167,0,0
1900-01-01 13:02:00,46,167,0,0
1900-01-01 13:03:00,47,167,0,0
1900-01-01 13:04:00,47,167,0,0
1900-01-01 13:05:00,50,170,0,0
1900-01-01 13:06:00,50,173,0,0
1900-01-01 13:07:00,50,175,0,0
1900-01-01 13:08:00,50,175,0,0
1900-01-01 13:09:00,50,176,0,0
1900-01-01 13:10:00,50,177,0,0
1900-01-01 13:11:00,51,179,0,0
1900-01-01 13:12:00,51,179,0,0
1900-01-01 13:13:00,51,181,0,0
1900-01-01 13:14:00,51,182,0,0
1900-01-01 13:15:00,52,183,0,0
1900-01-01 13:16:00,52,184,0,0
1900-01-01 13:17:00,52,186,0,0
1900-01-01 13:18:00,52,187,0,0
1900-01-01 13:19:00,53,188,0,0
1900-01-01 13:20:00,55,191,0,0
1900-01-01 13:21:00,55,191,0,0
1900-01-01 13:22:00,55,193,0,0
1900-01-01 13:23:00,55,193,0,0
1900-01-01 13:24:00,55,194,0,0
1900-01-01 13:25:00,55,196,0,0
1900-01-01 13:26:00,55,197,0,0
1900-01-01 13:27:00,56,202,0,0
1900-01-01 13:28:00,56,202,0,0
1900-01-01 13:29:00,57,203,0,0
1900-01-01 13:30:00,0,0,0,0
1900-01-01 13:31:00,0,1,0,0
1900-01-01 13:32:00,0,2,0,0
1900-01-01 13:33:00,1,4,0,0
1900-01-01 13:34:00,1,5,0,0
1900-01-01 13:35:00,1,8,0,0
1900-01-01 13:36:00,1,8,0,0
1900-01-01 13:37:00,2,8,0,0
1900-01-01 13:38:00,3,10,0,0
1900-01-01 13:39:00,3,14,0,0
1900-01-01 13:40:00,3,15,0,0
1900-01-01 13:41:00,3,15,0,0
1900-01-01 13:42:00,3,16,0,0
1900-01-01 13:43:00,4,16,0,0
1900-01-01 13:44:00,4,17,0,0
1900-01-01 13:45:00,5,20,0,0
1900-01-01 13:46:00,5,20,0,0
1900-01-01 13:47:00,5,22,0,0
1900-01-01 13:48:00,5,24,0,0
1900-01-01 13:49:00,5,26,0,0
1900-01-01 13:50:00,6,30,0,0
1900-01-01 13:51:00,6,31,0,0
1900-01-01 13:52:00,6,31,0,0
1900-01-01 13:53:00,6,33,0,0
1900-01-01 13:54:00,6,36,0,0
1900-01-01 13:55:00,6,38,0,0
1900-01-01 13:56:00,7,40,0,0
1900-01-01 13:57:00,7,41,0,0
1900-01-01 13:58:00,8,42,0,0
1900-01-01 13:59:00,8,47,0,0
1900-01-01 14:00:00,9,53,0,0
1900-01-01 14:01:00,9,54,0,0
1900-01-01 14:02:00,9,55,0,0
1900-01-01 14:03:00,9,56,0,0
1900-01-01 14:04:00,9,59,0,0
1900-01-01 14:05:00,9,61,0,0
1900-01-01 14:06:00,9,62,0,0
1900-01-01 14:07:00,10,65,0,0
1900-01-01 14:08:00,10,65,0,0
1900-01-01 14:09:00,11,68,0,0
1900-01-01 14:10:00,12,69,0,0
1900-01-01 14:11:00,12,70,0,0
1900-01-01 14:12:00,12,72,0,0
1900-01-01 14:13:00,12,73,0,0
1900-01-01 14:14:00,12,75,0,0
1900-01-01 14:15:00,15,79,0,0
1900-01-01 14:16:00,15,79,0,0
1900-01-01 14:17:00,15,79,0,0
1900-01-01 14:18:00,16,81,0,0
1900-01-01 14:19:00,17,83,0,0
1900-01-01 14:20:00,18,85,0,0
1900-01-01 14:21:00,18,88,0,0
1900-01-01 14:22:00,18,88,0,0
1900-01-01 14:23:00,18,90,0,0
1900-01-01 14:24:00,18,91,0,0
1900-01-01 14:25:00,20,94,0,0
1900-01-01 14:26:00,21,94,0,0
1900-01-01 14:27:00,21,95,0,0
1900-01-01 14:28:00,21,96,0,0
1900-01-01 14:29:00,21,98,0,0
1900-01-01 14:30:00,22,103,0,0
1900-01-01 14:31:00,22,103,0,0
1900-01-01 14:32:00,22,105,0,0
1900-01-01 14:33:00,22,108,0,0
1900-01-01 14:34:00,22,109,0,0
1900-01-01 14:35:00,22,111,0,0
1900-01-01 14:36:00,22,113,0,0
1900-01-01 14:37:00,24,116,0,0
1900-01-01 14:38:00,24,118,0,0
1900-01-01 14:39:00,26,119,0,0
1900-01-01 14:40:00,28,124,0,0
1900-01-01 14:41:00,29,124,0,0
1900-01-01 14:42:00,30,126,0,0
1900-01-01 14:43:00,30,126,0,0
1900-01-01 14:44:00,30,126,0,0
1900-01-01 14:45:00,30,128,0,0
1900-01-01 14:46:00,30,129,0,0
1900-01-01 14:47:00,32,129,0,0
1900-01-01 14:48:00,33,130,0,0
