Time,Average Wait Time,Number of Visitors,Number of New Visitors Arriving
10:00,7.0,35.0,35.0
10:05,8.5,42.5,75.0
10:10,8.5,42.5,0.0
10:15,9.0,45.0,25.0
10:20,10.5,52.5,75.0
10:25,11.5,57.5,50.0
10:30,13.5,67.5,100.0
10:35,14.5,72.5,50.0
10:40,16.0,80.0,75.0
10:45,18.0,90.0,100.0
10:50,19.5,97.5,75.0
10:55,21.0,105.0,75.0
11:00,21.5,107.5,25.0
11:05,22.5,112.5,50.0
11:10,22.0,110.0,-25.0
11:15,23.0,115.0,50.0
11:20,25.5,127.5,125.0
11:25,27.0,135.0,75.0
11:30,29.5,147.5,125.0
11:35,28.5,142.5,-50.0
11:40,26.5,132.5,-100.0
11:45,28.5,142.5,100.0
11:50,30.0,150.0,75.0
11:55,29.5,147.5,-25.0
12:00,33.0,165.0,175.0
12:05,33.0,165.0,0.0
12:10,34.0,170.0,50.0
12:15,34.0,170.0,0.0
12:20,33.0,165.0,-50.0
12:25,34.0,170.0,25.0
12:30,36.5,182.5,125.0
12:35,36.0,180.0,-25.0
12:40,36.0,180.0,0.0
12:45,34.5,172.5,-75.0
12:50,34.5,172.5,0.0
12:55,33.5,167.5,-50.0
13:00,33.5,167.5,0.0
13:05,35.0,175.0,75.0
13:10,35.5,177.5,25.0
13:15,35.5,177.5,0.0
13:20,39.0,195.0,0.0
13:25,36.5,182.5,50.0
13:30,36.5,182.5,0.0
13:35,39.5,197.5,150.0
13:40,40.5,202.5,50.0
13:45,41.0,205.0,25.0
13:50,42.5,212.5,75.0
13:55,43.5,217.5,50.0
14:00,43.5,217.5,0.0
14:05,43.0,215.0,-25.0
14:10,43.0,215.0,0.0
14:15,44.0,220.0,50.0
14:20,44.5,222.5,25.0
14:25,45.0,225.0,0.0
14:30,44.0,220.0,0.0
14:35,43.5,217.5,-50.0
14:40,43.5,217.5,0.0
14:45,43.0,215.0,-25.0
14:50,43.0,215.0,0.0
14:55,44.5,222.5,75.0
15:00,45.0,225.0,25.0
15:05,35.0,175.0,-500.0
15:10,35.0,175.0,0.0
15:15,36.0,180.0,50.0
15:20,39.5,197.5,175.0
15:25,41.0,205.0,75.0
15:30,37.5,187.5,-175.0
15:35,38.0,190.0,25.0
15:40,37.5,187.5,-25.0
15:45,36.0,180.0,-75.0
15:50,36.5,182.5,25.0
15:55,37.0,185.0,25.0
16:00,37.0,185.0,0.0
16:05,37.0,185.0,0.0
16:10,34.5,172.5,-125.0
16:15,34.0,170.0,-25.0
16:20,32.5,162.5,-75.0
16:25,37.5,187.5,250.0
16:30,36.5,182.5,-50.0
16:35,37.0,185.0,25.0
16:40,37.0,185.0,0.0
16:45,37.0,185.0,0.0
16:50,36.5,182.5,-25.0
16:55,35.0,175.0,-75.0
17:00,36.5,182.5,75.0
17:05,35.0,175.0,-75.0
17:10,35.5,177.5,25.0
17:15,31.5,157.5,-200.0
17:20,29.5,147.5,-100.0
17:25,28.0,140.0,-75.0
17:30,27.5,137.5,-25.0
17:35,26.5,132.5,-50.0
17:40,26.0,130.0,-25.0
17:45,25.5,127.5,-25.0
17:50,25.5,127.5,0.0
17:55,23.5,117.5,-100.0
18:00,23.5,117.5,0.0
18:05,25.5,127.5,100.0
18:10,25.5,127.5,0.0
18:15,26.5,132.5,50.0
18:20,26.5,132.5,0.0
18:25,27.5,137.5,50.0
18:30,27.5,137.5,0.0
18:35,27.0,135.0,-25.0
18:40,26.5,132.5,-25.0
18:45,27.0,135.0,25.0
18:50,24.5,122.5,-125.0
18:55,24.5,122.5,0.0
19:00,20.0,100.0,-225.0
19:05,19.5,97.5,-25.0
19:10,18.0,90.0,-75.0
19:15,20.0,100.0,-150.0
19:20,17.0,85.0,-150.0
19:25,13.5,67.5,-75.0
19:30,13.5,67.5,0.0
19:35,13.0,65.0,-25.0
19:40,11.5,57.5,-75.0
19:45,11.5,57.5,0.0
19:50,11.5,57.5,0.0
19:55,11.0,55.0,-25.0
20:00,13.0,65.0,-50.0
20:05,13.0,65.0,0.0
20:10,13.0,65.0,0.0
20:15,11.0,55.0,-100.0
20:20,10.0,50.0,-50.0
20:25,9.0,45.0,-50.0
20:30,9.0,45.0,0.0
20:35,9.0,45.0,0.0
20:40,8.0,40.0,-50.0
20:45,8.0,40.0,0.0
20:50,8.0,40.0,0.0
20:55,8.0,40.0,0.0
