Time,Average Wait Time,Number of Visitors,Number of New Visitors Arriving
10:00,7.125,35.0,35.0
10:05,7.125,35.0,0.0
10:10,7.25,35.0,0.0
10:15,7.714285714285714,40.0,50.0
10:20,8.0,40.0,0.0
10:25,8.5,40.0,0.0
10:30,8.875,45.0,50.0
10:35,9.5,50.0,50.0
10:40,10.5,50.0,0.0
10:45,11.25,55.0,50.0
10:50,11.428571428571429,55.0,0.0
10:55,13.0,65.0,100.0
11:00,14.0,70.0,50.0
11:05,14.285714285714286,70.0,0.0
11:10,14.428571428571429,70.0,0.0
11:15,15.0,75.0,50.0
11:20,16.0,80.0,50.0
11:25,16.125,80.0,0.0
11:30,16.125,80.0,0.0
11:35,16.625,85.0,50.0
11:40,17.142857142857142,85.0,0.0
11:45,17.875,90.0,50.0
11:50,19.5,100.0,100.0
11:55,19.857142857142858,100.0,0.0
12:00,18.0,90.0,-100.0
12:05,20.875,105.0,150.0
12:10,21.25,105.0,0.0
12:15,21.5,110.0,50.0
12:20,22.285714285714285,110.0,0.0
12:25,21.25,105.0,-50.0
12:30,21.625,110.0,50.0
12:35,22.0,110.0,0.0
12:40,22.125,110.0,0.0
12:45,22.571428571428573,115.0,50.0
12:50,23.285714285714285,115.0,0.0
12:55,23.714285714285715,120.0,50.0
13:00,22.875,115.0,-50.0
13:05,23.125,115.0,0.0
13:10,23.625,120.0,50.0
13:15,23.5,120.0,0.0
13:20,24.428571428571427,120.0,0.0
13:25,22.25,110.0,-100.0
13:30,23.571428571428573,120.0,100.0
13:35,20.714285714285715,105.0,-150.0
13:40,23.333333333333332,115.0,100.0
13:45,20.571428571428573,105.0,-100.0
13:50,22.142857142857142,110.0,50.0
13:55,21.875,110.0,0.0
14:00,22.0,110.0,0.0
14:05,22.5,110.0,0.0
14:10,22.75,115.0,50.0
14:15,24.142857142857142,120.0,50.0
14:20,24.0,120.0,0.0
14:25,23.125,115.0,-50.0
14:30,23.375,115.0,0.0
14:35,23.0,115.0,0.0
14:40,23.875,120.0,50.0
14:45,24.125,120.0,0.0
14:50,24.375,120.0,0.0
14:55,24.25,120.0,0.0
15:00,24.75,125.0,50.0
15:05,24.25,120.0,-50.0
15:10,25.125,125.0,50.0
15:15,24.0,120.0,-50.0
15:20,24.0,120.0,0.0
15:25,23.571428571428573,120.0,0.0
15:30,23.5,120.0,0.0
15:35,24.428571428571427,120.0,0.0
15:40,22.0,110.0,-100.0
15:45,22.375,110.0,0.0
15:50,22.857142857142858,115.0,50.0
15:55,21.0,105.0,-100.0
16:00,21.375,105.0,0.0
16:05,20.875,105.0,0.0
16:10,20.625,105.0,0.0
16:15,19.75,100.0,-50.0
16:20,19.125,95.0,-50.0
16:25,19.714285714285715,100.0,50.0
16:30,17.714285714285715,90.0,-100.0
16:35,17.75,90.0,0.0
16:40,17.142857142857142,85.0,-50.0
16:45,17.125,85.0,0.0
16:50,16.875,85.0,0.0
16:55,16.25,80.0,-50.0
17:00,16.125,80.0,0.0
17:05,16.857142857142858,85.0,50.0
17:10,16.375,80.0,-50.0
17:15,16.375,80.0,0.0
17:20,16.333333333333332,80.0,0.0
17:25,15.0,75.0,-50.0
17:30,16.0,80.0,50.0
17:35,16.0,80.0,0.0
17:40,15.857142857142858,80.0,0.0
17:45,15.375,75.0,-50.0
17:50,15.125,75.0,0.0
17:55,13.714285714285714,70.0,-50.0
18:00,13.875,70.0,0.0
18:05,13.625,70.0,0.0
18:10,13.125,65.0,-50.0
18:15,12.875,65.0,0.0
18:20,12.375,60.0,-50.0
18:25,12.25,60.0,0.0
18:30,11.285714285714286,55.0,-50.0
18:35,10.875,55.0,0.0
18:40,10.25,50.0,-50.0
18:45,9.875,50.0,0.0
18:50,9.666666666666666,50.0,0.0
18:55,9.375,45.0,-50.0
19:00,10.5,50.0,50.0
19:05,10.75,55.0,50.0
19:10,10.0,50.0,-50.0
19:15,10.25,50.0,0.0
19:20,8.5,40.0,-100.0
19:25,8.25,40.0,0.0
19:30,8.25,40.0,0.0
19:35,8.25,40.0,0.0
19:40,8.0,40.0,0.0
19:45,7.6,40.0,0.0
19:50,7.6,40.0,0.0
19:55,7.6,40.0,0.0
