source,target,nodes,distance
Accelerator,Battlestar Galactica: CYLON,"['Accelerator', 'Battlestar Galactica: CYLON']",4
Accelerator,Battlestar Galactica: HUMAN,"['Accelerator', 'Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN']",5
Accelerator,Canopy Flyer,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Restroom 5', 'Canopy Flyer']",30
Accelerator,Dino Soarin',"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure', ""Dino Soarin'""]",30
Accelerator,Donkey Live,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Enchanted Airways', 'Donkey Live']",26
Accelerator,Enchanted Airways,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Enchanted Airways']",22
Accelerator,Fortune Favours The Furry,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Enchanted Airways', 'Donkey Live', 'Fortune Favours The Furry']",29
Accelerator,Jurassic Park Rapids Adventure,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure']",27
Accelerator,Lights Camera Action Hosted by Steven Spielberg,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg']",11
Accelerator,Magic Potion Spin,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Magic Potion Spin']",22
Accelerator,Puss In Boots Giant Journey,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Magic Potion Spin', 'Puss In Boots Giant Journey']",24
Accelerator,Revenge of the Mummy,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy']",12
Accelerator,Sesame Street Spaghetti Space Chase,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase']",9
Accelerator,Shrek 4D Adventure,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure']",20
Accelerator,TRANSFORMERS The Ride: The Ultimate 3D Battle,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle']",3
Accelerator,Treasure Hunters,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Treasure Hunters']",16
Accelerator,Discovery Food Court,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court']",22
Accelerator,Fossil Fuels,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure', ""Dino Soarin'"", 'Fossil Fuels']",35
Accelerator,Friar's Good Food,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food""]",15
Accelerator,Goldilocks,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks']",14
Accelerator,KT's Grill,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Restroom 1', ""KT's Grill""]",15
Accelerator,Loui's NY Pizza Parlor,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", ""Loui's NY Pizza Parlor""]",8
