,Date,Time,Temp,Rain,Day of the Week,School Holiday,Public Holiday
0,2023-11-01,09:00:00,30,0,Wednesday,0,0
1,2023-11-01,10:00:00,31,0,Wednesday,0,0
2,2023-11-01,11:00:00,33,0,Wednesday,0,0
3,2023-11-01,12:00:00,32,0,Wednesday,0,0
4,2023-11-01,13:00:00,33,0,Wednesday,0,0
5,2023-11-01,14:00:00,32,0,Wednesday,0,0
6,2023-11-01,14:27:00,32,0,Wednesday,0,0
7,2023-11-01,15:00:00,31,0,Wednesday,0,0
8,2023-11-01,16:00:00,31,0,Wednesday,0,0
9,2023-11-01,17:00:00,29,0,Wednesday,0,0
10,2023-11-01,18:00:00,29,0,Wednesday,0,0
11,2023-11-01,19:00:00,28,0,Wednesday,0,0
12,2023-11-01,20:00:00,28,0,Wednesday,0,0
13,2023-11-01,21:00:00,27,0,Wednesday,0,0
14,2023-11-01,22:00:00,27,0,Wednesday,0,0
15,2023-11-02,09:00:00,30,0,Thursday,0,0
16,2023-11-02,10:00:00,31,0,Thursday,0,0
17,2023-11-02,11:00:00,33,0,Thursday,0,0
18,2023-11-02,12:00:00,33,0,Thursday,0,0
19,2023-11-02,13:00:00,33,0,Thursday,0,0
20,2023-11-02,14:00:00,34,0,Thursday,0,0
21,2023-11-02,15:00:00,35,0,Thursday,0,0
22,2023-11-02,16:00:00,34,0,Thursday,0,0
23,2023-11-02,17:00:00,32,0,Thursday,0,0
24,2023-11-02,18:00:00,32,0,Thursday,0,0
25,2023-11-02,19:00:00,30,0,Thursday,0,0
26,2023-11-02,20:00:00,30,0,Thursday,0,0
27,2023-11-02,21:00:00,30,0,Thursday,0,0
28,2023-11-02,22:00:00,29,0,Thursday,0,0
29,2023-11-03,09:00:00,31,0,Friday,0,0
30,2023-11-03,10:00:00,32,0,Friday,0,0
31,2023-11-03,11:00:00,33,0,Friday,0,0
32,2023-11-03,12:00:00,34,0,Friday,0,0
33,2023-11-03,13:00:00,33,0,Friday,0,0
34,2023-11-03,14:00:00,33,0,Friday,0,0
35,2023-11-03,15:00:00,33,0,Friday,0,0
36,2023-11-03,16:00:00,33,0,Friday,0,0
37,2023-11-03,17:00:00,31,0,Friday,0,0
38,2023-11-03,18:00:00,31,0,Friday,0,0
39,2023-11-03,19:00:00,30,0,Friday,0,0
40,2023-11-03,20:00:00,30,0,Friday,0,0
41,2023-11-03,21:00:00,30,0,Friday,0,0
42,2023-11-03,22:00:00,29,0,Friday,0,0
43,2023-11-04,09:00:00,31,0,Saturday,0,0
44,2023-11-04,10:00:00,32,0,Saturday,0,0
45,2023-11-04,11:00:00,33,0,Saturday,0,0
46,2023-11-04,12:00:00,32,0,Saturday,0,0
47,2023-11-04,13:00:00,31,0,Saturday,0,0
48,2023-11-04,14:00:00,32,0,Saturday,0,0
49,2023-11-04,15:00:00,32,0,Saturday,0,0
50,2023-11-04,16:00:00,28,0,Saturday,0,0
51,2023-11-04,17:00:00,28,0,Saturday,0,0
52,2023-11-04,18:00:00,28,0,Saturday,0,0
53,2023-11-04,19:00:00,29,0,Saturday,0,0
54,2023-11-04,20:00:00,28,0,Saturday,0,0
55,2023-11-04,21:00:00,28,0,Saturday,0,0
56,2023-11-04,22:00:00,28,0,Saturday,0,0
57,2023-11-05,09:00:00,30,0,Sunday,0,0
58,2023-11-05,10:00:00,32,0,Sunday,0,0
59,2023-11-05,11:00:00,29,1,Sunday,0,0
60,2023-11-05,11:15:00,27,0,Sunday,0,0
61,2023-11-05,11:35:00,24,0,Sunday,0,0
62,2023-11-05,12:00:00,25,0,Sunday,0,0
63,2023-11-05,12:25:00,27,1,Sunday,0,0
64,2023-11-05,13:00:00,30,0,Sunday,0,0
65,2023-11-05,14:00:00,33,0,Sunday,0,0
66,2023-11-05,15:00:00,26,0,Sunday,0,0
67,2023-11-05,15:30:00,27,0,Sunday,0,0
68,2023-11-05,16:00:00,28,0,Sunday,0,0
69,2023-11-05,17:00:00,29,0,Sunday,0,0
70,2023-11-05,18:00:00,28,0,Sunday,0,0
71,2023-11-05,19:00:00,28,0,Sunday,0,0
72,2023-11-05,20:00:00,26,0,Sunday,0,0
73,2023-11-05,21:00:00,26,0,Sunday,0,0
74,2023-11-05,22:00:00,26,0,Sunday,0,0
75,2023-11-06,09:00:00,30,0,Monday,0,0
76,2023-11-06,10:00:00,32,0,Monday,0,0
77,2023-11-06,11:00:00,33,0,Monday,0,0
78,2023-11-06,12:00:00,33,0,Monday,0,0
79,2023-11-06,13:00:00,31,0,Monday,0,0
80,2023-11-06,14:00:00,31,0,Monday,0,0
81,2023-11-06,15:00:00,31,0,Monday,0,0
82,2023-11-06,15:04:00,31,0,Monday,0,0
83,2023-11-06,16:00:00,29,0,Monday,0,0
84,2023-11-06,17:00:00,29,0,Monday,0,0
85,2023-11-06,18:00:00,29,0,Monday,0,0
86,2023-11-06,19:00:00,28,0,Monday,0,0
87,2023-11-06,20:00:00,28,0,Monday,0,0
88,2023-11-06,21:00:00,27,0,Monday,0,0
89,2023-11-06,22:00:00,28,0,Monday,0,0
90,2023-11-07,09:00:00,29,0,Tuesday,0,0
91,2023-11-07,10:00:00,33,0,Tuesday,0,0
92,2023-11-07,11:00:00,33,0,Tuesday,0,0
93,2023-11-07,12:00:00,31,0,Tuesday,0,0
94,2023-11-07,13:00:00,31,0,Tuesday,0,0
95,2023-11-07,14:00:00,30,0,Tuesday,0,0
96,2023-11-07,15:00:00,32,0,Tuesday,0,0
97,2023-11-07,16:10:00,31,0,Tuesday,0,0
98,2023-11-07,18:00:00,26,0,Tuesday,0,0
99,2023-11-07,19:00:00,26,0,Tuesday,0,0
100,2023-11-07,20:00:00,26,0,Tuesday,0,0
101,2023-11-07,21:00:00,26,0,Tuesday,0,0
102,2023-11-07,22:00:00,26,0,Tuesday,0,0
103,2023-11-08,09:00:00,28,0,Wednesday,0,0
104,2023-11-08,10:00:00,30,0,Wednesday,0,0
105,2023-11-08,11:00:00,31,0,Wednesday,0,0
106,2023-11-08,12:00:00,30,0,Wednesday,0,0
107,2023-11-08,13:00:00,31,0,Wednesday,0,0
108,2023-11-08,14:00:00,31,0,Wednesday,0,0
109,2023-11-08,15:00:00,29,1,Wednesday,0,0
110,2023-11-08,16:00:00,30,0,Wednesday,0,0
111,2023-11-08,17:00:00,30,0,Wednesday,0,0
112,2023-11-08,18:00:00,30,0,Wednesday,0,0
113,2023-11-08,19:00:00,29,0,Wednesday,0,0
114,2023-11-08,20:00:00,29,0,Wednesday,0,0
115,2023-11-08,21:00:00,29,0,Wednesday,0,0
116,2023-11-08,22:00:00,27,0,Wednesday,0,0
117,2023-11-09,09:00:00,30,0,Thursday,0,0
118,2023-11-09,10:00:00,31,0,Thursday,0,0
119,2023-11-09,11:00:00,32,0,Thursday,0,0
120,2023-11-09,12:00:00,25,0,Thursday,0,0
121,2023-11-09,12:30:00,26,0,Thursday,0,0
122,2023-11-09,13:00:00,28,0,Thursday,0,0
123,2023-11-09,13:30:00,31,0,Thursday,0,0
124,2023-11-09,14:00:00,30,0,Thursday,0,0
125,2023-11-09,15:00:00,28,0,Thursday,0,0
126,2023-11-09,15:05:00,28,0,Thursday,0,0
127,2023-11-09,16:00:00,27,0,Thursday,0,0
128,2023-11-09,16:30:00,27,0,Thursday,0,0
129,2023-11-09,17:00:00,28,1,Thursday,0,0
130,2023-11-09,18:00:00,29,0,Thursday,0,0
131,2023-11-09,19:00:00,28,0,Thursday,0,0
132,2023-11-09,20:00:00,28,0,Thursday,0,0
133,2023-11-09,21:00:00,27,0,Thursday,0,0
134,2023-11-09,22:00:00,28,0,Thursday,0,0
135,2023-11-10,09:00:00,29,0,Friday,0,0
136,2023-11-10,10:00:00,30,0,Friday,0,0
137,2023-11-10,11:00:00,32,0,Friday,0,0
138,2023-11-10,12:00:00,32,0,Friday,0,0
139,2023-11-10,13:00:00,32,0,Friday,0,0
140,2023-11-10,13:12:00,32,0,Friday,0,0
141,2023-11-10,13:35:00,27,0,Friday,0,0
142,2023-11-10,14:00:00,25,0,Friday,0,0
143,2023-11-10,14:20:00,25,0,Friday,0,0
144,2023-11-10,15:00:00,27,0,Friday,0,0
145,2023-11-10,15:30:00,27,0,Friday,0,0
146,2023-11-10,16:00:00,27,0,Friday,0,0
147,2023-11-10,17:00:00,28,0,Friday,0,0
148,2023-11-10,18:00:00,28,0,Friday,0,0
149,2023-11-10,19:00:00,27,0,Friday,0,0
150,2023-11-10,20:00:00,27,0,Friday,0,0
151,2023-11-10,21:00:00,26,0,Friday,0,0
152,2023-11-10,22:00:00,27,0,Friday,0,0
153,2023-11-11,09:00:00,30,0,Saturday,0,0
154,2023-11-11,10:00:00,32,0,Saturday,0,0
155,2023-11-11,11:00:00,32,0,Saturday,0,0
156,2023-11-11,12:00:00,33,0,Saturday,0,0
157,2023-11-11,13:00:00,33,0,Saturday,0,0
158,2023-11-11,14:00:00,34,0,Saturday,0,0
159,2023-11-11,15:00:00,34,0,Saturday,0,0
160,2023-11-11,16:00:00,34,0,Saturday,0,0
161,2023-11-11,17:00:00,33,0,Saturday,0,0
162,2023-11-11,18:00:00,31,0,Saturday,0,0
163,2023-11-11,19:00:00,31,0,Saturday,0,0
164,2023-11-11,20:00:00,31,0,Saturday,0,0
165,2023-11-11,21:00:00,30,0,Saturday,0,0
166,2023-11-11,22:00:00,28,0,Saturday,0,0
