,datetime,Date,Time,Temp,rain,Day of the Week,School Holiday,Public Holiday,Weekend,type_of_day
0,2024-08-09 10:00:00,2024-08-09,10:00:00,29,1,Friday,0,1,0,3
1,2024-08-09 10:01:00,2024-08-09,10:01:00,29,1,Friday,0,1,0,3
2,2024-08-09 10:02:00,2024-08-09,10:02:00,29,1,Friday,0,1,0,3
3,2024-08-09 10:03:00,2024-08-09,10:03:00,29,1,Friday,0,1,0,3
4,2024-08-09 10:04:00,2024-08-09,10:04:00,29,1,Friday,0,1,0,3
5,2024-08-09 10:05:00,2024-08-09,10:05:00,29,1,Friday,0,1,0,3
6,2024-08-09 10:06:00,2024-08-09,10:06:00,29,1,Friday,0,1,0,3
7,2024-08-09 10:07:00,2024-08-09,10:07:00,29,1,Friday,0,1,0,3
8,2024-08-09 10:08:00,2024-08-09,10:08:00,29,1,Friday,0,1,0,3
9,2024-08-09 10:09:00,2024-08-09,10:09:00,29,1,Friday,0,1,0,3
10,2024-08-09 10:10:00,2024-08-09,10:10:00,29,1,Friday,0,1,0,3
11,2024-08-09 10:11:00,2024-08-09,10:11:00,29,1,Friday,0,1,0,3
12,2024-08-09 10:12:00,2024-08-09,10:12:00,29,1,Friday,0,1,0,3
13,2024-08-09 10:13:00,2024-08-09,10:13:00,29,1,Friday,0,1,0,3
14,2024-08-09 10:14:00,2024-08-09,10:14:00,29,1,Friday,0,1,0,3
15,2024-08-09 10:15:00,2024-08-09,10:15:00,29,1,Friday,0,1,0,3
16,2024-08-09 10:16:00,2024-08-09,10:16:00,29,1,Friday,0,1,0,3
17,2024-08-09 10:17:00,2024-08-09,10:17:00,29,1,Friday,0,1,0,3
18,2024-08-09 10:18:00,2024-08-09,10:18:00,29,1,Friday,0,1,0,3
19,2024-08-09 10:19:00,2024-08-09,10:19:00,29,1,Friday,0,1,0,3
20,2024-08-09 10:20:00,2024-08-09,10:20:00,29,1,Friday,0,1,0,3
21,2024-08-09 10:21:00,2024-08-09,10:21:00,29,1,Friday,0,1,0,3
22,2024-08-09 10:22:00,2024-08-09,10:22:00,29,1,Friday,0,1,0,3
23,2024-08-09 10:23:00,2024-08-09,10:23:00,29,1,Friday,0,1,0,3
24,2024-08-09 10:24:00,2024-08-09,10:24:00,29,1,Friday,0,1,0,3
25,2024-08-09 10:25:00,2024-08-09,10:25:00,29,1,Friday,0,1,0,3
26,2024-08-09 10:26:00,2024-08-09,10:26:00,29,1,Friday,0,1,0,3
27,2024-08-09 10:27:00,2024-08-09,10:27:00,29,1,Friday,0,1,0,3
28,2024-08-09 10:28:00,2024-08-09,10:28:00,29,1,Friday,0,1,0,3
29,2024-08-09 10:29:00,2024-08-09,10:29:00,29,1,Friday,0,1,0,3
30,2024-08-09 10:30:00,2024-08-09,10:30:00,29,1,Friday,0,1,0,3
31,2024-08-09 10:31:00,2024-08-09,10:31:00,29,1,Friday,0,1,0,3
32,2024-08-09 10:32:00,2024-08-09,10:32:00,29,1,Friday,0,1,0,3
33,2024-08-09 10:33:00,2024-08-09,10:33:00,29,1,Friday,0,1,0,3
34,2024-08-09 10:34:00,2024-08-09,10:34:00,29,1,Friday,0,1,0,3
35,2024-08-09 10:35:00,2024-08-09,10:35:00,29,1,Friday,0,1,0,3
36,2024-08-09 10:36:00,2024-08-09,10:36:00,29,1,Friday,0,1,0,3
37,2024-08-09 10:37:00,2024-08-09,10:37:00,29,1,Friday,0,1,0,3
38,2024-08-09 10:38:00,2024-08-09,10:38:00,29,1,Friday,0,1,0,3
39,2024-08-09 10:39:00,2024-08-09,10:39:00,29,1,Friday,0,1,0,3
40,2024-08-09 10:40:00,2024-08-09,10:40:00,29,1,Friday,0,1,0,3
41,2024-08-09 10:41:00,2024-08-09,10:41:00,29,1,Friday,0,1,0,3
42,2024-08-09 10:42:00,2024-08-09,10:42:00,29,1,Friday,0,1,0,3
43,2024-08-09 10:43:00,2024-08-09,10:43:00,29,1,Friday,0,1,0,3
44,2024-08-09 10:44:00,2024-08-09,10:44:00,29,1,Friday,0,1,0,3
45,2024-08-09 10:45:00,2024-08-09,10:45:00,29,1,Friday,0,1,0,3
46,2024-08-09 10:46:00,2024-08-09,10:46:00,29,1,Friday,0,1,0,3
47,2024-08-09 10:47:00,2024-08-09,10:47:00,29,1,Friday,0,1,0,3
48,2024-08-09 10:48:00,2024-08-09,10:48:00,29,1,Friday,0,1,0,3
49,2024-08-09 10:49:00,2024-08-09,10:49:00,29,1,Friday,0,1,0,3
50,2024-08-09 10:50:00,2024-08-09,10:50:00,29,1,Friday,0,1,0,3
51,2024-08-09 10:51:00,2024-08-09,10:51:00,29,1,Friday,0,1,0,3
52,2024-08-09 10:52:00,2024-08-09,10:52:00,29,1,Friday,0,1,0,3
53,2024-08-09 10:53:00,2024-08-09,10:53:00,29,1,Friday,0,1,0,3
54,2024-08-09 10:54:00,2024-08-09,10:54:00,29,1,Friday,0,1,0,3
55,2024-08-09 10:55:00,2024-08-09,10:55:00,29,1,Friday,0,1,0,3
56,2024-08-09 10:56:00,2024-08-09,10:56:00,29,1,Friday,0,1,0,3
57,2024-08-09 10:57:00,2024-08-09,10:57:00,29,1,Friday,0,1,0,3
58,2024-08-09 10:58:00,2024-08-09,10:58:00,29,1,Friday,0,1,0,3
59,2024-08-09 10:59:00,2024-08-09,10:59:00,29,1,Friday,0,1,0,3
60,2024-08-09 11:00:00,2024-08-09,11:00:00,29,1,Friday,0,1,0,3
61,2024-08-09 11:01:00,2024-08-09,11:01:00,29,1,Friday,0,1,0,3
62,2024-08-09 11:02:00,2024-08-09,11:02:00,29,1,Friday,0,1,0,3
63,2024-08-09 11:03:00,2024-08-09,11:03:00,29,1,Friday,0,1,0,3
64,2024-08-09 11:04:00,2024-08-09,11:04:00,29,1,Friday,0,1,0,3
65,2024-08-09 11:05:00,2024-08-09,11:05:00,29,1,Friday,0,1,0,3
66,2024-08-09 11:06:00,2024-08-09,11:06:00,29,1,Friday,0,1,0,3
67,2024-08-09 11:07:00,2024-08-09,11:07:00,29,1,Friday,0,1,0,3
68,2024-08-09 11:08:00,2024-08-09,11:08:00,29,1,Friday,0,1,0,3
69,2024-08-09 11:09:00,2024-08-09,11:09:00,29,1,Friday,0,1,0,3
70,2024-08-09 11:10:00,2024-08-09,11:10:00,29,1,Friday,0,1,0,3
71,2024-08-09 11:11:00,2024-08-09,11:11:00,29,1,Friday,0,1,0,3
72,2024-08-09 11:12:00,2024-08-09,11:12:00,29,1,Friday,0,1,0,3
73,2024-08-09 11:13:00,2024-08-09,11:13:00,29,1,Friday,0,1,0,3
