Park,Date/Time,Wait Time
Universal Studios Singapore,2023-11-01 10:00:00,6
Universal Studios Singapore,2023-11-01 10:05:00,6
Universal Studios Singapore,2023-11-01 10:10:00,6
Universal Studios Singapore,2023-11-01 10:15:00,6
Universal Studios Singapore,2023-11-01 10:20:00,6
Universal Studios Singapore,2023-11-01 10:25:00,6
Universal Studios Singapore,2023-11-01 10:30:00,6
Universal Studios Singapore,2023-11-01 10:35:00,7
Universal Studios Singapore,2023-11-01 10:40:00,8
Universal Studios Singapore,2023-11-01 10:45:00,8
Universal Studios Singapore,2023-11-01 10:50:00,9
Universal Studios Singapore,2023-11-01 10:55:00,10
Universal Studios Singapore,2023-11-01 11:00:00,11
Universal Studios Singapore,2023-11-01 11:05:00,11
Universal Studios Singapore,2023-11-01 11:10:00,11
Universal Studios Singapore,2023-11-01 11:15:00,12
Universal Studios Singapore,2023-11-01 11:20:00,13
Universal Studios Singapore,2023-11-01 11:25:00,13
Universal Studios Singapore,2023-11-01 11:30:00,13
Universal Studios Singapore,2023-11-01 11:35:00,13
Universal Studios Singapore,2023-11-01 11:40:00,14
Universal Studios Singapore,2023-11-01 11:45:00,14
Universal Studios Singapore,2023-11-01 11:50:00,14
Universal Studios Singapore,2023-11-01 11:55:00,14
Universal Studios Singapore,2023-11-01 12:00:00,14
Universal Studios Singapore,2023-11-01 12:05:00,14
Universal Studios Singapore,2023-11-01 12:10:00,14
Universal Studios Singapore,2023-11-01 12:15:00,14
Universal Studios Singapore,2023-11-01 12:20:00,14
Universal Studios Singapore,2023-11-01 12:25:00,12
Universal Studios Singapore,2023-11-01 12:30:00,12
Universal Studios Singapore,2023-11-01 12:35:00,12
Universal Studios Singapore,2023-11-01 12:40:00,12
Universal Studios Singapore,2023-11-01 12:45:00,12
Universal Studios Singapore,2023-11-01 12:50:00,13
Universal Studios Singapore,2023-11-01 12:55:00,13
Universal Studios Singapore,2023-11-01 13:00:00,14
Universal Studios Singapore,2023-11-01 13:05:00,17
Universal Studios Singapore,2023-11-01 13:10:00,17
Universal Studios Singapore,2023-11-01 13:15:00,17
Universal Studios Singapore,2023-11-01 13:20:00,17
Universal Studios Singapore,2023-11-01 13:25:00,17
Universal Studios Singapore,2023-11-01 13:30:00,17
Universal Studios Singapore,2023-11-01 13:35:00,16
Universal Studios Singapore,2023-11-01 13:40:00,13
Universal Studios Singapore,2023-11-01 13:45:00,13
Universal Studios Singapore,2023-11-01 13:50:00,13
Universal Studios Singapore,2023-11-01 13:55:00,13
Universal Studios Singapore,2023-11-01 14:00:00,13
Universal Studios Singapore,2023-11-01 14:05:00,14
Universal Studios Singapore,2023-11-01 14:10:00,17
Universal Studios Singapore,2023-11-01 14:15:00,17
Universal Studios Singapore,2023-11-01 14:20:00,16
Universal Studios Singapore,2023-11-01 14:25:00,15
Universal Studios Singapore,2023-11-01 14:30:00,14
Universal Studios Singapore,2023-11-01 14:35:00,14
Universal Studios Singapore,2023-11-01 14:40:00,13
Universal Studios Singapore,2023-11-01 14:45:00,16
Universal Studios Singapore,2023-11-01 14:50:00,16
Universal Studios Singapore,2023-11-01 14:55:00,16
Universal Studios Singapore,2023-11-01 15:00:00,16
Universal Studios Singapore,2023-11-01 15:05:00,15
Universal Studios Singapore,2023-11-01 15:10:00,15
Universal Studios Singapore,2023-11-01 15:15:00,13
Universal Studios Singapore,2023-11-01 15:20:00,13
Universal Studios Singapore,2023-11-01 15:25:00,13
Universal Studios Singapore,2023-11-01 15:30:00,13
Universal Studios Singapore,2023-11-01 15:35:00,13
Universal Studios Singapore,2023-11-01 15:40:00,13
Universal Studios Singapore,2023-11-01 15:45:00,13
Universal Studios Singapore,2023-11-01 15:50:00,13
Universal Studios Singapore,2023-11-01 15:55:00,13
Universal Studios Singapore,2023-11-01 16:00:00,13
Universal Studios Singapore,2023-11-01 16:05:00,13
Universal Studios Singapore,2023-11-01 16:10:00,13
Universal Studios Singapore,2023-11-01 16:15:00,12
Universal Studios Singapore,2023-11-01 16:20:00,11
Universal Studios Singapore,2023-11-01 16:25:00,11
Universal Studios Singapore,2023-11-01 16:30:00,11
Universal Studios Singapore,2023-11-01 16:35:00,11
Universal Studios Singapore,2023-11-01 16:40:00,12
Universal Studios Singapore,2023-11-01 16:45:00,12
Universal Studios Singapore,2023-11-01 16:50:00,12
Universal Studios Singapore,2023-11-01 16:55:00,12
Universal Studios Singapore,2023-11-06 11:00:00,7
Universal Studios Singapore,2023-11-06 11:05:00,10
Universal Studios Singapore,2023-11-06 11:10:00,13
Universal Studios Singapore,2023-11-06 11:15:00,13
Universal Studios Singapore,2023-11-06 11:20:00,14
Universal Studios Singapore,2023-11-06 11:25:00,16
Universal Studios Singapore,2023-11-06 11:30:00,19
Universal Studios Singapore,2023-11-06 11:35:00,19
Universal Studios Singapore,2023-11-06 11:40:00,18
Universal Studios Singapore,2023-11-06 11:45:00,21
Universal Studios Singapore,2023-11-06 11:50:00,21
Universal Studios Singapore,2023-11-06 11:55:00,24
Universal Studios Singapore,2023-11-06 12:00:00,26
Universal Studios Singapore,2023-11-06 12:05:00,26
Universal Studios Singapore,2023-11-06 12:10:00,29
Universal Studios Singapore,2023-11-06 12:15:00,29
Universal Studios Singapore,2023-11-06 12:20:00,29
Universal Studios Singapore,2023-11-06 12:25:00,29
Universal Studios Singapore,2023-11-06 12:30:00,29
Universal Studios Singapore,2023-11-06 12:35:00,29
Universal Studios Singapore,2023-11-06 12:40:00,29
Universal Studios Singapore,2023-11-06 12:45:00,27
Universal Studios Singapore,2023-11-06 12:50:00,20
Universal Studios Singapore,2023-11-06 12:55:00,23
Universal Studios Singapore,2023-11-06 13:00:00,23
Universal Studios Singapore,2023-11-06 13:05:00,25
Universal Studios Singapore,2023-11-06 13:10:00,24
Universal Studios Singapore,2023-11-06 13:15:00,25
Universal Studios Singapore,2023-11-06 13:20:00,25
Universal Studios Singapore,2023-11-06 13:25:00,25
Universal Studios Singapore,2023-11-06 13:30:00,22
Universal Studios Singapore,2023-11-06 13:35:00,24
Universal Studios Singapore,2023-11-06 13:40:00,21
Universal Studios Singapore,2023-11-06 13:45:00,21
Universal Studios Singapore,2023-11-06 13:50:00,21
Universal Studios Singapore,2023-11-06 13:55:00,20
Universal Studios Singapore,2023-11-06 14:00:00,21
Universal Studios Singapore,2023-11-06 14:05:00,22
Universal Studios Singapore,2023-11-06 14:10:00,21
Universal Studios Singapore,2023-11-06 14:15:00,21
Universal Studios Singapore,2023-11-06 14:20:00,23
Universal Studios Singapore,2023-11-06 14:25:00,22
Universal Studios Singapore,2023-11-06 14:30:00,23
Universal Studios Singapore,2023-11-06 14:35:00,24
Universal Studios Singapore,2023-11-06 14:40:00,22
Universal Studios Singapore,2023-11-06 14:45:00,23
Universal Studios Singapore,2023-11-06 14:50:00,24
Universal Studios Singapore,2023-11-06 14:55:00,22
Universal Studios Singapore,2023-11-06 15:00:00,22
Universal Studios Singapore,2023-11-06 15:05:00,22
Universal Studios Singapore,2023-11-06 15:10:00,21
Universal Studios Singapore,2023-11-06 15:15:00,21
Universal Studios Singapore,2023-11-06 15:20:00,21
Universal Studios Singapore,2023-11-06 15:25:00,21
Universal Studios Singapore,2023-11-06 15:30:00,21
Universal Studios Singapore,2023-11-06 15:35:00,22
Universal Studios Singapore,2023-11-06 15:40:00,22
Universal Studios Singapore,2023-11-06 15:45:00,22
Universal Studios Singapore,2023-11-06 15:50:00,23
Universal Studios Singapore,2023-11-06 15:55:00,23
Universal Studios Singapore,2023-11-06 16:05:00,21
Universal Studios Singapore,2023-11-06 16:10:00,21
Universal Studios Singapore,2023-11-06 16:20:00,19
Universal Studios Singapore,2023-11-06 16:25:00,18
Universal Studios Singapore,2023-11-06 16:30:00,18
Universal Studios Singapore,2023-11-06 16:35:00,17
Universal Studios Singapore,2023-11-06 16:40:00,17
Universal Studios Singapore,2023-11-06 16:55:00,20
Universal Studios Singapore,2023-11-06 17:00:00,20
Universal Studios Singapore,2023-11-06 17:05:00,20
Universal Studios Singapore,2023-11-06 17:10:00,20
